action_cell_id	card_id	frozen_frame	action_root	action_recipe	is_t_or_r	event_count	page_count	pages	register_count	registers	owner_class_count	observed_clause_form_count	observed_clauses_de	all_roundtrip_exact
G492-AC01	G492-CARD01	@ACTION+AL+Y	OK	OK+AL+Y	NO	5	4	f72r|f76r|f77r|f82r	2	BIOLOGICAL|CELESTIAL	4	2	Setze den Positionsposten; zur Zielposition. || Setze den Stationsposten im Stationsgang an; zur Zielstation.	YES
G492-AC02	G492-CARD01	@ACTION+AL+Y	CH	CH+AL+Y	NO	3	3	f76r|f88v|f89r	2	BIOLOGICAL|PHARMA	2	2	Entnimm den Stationsposten; zur Zielstation. || Nimm den Drogenposten; zum Zielgefäß.	YES
G492-AC03	G492-CARD01	@ACTION+AL+Y	T	T+AL+Y	YES	1	1	f72r	1	CELESTIAL	1	1	Stelle den Positionsposten ein; zur Zielposition.	YES
G492-AC04	G492-CARD01	@ACTION+AL+Y	R	R+AL+Y	YES	1	1	f83r	1	BIOLOGICAL	1	1	Markiere den Stationsposten; zur Zielstation.	YES
G492-AC05	G492-CARD02	@ACTION+CH+E+Y	OK	OK+CH+E+Y	NO	1	1	f56r	1	HERBAL	1	1	Setze den Pflanzenposten im Arbeitsgang an und nimm den Pflanzenposten; auf Grad I.	YES
G492-AC06	G492-CARD02	@ACTION+CH+E+Y	K	K+CH+E+Y	NO	1	1	f56r	1	HERBAL	1	1	Gib den Pflanzenposten zu und nimm den Pflanzenposten; auf Grad I.	YES
G492-AC07	G492-CARD02	@ACTION+CH+E+Y	S	S+CH+E+Y	NO	1	1	f56r	1	HERBAL	1	1	Wähle den Pflanzenposten und nimm den Pflanzenposten; auf Grad I.	YES
G492-AC08	G492-CARD02	@ACTION+CH+E+Y	T	T+CH+E+Y	YES	1	1	f1r	1	SOURCE_SECTION_T	1	1	Lege den laufenden Eintrag fest und entnimm den laufenden Eintrag; auf Grad I.	YES
G492-AC09	G492-CARD02	@ACTION+CH+E+Y	R	R+CH+E+Y	YES	1	1	f82r	1	BIOLOGICAL	1	1	Markiere den Stationsposten und entnimm den Stationsposten; auf Grad I.	YES
G492-AC10	G492-CARD03	@ACTION+OR+Y	SH	SH+OR+Y	NO	1	1	f1r	1	SOURCE_SECTION_T	1	1	Halte die Eintragseinheit und den laufenden Eintrag fest.	YES
G492-AC11	G492-CARD03	@ACTION+OR+Y	S	S+OR+Y	NO	1	1	f1r	1	SOURCE_SECTION_T	1	1	Wähle die Eintragseinheit und den laufenden Eintrag.	YES
G492-AC12	G492-CARD03	@ACTION+OR+Y	T	T+OR+Y	YES	1	1	f13r	1	HERBAL	1	1	Stelle die Arbeitseinheit und den Pflanzenposten ein.	YES
G492-AC13	G492-CARD03	@ACTION+OR+Y	R	R+OR+Y	YES	1	1	f76r	1	BIOLOGICAL	1	1	Markiere die Stationseinheit und den Stationsposten.	YES
G492-AC14	G492-CARD04	CH+@ACTION	K	CH+K	NO	1	1	f76r	1	BIOLOGICAL	1	1	Entnimm den Stationsposten [wie zuvor] und führe den Stationsposten [wie zuvor] zu.	YES
G492-AC15	G492-CARD04	CH+@ACTION	S	CH+S	NO	1	1	f72r	1	CELESTIAL	1	1	Nimm den Positionswert [wie zuvor] auf und wähle den Positionswert [wie zuvor].	YES
G492-AC16	G492-CARD04	CH+@ACTION	T	CH+T	YES	1	1	f10r	1	HERBAL	1	1	Nimm den Arbeitswert [wie zuvor] und stelle den Arbeitswert [wie zuvor] ein.	YES
G492-AC17	G492-CARD04	CH+@ACTION	R	CH+R	YES	1	1	f77r	1	BIOLOGICAL	1	1	Entnimm den Stationswert [wie zuvor] und markiere den Stationswert [wie zuvor].	YES
