carrier_id	card_id	frozen_frame	action_root	action_recipe	is_t_or_r	global_running_event_id	global_statement_id	physical_page	register	owner_class	owner_de	surface	imperative_clause_de	portable_back_projection_de	roundtrip_exact	observed_not_invented
G492-FC01	G492-CARD01	@ACTION+AL+Y	OK	OK+AL+Y	NO	G407-E1263	G407-S068	f72r	CELESTIAL	TIERKREISRING	Tierkreis-Ringgruppe E	chokaly	Setze den Positionsposten; zur Zielposition.	SETZEN · ZIELORT · POSTEN	YES	YES
G492-FC02	G492-CARD01	@ACTION+AL+Y	OK	OK+AL+Y	NO	G407-E1275	G407-S068	f72r	CELESTIAL	TIERKREISRING	Tierkreis-Ringgruppe E	okaly	Setze den Positionsposten; zur Zielposition.	SETZEN · ZIELORT · POSTEN	YES	YES
G492-FC03	G492-CARD01	@ACTION+AL+Y	OK	OK+AL+Y	NO	G407-E2050	G407-S246	f76r	BIOLOGICAL	TEXTBLOCK_MIT_SEITENBESITZER	unbebilderter Textabschnitt A6	qokaldy	Setze den Stationsposten im Stationsgang an; zur Zielstation.	SETZEN · ZIELORT · POSTEN	YES	YES
G492-FC04	G492-CARD01	@ACTION+AL+Y	OK	OK+AL+Y	NO	G407-E2548	G407-S362	f77r	BIOLOGICAL	LOKALE_STATIONSGRUPPE	Gesamtheit der lokal gezeichneten Koerper-, Becken- und Auslassstationen	qokaly	Setze den Stationsposten im Stationsgang an; zur Zielstation.	SETZEN · ZIELORT · POSTEN	YES	YES
G492-FC05	G492-CARD01	@ACTION+AL+Y	OK	OK+AL+Y	NO	G407-E3195	G407-S498	f82r	BIOLOGICAL	BAD_ODER_BECKENFELD	mehrere getrennte Bad- und Leitungsstationen	qokaly	Setze den Stationsposten im Stationsgang an; zur Zielstation.	SETZEN · ZIELORT · POSTEN	YES	YES
G492-FC06	G492-CARD01	@ACTION+AL+Y	CH	CH+AL+Y	NO	G407-E2256	G407-S278	f76r	BIOLOGICAL	TEXTBLOCK_MIT_SEITENBESITZER	unbebilderter Textabschnitt B	chaly	Entnimm den Stationsposten; zur Zielstation.	NEHMEN · ZIELORT · POSTEN	YES	YES
G492-FC07	G492-CARD01	@ACTION+AL+Y	CH	CH+AL+Y	NO	G407-E4021	G407-S662	f88v	PHARMA	GEFÄSS_UND_ZUTATGRUPPE	zweite Gefaess-/Zutatengruppe	chaly	Nimm den Drogenposten; zum Zielgefäß.	NEHMEN · ZIELORT · POSTEN	YES	YES
G492-FC08	G492-CARD01	@ACTION+AL+Y	CH	CH+AL+Y	NO	G407-E4200	G407-S675	f89r	PHARMA	GEFÄSS_UND_ZUTATGRUPPE	Gefäß-/Pflanzenteilgruppe D	chaldy	Nimm den Drogenposten; zum Zielgefäß.	NEHMEN · ZIELORT · POSTEN	YES	YES
G492-FC09	G492-CARD01	@ACTION+AL+Y	T	T+AL+Y	YES	G407-E1295	G407-S071	f72r	CELESTIAL	TIERKREISRING	Tierkreis-Ringgruppe F	taly	Stelle den Positionsposten ein; zur Zielposition.	EINSTELLEN · ZIELORT · POSTEN	YES	YES
G492-FC10	G492-CARD01	@ACTION+AL+Y	R	R+AL+Y	YES	G407-E3782	G407-S647	f83r	BIOLOGICAL	LOKALE_STATIONSGRUPPE	Variantenatlas lokaler Becken und Anwendungen	raly	Markiere den Stationsposten; zur Zielstation.	MARKIEREN · ZIELORT · POSTEN	YES	YES
G492-FC11	G492-CARD02	@ACTION+CH+E+Y	OK	OK+CH+E+Y	NO	G407-E0807	G407-S039	f56r	HERBAL	KOPFSTADIEN_UND_GANZPFLANZE	stachelköpfiges Kraut in mehreren Reifestufen	chokchey	Setze den Pflanzenposten im Arbeitsgang an und nimm den Pflanzenposten; auf Grad I.	SETZEN · NEHMEN · GRAD I · POSTEN	YES	YES
G492-FC12	G492-CARD02	@ACTION+CH+E+Y	K	K+CH+E+Y	NO	G407-E0870	G407-S040	f56r	HERBAL	KOPFSTADIEN_UND_GANZPFLANZE	stachelköpfiges Kraut in mehreren Reifestufen	kchey	Gib den Pflanzenposten zu und nimm den Pflanzenposten; auf Grad I.	GEBEN · NEHMEN · GRAD I · POSTEN	YES	YES
G492-FC13	G492-CARD02	@ACTION+CH+E+Y	S	S+CH+E+Y	NO	G407-E0891	G407-S040	f56r	HERBAL	KOPFSTADIEN_UND_GANZPFLANZE	stachelköpfiges Kraut in mehreren Reifestufen	schey	Wähle den Pflanzenposten und nimm den Pflanzenposten; auf Grad I.	WÄHLEN · NEHMEN · GRAD I · POSTEN	YES	YES
G492-FC14	G492-CARD02	@ACTION+CH+E+Y	T	T+CH+E+Y	YES	G407-E0129	G407-S005	f1r	SOURCE_SECTION_T	TEXTBLOCK	F1R_TEXT_BLOCK_C	tchey	Lege den laufenden Eintrag fest und entnimm den laufenden Eintrag; auf Grad I.	EINSTELLEN · NEHMEN · GRAD I · POSTEN	YES	YES
G492-FC15	G492-CARD02	@ACTION+CH+E+Y	R	R+CH+E+Y	YES	G407-E3246	G407-S507	f82r	BIOLOGICAL	BAD_ODER_BECKENFELD	mehrere getrennte Bad- und Leitungsstationen	rchey	Markiere den Stationsposten und entnimm den Stationsposten; auf Grad I.	MARKIEREN · NEHMEN · GRAD I · POSTEN	YES	YES
G492-FC16	G492-CARD03	@ACTION+OR+Y	SH	SH+OR+Y	NO	G407-E0006	G407-S001	f1r	SOURCE_SECTION_T	TEXTBLOCK	F1R_TEXT_BLOCK_A	shory	Halte die Eintragseinheit und den laufenden Eintrag fest.	HALTEN · EINHEIT · POSTEN	YES	YES
G492-FC17	G492-CARD03	@ACTION+OR+Y	S	S+OR+Y	NO	G407-E0011	G407-S001	f1r	SOURCE_SECTION_T	TEXTBLOCK	F1R_TEXT_BLOCK_A	sory	Wähle die Eintragseinheit und den laufenden Eintrag.	WÄHLEN · EINHEIT · POSTEN	YES	YES
G492-FC18	G492-CARD03	@ACTION+OR+Y	T	T+OR+Y	YES	G407-E0428	G407-S014	f13r	HERBAL	WURZEL_UND_GANZPFLANZE	große Wurzelkrone mit Blatt und Blütenstand	torchy	Stelle die Arbeitseinheit und den Pflanzenposten ein.	EINSTELLEN · EINHEIT · POSTEN	YES	YES
G492-FC19	G492-CARD03	@ACTION+OR+Y	R	R+OR+Y	YES	G407-E2334	G407-S292	f76r	BIOLOGICAL	TEXTBLOCK_MIT_SEITENBESITZER	unbebilderter Textabschnitt C	rory	Markiere die Stationseinheit und den Stationsposten.	MARKIEREN · EINHEIT · POSTEN	YES	YES
G492-FC20	G492-CARD04	CH+@ACTION	K	CH+K	NO	G407-E1988	G407-S224	f76r	BIOLOGICAL	TEXTBLOCK_MIT_SEITENBESITZER	unbebilderter Textabschnitt A4	chckh	Entnimm den Stationsposten [wie zuvor] und führe den Stationsposten [wie zuvor] zu.	NEHMEN · GEBEN	YES	YES
G492-FC21	G492-CARD04	CH+@ACTION	S	CH+S	NO	G407-E1291	G407-S071	f72r	CELESTIAL	TIERKREISRING	Tierkreis-Ringgruppe F	chs	Nimm den Positionswert [wie zuvor] auf und wähle den Positionswert [wie zuvor].	NEHMEN · WÄHLEN	YES	YES
G492-FC22	G492-CARD04	CH+@ACTION	T	CH+T	YES	G407-E0273	G407-S009	f10r	HERBAL	WURZEL_UND_GANZPFLANZE	zweiknolliges blauköpfiges Heilkraut	cth	Nimm den Arbeitswert [wie zuvor] und stelle den Arbeitswert [wie zuvor] ein.	NEHMEN · EINSTELLEN	YES	YES
G492-FC23	G492-CARD04	CH+@ACTION	R	CH+R	YES	G407-E2689	G407-S392	f77r	BIOLOGICAL	LOKALE_STATIONSGRUPPE	Gesamtheit der lokal gezeichneten Koerper-, Becken- und Auslassstationen	chr	Entnimm den Stationswert [wie zuvor] und markiere den Stationswert [wie zuvor].	NEHMEN · MARKIEREN	YES	YES
