surface	component_recipe	events	physical_pages	channel_class	reading_route	compact_default_de
daiin	AIIN	51	f10r|f11r|f13r|f55v|f56r|f67r2|f70v|f81v|f82r|f83r|f88r	BICHANNEL	LEARNED_WHOLE_CARD	NACH SOLLMASS
shedy	SHED+DY	46	f75r|f81v|f82r|f83r	PROSE_ONLY	LEARNED_WHOLE_CARD	ABSETZEN; ENDE
chedy	CHD+Y	43	f55v|f70v|f75r|f81v|f82r|f83r	BICHANNEL	LEARNED_WHOLE_CARD	DIESEN POSTEN UMSETZEN
qokedy	OK+E+DY	38	f75r|f81v|f82r|f83r	PROSE_ONLY	LEARNED_WHOLE_CARD	KURZ ANSETZEN; ENDE
qokeedy	OK+EE+DY	38	f75r|f82r|f83r	PROSE_ONLY	LEARNED_WHOLE_CARD	LAENGER ANSETZEN; ENDE
dy	Y	37	f10r|f11r|f13r|f56r|f67r2|f69v|f70v|f75r|f81v|f82r	BICHANNEL	LEARNED_WHOLE_CARD	DIESER POSTEN
ol	OL	36	f55v|f69v|f75r|f81v|f82r|f83r|f88r	BICHANNEL	LEARNED_WHOLE_CARD	DAMIT WEITER
qokain	OK+AIN	30	f55v|f75r|f81v|f82r|f83r	PROSE_ONLY	LEARNED_WHOLE_CARD	EINE PORTION ANSETZEN
chey	Y	29	f55v|f56r|f69v|f75r|f81v|f82r|f83r|f88r	BICHANNEL	LEARNED_WHOLE_CARD	DIESER POSTEN
aiin	AIIN	27	f10r|f55v|f56r|f67r2|f69v|f70v|f81v|f82r|f83r|f88r	BICHANNEL	LEARNED_WHOLE_CARD	NACH SOLLMASS
s	S	27	f11r|f13r|f55v|f56r|f67r2|f70v|f75r|f81v|f82r|f83r|f88r	BICHANNEL	LEARNED_WHOLE_CARD	VARIANTE WAEHLEN
dal	AL	25	f56r|f67r2|f69v|f70v|f75r|f81v|f82r|f83r|f88r	BICHANNEL	LEARNED_WHOLE_CARD	ZUR ZIELSTELLE
shey	SH+E+Y	25	f11r|f13r|f68r1|f70v|f75r|f81v|f82r|f83r	BICHANNEL	LEARNED_WHOLE_CARD	KURZ HALTEN
y	Y	23	f10r|f11r|f13r|f55v|f56r|f67r2|f69v|f81v	BICHANNEL	LEARNED_WHOLE_CARD	DIESER POSTEN
chol	OL	22	f10r|f11r|f13r|f56r|f67r2|f69v|f70v|f88r	BICHANNEL	LEARNED_WHOLE_CARD	DAMIT WEITER
ar	AR	21	f55v|f67r2|f69v|f70v|f75r|f83r|f88r	BICHANNEL	LEARNED_WHOLE_CARD	AUS DER QUELLE
dar	D_ADDR+AR	21	f10r|f13r|f67r2|f69v|f70v|f75r|f81v|f82r|f83r|f88r	BICHANNEL	LEARNED_WHOLE_CARD	AUS DEM BEZEICHNETEN TEIL
qoky	OK+Y	21	f13r|f75r|f81v|f82r|f83r	PROSE_ONLY	LEARNED_WHOLE_CARD	DIESEN POSTEN ANSETZEN
lchedy	L+CHD+DY	20	f75r|f81v|f82r|f83r	PROSE_ONLY	LEARNED_WHOLE_CARD	WEITER UMSETZEN; ENDE
qokeey	OK+EE+Y	20	f56r|f75r|f81v|f82r|f83r|f88r	PROSE_ONLY	LEARNED_WHOLE_CARD	LAENGER ANSETZEN
or	OR	19	f10r|f55v|f67r2|f75r|f81v|f82r|f83r|f88r	PROSE_ONLY	LEARNED_WHOLE_CARD	DER ANSATZ
qokaiin	OK+AIIN	18	f55v|f81v|f82r|f83r	PROSE_ONLY	LEARNED_WHOLE_CARD	NACH SOLLMASS ANSETZEN
dain	AIN	16	f10r|f11r|f67r2|f75r|f81v|f83r	PROSE_ONLY	LEARNED_WHOLE_CARD	EINE PORTION
qokal	OK+AL	16	f75r|f81v|f82r|f83r	PROSE_ONLY	LEARNED_WHOLE_CARD	AN DER ZIELSTELLE ANSETZEN
qol	OL	16	f55v|f75r|f81v|f82r|f83r	PROSE_ONLY	LEARNED_WHOLE_CARD	DAMIT WEITER
cheey	SH+EE+Y	15	f68r1|f69v|f70v|f75r|f81v|f82r|f83r|f88r	BICHANNEL	LEARNED_WHOLE_CARD	LAENGER HALTEN
