component	shelf	atomic_pocket_value_de	workshop_expansion_de	image_expansion_de	total_atom_occurrences	teaching_rule_de	hybrid_codebook_tier	use_rule_de
Y	PRODUCTIVE_CONTRAST_CORE	DIES	dieser Arbeitsgegenstand	dieser Bildplatz	997	Merke nur DIES; die konkrete Formulierung kommt aus Register und Nachbarkarten.	CORE_ABBREVIATION	Als Einzelwert DIES lesen; in einer bekannten Ganzkarte deren gelernte Kurzform vorziehen.
OK	PRODUCTIVE_CONTRAST_CORE	START	Arbeitsgang ansetzen	Bildplatz aktivieren	448	Merke nur START; die konkrete Formulierung kommt aus Register und Nachbarkarten.	CORE_ABBREVIATION	Als Einzelwert START lesen; in einer bekannten Ganzkarte deren gelernte Kurzform vorziehen.
E	PRODUCTIVE_CONTRAST_CORE	KURZ	kurz oder direkt	erster Grad	429	Merke nur KURZ; die konkrete Formulierung kommt aus Register und Nachbarkarten.	CORE_ABBREVIATION	Als Einzelwert KURZ lesen; in einer bekannten Ganzkarte deren gelernte Kurzform vorziehen.
DY	PRODUCTIVE_CONTRAST_CORE	ENDE	Arbeitsschritt schließen	Bildeintrag schließen	368	Merke nur ENDE; die konkrete Formulierung kommt aus Register und Nachbarkarten.	CORE_ABBREVIATION	Als Einzelwert ENDE lesen; in einer bekannten Ganzkarte deren gelernte Kurzform vorziehen.
O	PRODUCTIVE_CONTRAST_CORE	GANG	Arbeitsgang ausführen	Reihe aufrufen	341	Merke nur GANG; die konkrete Formulierung kommt aus Register und Nachbarkarten.	CORE_ABBREVIATION	Als Einzelwert GANG lesen; in einer bekannten Ganzkarte deren gelernte Kurzform vorziehen.
OL	PRODUCTIVE_CONTRAST_CORE	WEITER	im selben Arbeitsgang fortfahren	dieselbe Reihe fortführen	325	Merke nur WEITER; die konkrete Formulierung kommt aus Register und Nachbarkarten.	CORE_ABBREVIATION	Als Einzelwert WEITER lesen; in einer bekannten Ganzkarte deren gelernte Kurzform vorziehen.
EE	PRODUCTIVE_CONTRAST_CORE	LANG	länger oder gehalten	zweiter Grad	264	Merke nur LANG; die konkrete Formulierung kommt aus Register und Nachbarkarten.	CORE_ABBREVIATION	Als Einzelwert LANG lesen; in einer bekannten Ganzkarte deren gelernte Kurzform vorziehen.
OT	PRODUCTIVE_CONTRAST_CORE	NAECHST	danach oder nächster Posten	nächster Bildplatz	239	Merke nur NAECHST; die konkrete Formulierung kommt aus Register und Nachbarkarten.	CORE_ABBREVIATION	Als Einzelwert NAECHST lesen; in einer bekannten Ganzkarte deren gelernte Kurzform vorziehen.
AL	PRODUCTIVE_CONTRAST_CORE	ZIEL	Ziel- oder Anschlussstelle	Zielplatz	229	Merke nur ZIEL; die konkrete Formulierung kommt aus Register und Nachbarkarten.	CORE_ABBREVIATION	Als Einzelwert ZIEL lesen; in einer bekannten Ganzkarte deren gelernte Kurzform vorziehen.
CH	PRODUCTIVE_CONTRAST_CORE	AUSWAHL	bezeichneten Anteil entnehmen	Klasse oder Figur kennzeichnen	222	Merke nur AUSWAHL; die konkrete Formulierung kommt aus Register und Nachbarkarten.	CORE_ABBREVIATION	Als Einzelwert AUSWAHL lesen; in einer bekannten Ganzkarte deren gelernte Kurzform vorziehen.
