rank	surface	component_recipe	learned_whole_card_de	literal_component_reading_de	image_register_reading_de	events	physical_pages	registers	channel_class	learning_note_de
1	daiin	AIIN	NACH SOLLMASS	Sollmaß	verzeichneter Sollwert	51	f10r|f11r|f13r|f55v|f56r|f67r2|f70v|f81v|f82r|f83r|f88r	BIOLOGICAL|HERBAL|PHARMA|ZODIAC	BICHANNEL	Als häufige Formelkarte auswendig lernen; die Komponenten bleiben für neue oder seltene Karten produktiv.
2	shedy	SHED+DY	ABSETZEN; ENDE	absetzen lassen; Arbeitsschritt schließen	Absetzklasse; Bildeintrag schließen	46	f75r|f81v|f82r|f83r	BIOLOGICAL	PROSE_ONLY	Als häufige Formelkarte auswendig lernen; die Komponenten bleiben für neue oder seltene Karten produktiv.
3	chedy	CHD+Y	DIESEN POSTEN UMSETZEN	Arbeitsgut umsetzen; dieser Arbeitsgegenstand	zu Gegen- oder Folgeplatz wechseln; dieser Bildplatz	43	f55v|f70v|f75r|f81v|f82r|f83r	BIOLOGICAL|HERBAL|ZODIAC	BICHANNEL	Als häufige Formelkarte auswendig lernen; die Komponenten bleiben für neue oder seltene Karten produktiv.
4	qokedy	OK+E+DY	KURZ ANSETZEN; ENDE	Arbeitsgang ansetzen; kurz oder direkt; Arbeitsschritt schließen	Bildplatz aktivieren; erster Grad; Bildeintrag schließen	38	f75r|f81v|f82r|f83r	BIOLOGICAL	PROSE_ONLY	Als häufige Formelkarte auswendig lernen; die Komponenten bleiben für neue oder seltene Karten produktiv.
5	qokeedy	OK+EE+DY	LAENGER ANSETZEN; ENDE	Arbeitsgang ansetzen; länger oder gehalten; Arbeitsschritt schließen	Bildplatz aktivieren; zweiter Grad; Bildeintrag schließen	38	f75r|f82r|f83r	BIOLOGICAL	PROSE_ONLY	Als häufige Formelkarte auswendig lernen; die Komponenten bleiben für neue oder seltene Karten produktiv.
6	dy	Y	DIESER POSTEN	dieser Arbeitsgegenstand	dieser Bildplatz	37	f10r|f11r|f13r|f56r|f67r2|f69v|f70v|f75r|f81v|f82r	BIOLOGICAL|HERBAL|ZODIAC	BICHANNEL	Als häufige Formelkarte auswendig lernen; die Komponenten bleiben für neue oder seltene Karten produktiv.
7	ol	OL	DAMIT WEITER	im selben Arbeitsgang fortfahren	dieselbe Reihe fortführen	36	f55v|f69v|f75r|f81v|f82r|f83r|f88r	BIOLOGICAL|HERBAL|PHARMA|ZODIAC	BICHANNEL	Als häufige Formelkarte auswendig lernen; die Komponenten bleiben für neue oder seltene Karten produktiv.
8	qokain	OK+AIN	EINE PORTION ANSETZEN	Arbeitsgang ansetzen; Portion	Bildplatz aktivieren; Einheit oder Index	30	f55v|f75r|f81v|f82r|f83r	BIOLOGICAL|HERBAL	PROSE_ONLY	Als häufige Formelkarte auswendig lernen; die Komponenten bleiben für neue oder seltene Karten produktiv.
9	chey	Y	DIESER POSTEN	dieser Arbeitsgegenstand	dieser Bildplatz	29	f55v|f56r|f69v|f75r|f81v|f82r|f83r|f88r	BIOLOGICAL|HERBAL|PHARMA|ZODIAC	BICHANNEL	Als häufige Formelkarte auswendig lernen; die Komponenten bleiben für neue oder seltene Karten produktiv.
10	aiin	AIIN	NACH SOLLMASS	Sollmaß	verzeichneter Sollwert	27	f10r|f55v|f56r|f67r2|f69v|f70v|f81v|f82r|f83r|f88r	BIOLOGICAL|HERBAL|PHARMA|ZODIAC	BICHANNEL	Als häufige Formelkarte auswendig lernen; die Komponenten bleiben für neue oder seltene Karten produktiv.
