paragraph	grammar	chol	timing	location	kind	form	changed_fields	Q_patient	A_patient	Q_object	A_object	Q_status	A_status	Q_before	A_before	Q_after	A_after	row_status
f22v|f22v.6-f22v.16	B	D	O	f22v.15:2	MATERIAL	cthy	before,after	f22v.15:2	f22v.15:2	f22v.8:2	f22v.8:2	SAME_FORM_REMENTION	SAME_FORM_REMENTION	{}	"{""PHYSICAL:moisture"":""wet""}"	{}	"{""PHYSICAL:moisture"":""wet""}"	recorded
f22v|f22v.6-f22v.16	B	D	O	f22v.15:4	ACTION	qokchy	before,after	f22v.15:2	f22v.15:2	f22v.8:2	f22v.8:2	NO_STATE_TRANSITION_MODELLED	NO_STATE_TRANSITION_MODELLED	{}	"{""PHYSICAL:moisture"":""wet""}"	{}	"{""PHYSICAL:moisture"":""wet""}"	recorded
f22v|f22v.6-f22v.16	B	D	I	f22v.15:2	MATERIAL	cthy	before,after	f22v.15:2	f22v.15:2	f22v.8:2	f22v.8:2	SAME_FORM_REMENTION	SAME_FORM_REMENTION	{}	"{""PHYSICAL:moisture"":""wet""}"	{}	"{""PHYSICAL:moisture"":""wet""}"	recorded
f22v|f22v.6-f22v.16	B	D	I	f22v.15:4	ACTION	qokchy	before,after	f22v.15:2	f22v.15:2	f22v.8:2	f22v.8:2	NO_STATE_TRANSITION_MODELLED	NO_STATE_TRANSITION_MODELLED	{}	"{""PHYSICAL:moisture"":""wet""}"	{}	"{""PHYSICAL:moisture"":""wet""}"	recorded
f22v|f22v.6-f22v.16	B	H	O	f22v.15:2	MATERIAL	cthy	before,after	f22v.15:2	f22v.15:2	f22v.8:2	f22v.8:2	SAME_FORM_REMENTION	SAME_FORM_REMENTION	{}	"{""PHYSICAL:moisture"":""wet""}"	{}	"{""PHYSICAL:moisture"":""wet""}"	recorded
f22v|f22v.6-f22v.16	B	H	O	f22v.15:4	ACTION	qokchy	before,after	f22v.15:2	f22v.15:2	f22v.8:2	f22v.8:2	NO_STATE_TRANSITION_MODELLED	NO_STATE_TRANSITION_MODELLED	{}	"{""PHYSICAL:moisture"":""wet""}"	{}	"{""PHYSICAL:moisture"":""wet""}"	recorded
f22v|f22v.6-f22v.16	B	H	I	f22v.15:2	MATERIAL	cthy	before,after	f22v.15:2	f22v.15:2	f22v.8:2	f22v.8:2	SAME_FORM_REMENTION	SAME_FORM_REMENTION	{}	"{""PHYSICAL:moisture"":""wet""}"	{}	"{""PHYSICAL:moisture"":""wet""}"	recorded
f22v|f22v.6-f22v.16	B	H	I	f22v.15:4	ACTION	qokchy	before,after	f22v.15:2	f22v.15:2	f22v.8:2	f22v.8:2	NO_STATE_TRANSITION_MODELLED	NO_STATE_TRANSITION_MODELLED	{}	"{""PHYSICAL:moisture"":""wet""}"	{}	"{""PHYSICAL:moisture"":""wet""}"	recorded
f22v|f22v.6-f22v.16	J	D	O	f22v.15:2	MATERIAL	cthy	before,after	f22v.15:2	f22v.15:2	f22v.8:2	f22v.8:2	SAME_FORM_REMENTION	SAME_FORM_REMENTION	{}	"{""PHYSICAL:moisture"":""wet""}"	{}	"{""PHYSICAL:moisture"":""wet""}"	recorded
f22v|f22v.6-f22v.16	J	D	O	f22v.15:4	ACTION	qokchy	before,after	f22v.15:2	f22v.15:2	f22v.8:2	f22v.8:2	NO_STATE_TRANSITION_MODELLED	NO_STATE_TRANSITION_MODELLED	{}	"{""PHYSICAL:moisture"":""wet""}"	{}	"{""PHYSICAL:moisture"":""wet""}"	recorded
