surface	working_meaning_de	composition	strongest_rival_de	family
chory	Pflanzenteil in Grundform	CHOR_PLANT_PART+Y_START_OR_CLOSE	abgeschlossener Blüten- oder Fruchtteil	PLANT_PART
tchoky	kühle den Trockenansatz und erwärme ihn anschließend leicht	T_COLD+CH_DRY+O_PREP+K_HOT+Y_START_OR_CLOSE	kalt-heißer Trockenansatz in Grundform	ACTION
leeesain	zwei Teile lang ausgezogene Holzdroge	L_WOOD+EEE_LONG_OR_FINAL+S_TERM_SPECIES+AIN_II	Holzdroge der zweiten Charge nach langer Stufe	WOOD
shdpchy	feuchte eine Dosis Pulver an und trockne sie leicht an	SH_MOIST+D_MEASURE+P_POWDER+CH_DRY+Y_START_OR_CLOSE	leicht getrocknete Pulverpaste	ACTION
oshey	Ansatz bis zur mittleren Stufe eingeweicht	O_PREP+SH_MOIST+E_MIDDLE+Y_START_OR_CLOSE	weiche den Ansatz bis zur mittleren Stufe ein	MOIST_PREP
keechy	vollständig erhitzen und anschließend leicht antrocknen	K_HOT+EE_END+CH_DRY+Y_START_OR_CLOSE	heiß getrocknetes Gut in Grundform	ACTION
opchy	Trockenpulverpräparat in Grundstufe	O_PREP+P_POWDER+CH_DRY+Y_START_OR_CLOSE	leicht getrocknetes Pulver im Ansatz	POWDER
chry	leicht getrocknete Wurzeldroge	CH_DRY+R_ROOT+Y_START_OR_CLOSE	getrocknete Rohwurzel	ROOT
lcheod	getrockneten Holzdrogenansatz abziehen und abschließen	L_WOOD+CH_DRY+E_MIDDLE+O_PREP+D_TERM_CLOSE	eine Dosis getrocknete Holzdroge	ACTION
cheodaiin	drei Dosen Trockenansatz auf mittlerer Trockenstufe	CH_DRY+E_MIDDLE+O_PREP+D_MEASURE+AIIN_III	Trockenansatz der dritten Formklasse	MEASURE
lcheedy	Holzdroge vollständig trocknen und abschließen	L_WOOD+CH_DRY+EE_END+DY_FINISHED	vollständig getrocknete Holzdroge	ACTION
chearaiin	drei Teile der ersten Trockenfraktion	CH_DRY+E_MIDDLE+AR_FRACTION_I+AIIN_III	erste Trockenfraktion in Sortierklasse III	FRACTION
chdaldy	abgemessenen Rohstoff I trocknen und abschließen	CH_DRY+D_MEASURE+AL_RAW_I+DY_FINISHED	fertig getrocknete Rohstoffmenge I	ACTION
loraiir	Holzportion in Sortierklasse III	L_WOOD+OR_PORTION+AIIR_FRACTION_III	drei Teile Holzportion	WOOD
otalal	kalten Rohstoff-I-Ansatz mit einem gleichen Teil Rohdroge I ansetzen	O_PREP+T_COLD+AL_RAW_I+AL_RAW_I	kalter Ansatz aus Rohstoffklasse I in Form I	PREPARATION
lkey	Holzdroge bis zur mittleren Heizstufe	L_WOOD+K_HOT+E_MIDDLE+Y_START_OR_CLOSE	leicht erhitzte Holzdroge	WOOD
lcheor	eine Portion bis zur Mittelstufe getrocknete Holzdroge	L_WOOD+CH_DRY+E_MIDDLE+OR_PORTION	eine Portion getrockneter Holzansatz	WOOD
pcheedy	Pulver vollständig trocknen und abschließen	P_POWDER+CH_DRY+EE_END+DY_FINISHED	vollständig getrocknetes Pulver	ACTION
okaram	ein Maß der ersten erhitzten Ansatzfraktion	O_PREP+K_HOT+AR_FRACTION_I+AM_UNIT_I	ein Maß heißen Ansatzes aus Fraktion I	MEASURE
teedu	Kühlendstufe abschließen	LEARNED_TEEDU_WHOLE	zweiter Kaltabzug	COLD
arain	erste Drogenfraktion in Menge II	AR_FRACTION_I+AIN_II	zwei Teile der ersten Drogenfraktion	FRACTION
yty	kühle hiervon leicht ab	Y_REFERENCE+T_COLD+Y_START_OR_CLOSE	diese Droge in kalter Grundstufe	ACTION
oykchor	nimm hiervon eine Portion heiß-trockenen Ansatzes	O_PREP+Y_REFERENCE+K_HOT+CH_DRY+OR_PORTION	heiß-trockene Portion dieser Droge im Ansatz	ENTRY
chckhan	trockenes Arzneikompositum auf Stufe I	CH_DRY+CKH_COMPOSITE+AN_UNIT_I	trockenes Arzneikompositum aus Rohstoff I	DRY
shed	Einweichen bis zur mittleren Stufe abschließen	SH_MOIST+E_MIDDLE+D_TERM_CLOSE	angefeuchtete Droge auf Mittelstufe	ACTION
ycheey	trockne hiervon bis zur Endstufe	Y_REFERENCE+CH_DRY+EE_END+Y_START_OR_CLOSE	diese Droge vollständig getrocknet	ACTION
soiry	Saatgutansatz in zweiter Fraktion und Grundform	LEARNED_SOIRY_WHOLE	Samenportion in Grundform	SEED
chealy	Rohstoff I bis zur mittleren Trockenstufe bringen	CH_DRY+E_MIDDLE+AL_RAW_I+Y_START_OR_CLOSE	Rohstoff I trocken in der Gradmitte	ACTION
oteeyoram	kühle bis zur Endstufe und gib ein Maß Wurzelansatz zu	O_PREP+T_COLD+EE_END+Y_START_OR_CLOSE+O_PREP+R_ROOT+AM_UNIT_I	ein Maß vollständig gekühlten Wurzelansatzes	ACTION
