rank	locus	zl3b_line	manual_workshop_translation_de	notes
1	f100v.22	daiin cheky chory	Etikett: drei Maße eines Pflanzenteils in Grundform, bis zur mittleren Trockenstufe getrocknet und anschließend kurz erwärmt.	Rein nominale Label-Lesung; chory wird als chor+y gelesen und benennt den Pflanzenteil in Grundform.
2	f103v.33	yshey lkeey qokain okey okaiin cheody otey shdpchy opchey oly	Weiche hiervon bis zur Mitte ein. Erhitze die Holzdroge vollständig; bringe den Ansatz erst auf Heizstufe II und danach auf Stufe III. Trockne ihn, kühle mäßig, feuchte eine Dosis Pulver an und trockne sie leicht nach. Nimm den Trockenpulveransatz der Form I und seihe ihn ab.	Keine unmarkierte Portionsannahme; shdpchy bezeichnet das Anfeuchten und leichte Nachtrocknen einer Pulverdosis, opchey den Trockenpulveransatz der Form I.
3	f103v.36	saiin shey qokeey oshey olshedy	Nimm Saatgut der Charge III, weiche es bis zur Mitte ein und erhitze vollständig. Weiche den Ansatz danach erneut bis zur Mitte und die darin enthaltene Holzdroge vollständig ein.	Initiales s ist Saatgut; saiin bezeichnet Charge III, oshey und olshedy lizenzieren Einweichen, aber weder eine Wassermenge noch Ausziehen.
4	f104r.4	o l sheedy qokeedy chedal qodaiin qodaiin chry	Weiche den Grundansatz vollständig ein und erhitze ihn bis zur Endstufe. Trockne die erste abgemessene Rohdrogenportion bis zur Mitte; bringe sowohl den vorherigen als auch den folgenden Posten auf Qualitätsstufe III und gib die leicht getrocknete Wurzeldroge hinzu.	Die sichtbare Folge o l wird reader-normalisiert als ol, also Grundansatz; qodaiin bezeichnet Qualitätsgrad III und chry leicht getrocknete Wurzeldroge.
5	f104v.9	ycheo lcheod otaiin qokeedy qokaiin cheor ol chedaiin qotar chedy qoty dal	Nimm den Trockenansatz hierzu. Trockne den Holzdrogenansatz bis zur mittleren Stufe und schließe ihn; kühle den Ansatz auf Stufe III, erhitze ihn bis zur Endstufe und anschließend auf Stufe III. Füge einen trockenen Drogenteil und eine abgemessene Trockendroge der Dosisstufe III hinzu. Gib die erste Kaltfraktion zu, trockne bis zur Mitte, kühle kurz und miss Rohdroge I ab.	lcheod bezeichnet Trocknen und Abschluss, nicht ohne eigenen Flussmarker ein Abziehen; otaiin und qokaiin sind Prozessstufen III.
6	f105v.22	daiin cheodaiin chedal air okaiin cheey	Nimm drei Maße sowie drei Dosen Trockenansatz auf mittlerer Trockenstufe. Gib eine erste abgemessene, bis zur Mitte getrocknete Rohdrogenportion und die zweite Fraktion hinzu, erhitze den Ansatz auf Stufe III und trockne ihn vollständig.	cheodaiin ist CH+E+O+D+AIIN und bezeichnet drei Dosen Trockenansatz auf mittlerer Trockenstufe.
7	f106r.12	okeey lcheedy olkeey qokeeo dchedy	Erhitze den Ansatz vollständig. Trockne Holzdroge ganz und schließe sie ab; erhitze den Holzdrogenansatz vollständig, führe den heißen Ansatz in Bindungsstufe II und schließe mit einer fertig abgemessenen Trockendosis.	lcheedy ist vollständiges Trocknen von Holzdroge; qokeeo bezeichnet einen heißen Ansatz in Bindungsstufe II, keine zweite Fraktion.
8	f106r.21	olkeedy qokchedy cheo lkeedy chearaiin okain	Erhitze den Holzdrogenansatz vollständig und schließe ihn ab. Erhitze und trockne ihn bis zur Mitte, gib Trockenansatz und fertig erhitzte Holzdroge hinzu. Füge drei Teile der ersten Trockenfraktion bei und halte den Ansatz auf Heizstufe II.	chearaiin bezeichnet drei Teile der ersten Trockenfraktion; die finale Karte lizenziert hier keinen zusätzlichen Trockenimperativ.
9	f107r.12	y chol chol loraiir aiinal	Etikett: zwei Posten Trockengut, eine Holzdrogenportion der dritten Fraktion und drei Teile Rohdroge I.	Labelzeile; BOS-y ist Etikettöffnung, loraiir eine Holzdrogenportion der dritten Fraktion und kein Dreimengenwert.
10	f108v.16	okeey lshey qokeeal lkeey okeol okedy qotal sholkeedy chedy qokain teedu	Erhitze den Ansatz bis zur Endstufe. Weiche Holzdroge ein, gib Rohdroge I auf der Heizendstufe und vollständig erhitzte Holzdroge hinzu. Erwärme den Grundansatz bis zur mittleren Heizstufe und schließe diese; gib Rohdroge I auf kalter Anfangsstufe und die vollständig erhitzte Feuchtdroge hinzu, trockne bis zur Mitte, erhitze auf Stufe II und schließe die Kühlendstufe ab.	qokeeal bezeichnet erhitzte Rohdroge I, okeol den bis zur mittleren Heizstufe erwärmten Grundansatz und teedu den Abschluss der Kühlendstufe.
11	f108v.4	dchedy shedy qokeed qoteedy qoteedy arain al keedy	Nimm eine fertig abgemessene Trockendosis und weiche sie bis zur Mitte ein. Erhitze vollständig und schließe ab, kühle zweimal bis zur Endstufe, gib die erste Drogenfraktion in Menge II sowie Rohdroge I hinzu und erhitze nochmals vollständig.	arain bezeichnet die erste Drogenfraktion in Menge II; zwei Teile bleiben nur die Rivalenlesung.
12	f10r.3	qotor o tchy daiin chocthy qotchy chol or yty dy dy	Nimm eine kalte Drogenportion und bringe den Ansatz kalt-trocken auf die Anfangsstufe; nimm drei Maße. Gib eine trockene Krautzubereitung hinzu, behandle sie kalt-trocken auf Anfangsstufe und füge Trockengut sowie eine Drogenportion bei. Kühle hiervon kurz ab und schließe die Charge.	Die Folge o tchy wird als kalt-trockener Ansatz gelesen; yty ist ein kurzer anaphorischer Kühlschritt, während kein Kartenwert ein Abfüllen lizenziert.
13	f10v.7	qokol chy ky chol cheky daiin dain chckhan	Erhitze Drogenmaterial und trockne es kurz; gib Trockengut hinzu, trockne bis zur Mitte und erwärme kurz. Nimm davon drei, anschließend zwei Maße und gib das trockene Arzneikompositum auf Stufe I hinzu.	chckhan bezeichnet ein trockenes Arzneikompositum auf Stufe I, keine Maßportion.
14	f111r.6	dain shedy qoky chedy qok shed olchedy qokeedy teedy chdy keedy qotchedy dary	Nimm zwei Maße, weiche bis zur Mitte ein, erwärme kurz und trockne bis zur Mitte. Erhitze den Ansatz und schließe das Einweichen auf der Mittelstufe ab; gib fertig getrocknete Holzdroge hinzu, erhitze vollständig, kühle vollständig, trockne kurz, erhitze wieder vollständig und führe zuletzt kalt-trocken bis zur Mitte. Schließe die erste abgemessene Fraktion.	qok regiert shed; die finale shed-Karte bezeichnet den Abschluss des Einweichens auf der Mittelstufe und keine Dosis.
