surface	working_default_de	composition_or_basis	strength	notes
arain	zwei Teile der ersten Drogenfraktion	AR_FRACTION_I+AIN_II	MEDIUM	Menge wird vom Fraktionskopf regiert.
aram	ein Maß der ersten Drogenfraktion	AR_FRACTION_I+AM_UNIT_I	MEDIUM	Konkrete Maßeinheit statt Gradwert.
as	ein Teil fertige Arzneispecies	A_PART+S_SPECIES	LOW	Terminales s ist Species-Abschluss, nicht Saatgut.
cham	trockne ein Maß Droge	CH_DRY+A_LINK+AM_UNIT_I	MEDIUM	Imperativ im Fließtext; im Label ein Maß Trockendroge.
chckhan	eine Maßportion trockene Kräutermischung	CH_DRY+CKH_COMPOSITE+AN_I	LOW	Gelernter Stoffwert mit Einheit I.
chcthedy	trockne eine Portion Krautdroge bis zur Mittelstufe und schließe ab	CH_DRY+CTH_HERB+E_MIDDLE+DY_FINISHED	HIGH	Direkte produktive Prozesskarte.
chdain	trockne zwei abgemessene Teile Droge	CH_DRY+D_MEASURE+AIN_II	MEDIUM	D regiert die Menge.
chdaldy	trockne die erste abgemessene Rohdrogenportion und schließe ab	CH_DRY+D_MEASURE+AL_RAW_I+DY_FINISHED	HIGH	Stoff, Portion und Abschluss explizit.
chdor	miss eine Drogenportion ab und trockne sie	CH_DRY+D_MEASURE+OR_PORTION	MEDIUM	Eine OR-Portion als Arbeitsmenge.
chealy	trockne Rohdroge I bis zur Mittelstufe und schließe ab	CH_DRY+E_MIDDLE+AL_RAW_I+Y_CLOSE	MEDIUM	Terminales y schließt den Schritt.
chearaiin	trockne drei Teile der ersten Drogenfraktion bis zur Mittelstufe	CH_DRY+E_MIDDLE+AR_FRACTION_I+AIIN_III	HIGH	Menge folgt dem Fraktionskopf.
checkhol	getrocknete Kräutermischung im Holzdrogenansatz	CH_DRY+CKH_COMPOSITE+OL_WOOD_PREP	LOW	Konkreter gelernter Stoff, kein Gradfeld.
checphey	trockne eine Portion Pulverpaste bis zur Mittelstufe	CH_DRY+E_MIDDLE+P_POWDER+SH_MOIST+Y_CLOSE	LOW	Kreative Ganzkarte für den einmaligen Kontext.
chedchy	trockne eine abgemessene Drogenportion leicht nach	CH_DRY+E_MIDDLE+D_MEASURE+CH_DRY+Y_LIGHT	LOW	Doppeltes ch als Nachtrocknung.
chedyor	eine Portion fertig mittelgetrocknete Droge	CH_DRY+E_MIDDLE+DY_FINISHED+OR_PORTION	MEDIUM	Nominaler Portionswert.
cheeety	trockne die Arzneispecies vollständig und kühle kurz	CH_DRY+EEE_FINAL+T_COLD+Y_LIGHT	LOW	Gelernte Abschlussfolge.
cheekchy	trockne den Ansatz vollständig und röste kurz nach	CH_DRY+EE_END+K_HOT+CH_DRY+Y_LIGHT	LOW	Praktische Wechselhandlung statt Zustandskette.
cheodaiin	drei Dosen Trockenansatz	CH_DRY+O_PREP+D_MEASURE+AIIN_III	HIGH	Konkreter Dosisstoff.
chkalykedy	trockne Rohdroge I, röste kurz und erhitze bis zur Mittelstufe fertig	CH_DRY+K_HOT+AL_RAW_I+Y_LIGHT+KEDY_MIDDLE_FINISH	LOW	Lange gelernte Prozesskarte.
chkeedy	trockne und erhitze eine Portion vollständig, dann schließe ab	CH_DRY+K_HOT+EE_END+DY_FINISHED	HIGH	Produktive Doppelhandlung.
chochy	trockne den Drogenansatz leicht nach	CHO_DRY_PREP+CH_DRY+Y_LIGHT	MEDIUM	Im einzigen Kontext kann Saatgut der Patient sein.
cholo	lasse den feuchten Ansatz zum Trockenrückstand eindicken	CHO_DRY_PREP+OL_MATERIAL+O_RESULT	LOW	Gelernter Übergang von Feuchtansatz zu Rückstand.
