rank	locus	zl3b_line	manual_workshop_translation_de	notes
1	f100v.22	daiin cheky chory	Etikett: drei Maße einer Drogenportion, bis zur mittleren Trockenstufe getrocknet und anschließend kurz erwärmt.	Label, daher nominal; chory ist eine leicht getrocknete Portion und kein Metafeld.
2	f103v.33	yshey lkeey qokain okey okaiin cheody otey shdpchy opchey oly	Weiche hiervon eine Portion bis zur Mitte ein. Erhitze die Holzdroge vollständig; bringe den Ansatz erst auf Heizstufe II und danach auf Stufe III. Trockne ihn, kühle mäßig, feuchte eine Dosis Pulver an und trockne sie leicht nach. Rühre das Trockenpulver ein und seihe ab.	Unmarkierte Stoffmenge als eine Portion; shdpchy wird als Anfeuchten und Nachtrocknen einer Pulverdosis gelesen.
3	f103v.36	saiin shey qokeey oshey olshedy	Nimm drei Teile Saatgut, weiche sie bis zur Mitte ein und erhitze sie vollständig. Weiche den Ansatz danach in Ansatzwasser erneut bis zur Mitte ein und ziehe darin eine Portion Holzdroge vollständig aus.	Initiales s ist Saatgut; oshey ist ein Einweichschritt im Ansatz, nicht bloß ein Zustandsetikett.
4	f104r.4	o l sheedy qokeedy chedal qodaiin qodaiin chry	Setze ein Pfund Droge in Ansatzwasser an, weiche sie vollständig ein und erhitze bis zur Endstufe. Trockne die erste abgemessene Rohdrogenportion bis zur Mitte, gib zweimal je drei Teile zu und trockne die Wurzel kurz an.	Freies o wird hier konkret als Ansatzwasser gelesen; chry bindet ch an r.
5	f104v.9	ycheo lcheod otaiin qokeedy qokaiin cheor ol chedaiin qotar chedy qoty dal	Nimm den Trockenansatz hierzu. Trockne den Holzdrogenansatz fertig und gieße ihn ab; gib drei Teile kalten Ansatz zu, erhitze auf Stufe III, füge eine Portion Trockendroge und drei abgemessene Dosen hinzu. Gib die erste Kaltfraktion zu, trockne bis zur Mitte, kühle kurz und miss eine Portion Rohdroge ab.	lcheod erhält Stoff, Handlung und Resultat; Mengenmarker regieren Dosis statt Grad.
6	f105v.22	daiin cheodaiin chedal air okaiin cheey	Nimm drei Maße sowie drei Dosen Trockenansatz. Trockne eine erste abgemessene Rohdrogenportion bis zur Mitte, gib die zweite Fraktion hinzu, erhitze den Ansatz auf Stufe III und trockne ihn vollständig.	cheodaiin ist CH+O+D+AIIN und daher eine konkrete Dreidosis.
7	f106r.12	okeey lcheedy olkeey qokeeo dchedy	Erhitze den Ansatz vollständig. Trockne eine Portion Holzdroge ganz und schließe sie ab; erhitze den Holzdrogenansatz vollständig, gib eine zweite heiße Ansatzfraktion hinzu und schließe mit einer fertig abgemessenen Trockendosis.	lcheedy ist vollständiges Trocknen von Holzdroge, nicht ein abstrakter Gradwert.
8	f106r.21	olkeedy qokchedy cheo lkeedy chearaiin okain	Erhitze den Holzdrogenansatz vollständig und schließe ihn ab. Erhitze und trockne ihn bis zur Mitte, gib eine Portion Trockenansatz und fertig erhitzte Holzdroge hinzu. Trockne drei Teile der ersten Drogenfraktion bis zur Mitte und halte den Ansatz auf Heizstufe II.	chearaiin wird als drei Teile der ersten Fraktion mit Trockenhandlung gelesen.
9	f107r.12	y chol chol loraiir aiinal	Etikett: zwei Posten Trockengut, drei Holzportionen und drei Teile Rohdroge I.	Labelzeile; BOS-y ist Etikettöffnung, kein Imperativ.
10	f108v.16	okeey lshey qokeeal lkeey okeol okedy qotal sholkeedy chedy qokain teedu	Erhitze den Ansatz bis zur Endstufe. Weiche eine Portion Holzdroge ein, gib die erste vollständig erhitzte Rohdrogenfraktion und eine ganz erhitzte Holzportion hinzu. Erwärme den Holzabsud mäßig, schließe die Heizstufe, gib eine erste gekühlte Rohdrogenportion und die vollständig erhitzte Feuchtdroge hinzu; trockne bis zur Mitte, erhitze auf Stufe II und kühle vollständig ab.	teedu schließt als vollständiges Abkühlen, nicht als unbekannter Stoff.
11	f108v.4	dchedy shedy qokeed qoteedy qoteedy arain al keedy	Nimm eine fertig abgemessene Trockendosis und weiche sie bis zur Mitte ein. Erhitze vollständig und schließe ab, kühle zweimal bis zur Endstufe, gib zwei Teile der ersten Fraktion sowie eine Portion Rohdroge I hinzu und erhitze nochmals vollständig.	arain ist AR+AIN: zwei Teile der ersten Fraktion.
12	f10r.3	qotor o tchy daiin chocthy qotchy chol or yty dy dy	Nimm eine kalte Drogenportion, setze sie in Ansatzwasser kalt-trocken an und nimm drei Maße. Gib eine trockene Krautzubereitung, eine weitere kaltgetrocknete Portion, Trockengut und eine Drogenportion hinzu. Kühle kurz, schließe die Charge ab und fülle sie ab.	yty ist ein kurzer anaphorischer Kühlschritt; die beiden dy schließen und disponieren die Charge.
13	f10v.7	qokol chy ky chol cheky daiin dain chckhan	Erhitze eine Portion Drogenmaterial und trockne sie kurz; gib Trockengut hinzu, trockne bis zur Mitte und erwärme kurz. Nimm drei, anschließend zwei Maße und schließe mit einer Maßportion trockener Kräutermischung.	chckhan wird als eine Einheit trockene Kräutermischung gelesen.
14	f111r.6	dain shedy qoky chedy qok shed olchedy qokeedy teedy chdy keedy qotchedy dary	Nimm zwei Maße, weiche bis zur Mitte ein, erwärme kurz und trockne bis zur Mitte. Erhitze eine Dosis mittelfeuchte Droge; gib fertig getrocknete Holzdroge hinzu, erhitze vollständig, kühle vollständig, trockne kurz, erhitze wieder vollständig und führe zuletzt kalt-trocken bis zur Mitte. Schließe die erste abgemessene Fraktion.	qok regiert das folgende Objekt shed; shed ist eine mittelfeuchte Dosis, nicht der Imperativ Arbeitsgang.
15	f111v.38	ycheey o aiin checkhey otain qotl chear chedy qokeey okeedy lkeey	Nimm hiervon eine vollständig getrocknete Portion und setze sie mit drei Teilen Ansatzwasser an. Gib eine trockene Kräutermischung, zwei Teile gekühlten Ansatz und eine kalte Holzportion hinzu. Füge die erste Trockenfraktion zu, trockne bis zur Mitte, erhitze vollständig, schließe den heißen Ansatz ab und gib zuletzt vollständig erhitzte Holzdroge hinzu.	ycheey ist ein anaphorischer Zugriff auf getrocknete Droge; o+aiin liefert die Ansatzmenge.
