surface	working_meaning_de	composition	strongest_rival_de	family
chory	getrocknete Portion, Grundform	CH_DRY+OR_PORTION+Y_BASE	getrocknete Rohwurzel (chery)	DRY
tchoky	kalt vortrocknen, dann leicht erhitzen	T_COLD+CH_DRY+O_PREP+K_HOT+Y_START	heiß-trockene Grundform ohne Kälteschritt	ACTION
leeesain	lange ausgezogene Holz-Saat-Mischung, Charge II	L_WOOD+EEE_LONG+SAIN_SEED_CHARGE_II	Holzdroge Endstufe plus allgemeine Species II; gelernter Stoffname	WOOD
shdpchy	eine Dosis Pulver anfeuchten und leicht antrocknen	SH_MOIST+D_MEASURE+P_POWDER+CH_DRY+Y_CLOSE	angefeuchtetes Pulver ohne Abmessung	ACTION
oshey	Mazerat bis zur mittleren Einweichstufe	O_PREP+SH_MOIST+E_MIDDLE+Y	feuchter Stoff ohne Ansatzrahmen	MOIST_PREP
keechy	vollständig erhitzen, dann leicht trocknen	K_HOT+EE_END+CH_DRY+Y	nur vollständig erhitzt	ACTION
opchy	Pulveransatz leicht antrocknen	O_PREP+P_POWDER+CH_DRY+Y	Pulveransatz, Form I	POWDER
chry	leicht getrocknete Wurzel	CH_DRY+R_ROOT+Y	getrocknete Rohwurzel der Mittelstufe	ROOT
lcheod	Holzansatz trocknen und abschließen	L_WOOD+CH_DRY+EO_PREP+D_CLOSE	trockenen Holzansatz abmessen	WOOD
cheodaiin	drei Dosen Trockenansatz	CHEO_DRY_PREP+D_MEASURE+AIIN_III	drei Teile Trockengut	MEASURE
lcheedy	vollständig getrocknete Holzdroge	L_WOOD+CH_DRY+EE_END+DY_FINISHED	gebundene Holzform II	WOOD
chearaiin	drei Teile der mitteltrockenen ersten Fraktion	CH_DRY+E_MIDDLE+AR_FRACTION_I+AIIN_III	Trockenstufe III ohne Fraktionswert	FRACTION
chdaldy	eine abgemessene Menge Rohstoff I fertig trocknen	CH_DRY+D_MEASURE+AL_RAW_I+DY_FINISHED	Rohstoff I nur abmessen	ACTION
loraiir	dritte Holzportion	L_WOOD+OR_PORTION+AIIR_III	Leser-/Schreibvariante loraiin	WOOD
otalal	Kaltansatz aus zwei gleichen Teilen Rohstoff I	O_PREP+T_COLD+AL_RAW_I+AL_RAW_I	einfacher Kaltansatz aus Rohstoff I	COLD
