paragraph	locus	index	raw	D	H	status	input_attribute_grammars	timing_note	repeat_obligation	joint	joint_status	branch	U	A	N	al_reference_M	row_status
f6v|f6v.6-f6v.21	f6v.6	1	tchody	Bereitung	Bereitung	ASSUMED		UNCHANGED	UNCHANGED	Bereitung	ASSUMED	INHERITED	Bereitung	Bereitung	Bereitung		recorded
f6v|f6v.6-f6v.21	f6v.6	2	shocthol	benetztes Krautpulver	benetztes Krautpulver	ASSUMED		UNCHANGED	UNCHANGED	benetztes Krautpulver	ASSUMED	INHERITED	benetztes Krautpulver	benetztes Krautpulver	benetztes Krautpulver		recorded
f6v|f6v.6-f6v.21	f6v.6	3	cho{cthh}y	[ungelesen: cho{cthh}y]	[ungelesen: cho{cthh}y]	UNREAD		UNCHANGED	UNCHANGED	[ungelesen: cho{cthh}y]	UNREAD	INHERITED	[ungelesen: cho{cthh}y]	[ungelesen: cho{cthh}y]	[ungelesen: cho{cthh}y]		recorded
f6v|f6v.6-f6v.21	f6v.6	4	s	jeweils	jeweils	ASSUMED		UNCHANGED	UNCHANGED	jeweils	ASSUMED	INHERITED	jeweils	jeweils	jeweils		recorded
f6v|f6v.6-f6v.21	f6v.7	1	ychos	zerkleinere	zerkleinere	ASSUMED		UNCHANGED	UNCHANGED	zerkleinere	ASSUMED	INHERITED	zerkleinere	zerkleinere	zerkleinere		recorded
f6v|f6v.6-f6v.21	f6v.7	2	ychol	trockne	trockne	ASSUMED		UNCHANGED	UNCHANGED	trockne	ASSUMED	INHERITED	trockne	trockne	trockne		recorded
f6v|f6v.6-f6v.21	f6v.7	3	daiin	Dosis Q	Dosis Q	ASSUMED		UNCHANGED	UNCHANGED	Dosis Q	ASSUMED	INHERITED	Dosis Q	Dosis Q	Dosis Q		recorded
f6v|f6v.6-f6v.21	f6v.7	4	cthol	Krautpulver	Krautpulver	ASSUMED		UNCHANGED	UNCHANGED	Krautpulver	ASSUMED	INHERITED	Krautpulver	Krautpulver	Krautpulver		recorded
f6v|f6v.6-f6v.21	f6v.7	5	dol	Portion	Portion	ASSUMED		UNCHANGED	UNCHANGED	Portion	ASSUMED	INHERITED	Portion	Portion	Portion		recorded
f6v|f6v.6-f6v.21	f6v.8	1	ychor	nimm	nimm	TARGET_HYPOTHESES		UNCHANGED	UNCHANGED	nimm	TARGET_HYPOTHESES	N	nimm	nimm	nimm		recorded
