edition	paragraph	grammar	target	T_source	V_source	same_nonempty	amount	row_status
ZL3b	f86v5|f86v5.18-f86v5.25	B	f86v5.18:7			False		recorded
ZL3b	f86v5|f86v5.18-f86v5.25	J	f86v5.18:7			False		recorded
ZL3b	f86v5|f86v5.18-f86v5.25	M	f86v5.18:7			False		recorded
ZL3b	f93r|f93r.1-f93r.32	B	f93r.11:6	f93r.11:5	f93r.10:4	False		recorded
ZL3b	f93r|f93r.1-f93r.32	J	f93r.11:6	f93r.11:5	f93r.10:4	False		recorded
ZL3b	f93r|f93r.1-f93r.32	M	f93r.11:6	f93r.11:5	f93r.10:4	False		recorded
ZL3b	f99r|f99r.47-f99r.52	B	f99r.50:9	f99r.49:6	f99r.49:6	True	f99r.50:8	recorded
ZL3b	f99r|f99r.47-f99r.52	J	f99r.50:9	f99r.49:6	f99r.49:6	True	f99r.50:8	recorded
ZL3b	f99r|f99r.47-f99r.52	M	f99r.50:9	f99r.49:6	f99r.49:6	True	f99r.50:8	recorded
ZL3b	f102v2|f102v2.30-f102v2.39	B	f102v2.33:7	f102v2.33:4	f102v2.33:2	False		recorded
ZL3b	f102v2|f102v2.30-f102v2.39	J	f102v2.33:7	f102v2.33:4	f102v2.33:2	False		recorded
ZL3b	f102v2|f102v2.30-f102v2.39	M	f102v2.33:7	f102v2.33:4	f102v2.33:2	False		recorded
IT2a	f86v5|f86v5.18-f86v5.25	B	f86v5.18:7	f86v5.18:2		False		recorded
IT2a	f86v5|f86v5.18-f86v5.25	J	f86v5.18:7	f86v5.18:2		False		recorded
IT2a	f86v5|f86v5.18-f86v5.25	M	f86v5.18:7	f86v5.18:2		False		recorded
IT2a	f93r|f93r.1-f93r.32	B	f93r.11:5	f93r.11:4	f93r.10:4	False		recorded
IT2a	f93r|f93r.1-f93r.32	J	f93r.11:5	f93r.11:4	f93r.10:4	False		recorded
IT2a	f93r|f93r.1-f93r.32	M	f93r.11:5	f93r.11:4	f93r.10:4	False		recorded
IT2a	f99r|f99r.47-f99r.52	B	f99r.50:9	f99r.49:3	f99r.49:3	True	f99r.50:8	recorded
IT2a	f99r|f99r.47-f99r.52	J	f99r.50:9	f99r.49:3	f99r.49:3	True	f99r.50:8	recorded
IT2a	f99r|f99r.47-f99r.52	M	f99r.50:9	f99r.49:3	f99r.49:3	True	f99r.50:8	recorded
IT2a	f102v2|f102v2.30-f102v2.39	B	f102v2.33:6	f102v2.33:4	f102v2.33:2	False		recorded
IT2a	f102v2|f102v2.30-f102v2.39	J	f102v2.33:6	f102v2.33:4	f102v2.33:2	False		recorded
IT2a	f102v2|f102v2.30-f102v2.39	M	f102v2.33:6	f102v2.33:4	f102v2.33:2	False		recorded
RF1b	f86v5|f86v5.18-f86v5.25	B	f86v5.18:7	f86v5.18:2		False		recorded
RF1b	f86v5|f86v5.18-f86v5.25	J	f86v5.18:7	f86v5.18:2		False		recorded
RF1b	f86v5|f86v5.18-f86v5.25	M	f86v5.18:7	f86v5.18:2		False		recorded
RF1b	f93r|f93r.1-f93r.32	B	f93r.11:6	f93r.11:5	f93r.10:4	False		recorded
RF1b	f93r|f93r.1-f93r.32	J	f93r.11:6	f93r.11:5	f93r.10:4	False		recorded
RF1b	f93r|f93r.1-f93r.32	M	f93r.11:6	f93r.11:5	f93r.10:4	False		recorded
RF1b	f99r|f99r.47-f99r.52	B	f99r.50:9	f99r.49:7	f99r.49:7	True	f99r.50:8	recorded
RF1b	f99r|f99r.47-f99r.52	J	f99r.50:9	f99r.49:7	f99r.49:7	True	f99r.50:8	recorded
RF1b	f99r|f99r.47-f99r.52	M	f99r.50:9	f99r.49:7	f99r.49:7	True	f99r.50:8	recorded
RF1b	f102v2|f102v2.30-f102v2.39	B	f102v2.33:7	f102v2.33:4	f102v2.33:2	False		recorded
RF1b	f102v2|f102v2.30-f102v2.39	J	f102v2.33:7	f102v2.33:4	f102v2.33:2	False		recorded
RF1b	f102v2|f102v2.30-f102v2.39	M	f102v2.33:7	f102v2.33:4	f102v2.33:2	False		recorded
