edition	paragraph	grammar	model	target	source	source_form	via_action	source_after_reference	inherited_debts	unread_between	other_materials	amount	amount_form	status	reading	numerical_quantity	actual_partition_event	row_status
ZL3b	f99r|f99r.47-f99r.52	B	U	f99r.50:9				False				f99r.50:8	or	UNBOUND_BASELINE	Anteil davon: [Herkunft ungebunden]		NOT_ESTABLISHED	recorded
ZL3b	f99r|f99r.47-f99r.52	B	T	f99r.50:9	f99r.49:6	okeol		False		f99r.49:9;f99r.49:10;f99r.50:4;f99r.50:7		f99r.50:8	or	SOURCE_BOUND_HYPOTHETICALLY	Anteil davon: warme Flüssigkeit [nominale Qualität: Stoffkonstitution] (f99r.49:6)		NOT_ESTABLISHED	recorded
ZL3b	f99r|f99r.47-f99r.52	B	V	f99r.50:9	f99r.49:6	okeol	f99r.50:5	False	UNREAD_BETWEEN:f99r.49:9;UNREAD_BETWEEN:f99r.49:10;UNREAD_BETWEEN:f99r.50:4;IMPLICIT_SUBJECT_CONTINUATION	f99r.49:9;f99r.49:10;f99r.50:4;f99r.50:7		f99r.50:8	or	SOURCE_BOUND_HYPOTHETICALLY	Anteil davon: warme Flüssigkeit [nominale Qualität: Stoffkonstitution] (f99r.49:6)		NOT_ESTABLISHED	recorded
ZL3b	f99r|f99r.47-f99r.52	J	U	f99r.50:9				False				f99r.50:8	or	UNBOUND_BASELINE	Anteil davon: [Herkunft ungebunden]		NOT_ESTABLISHED	recorded
ZL3b	f99r|f99r.47-f99r.52	J	T	f99r.50:9	f99r.49:6	okeol		False		f99r.49:9;f99r.49:10;f99r.50:4;f99r.50:7		f99r.50:8	or	SOURCE_BOUND_HYPOTHETICALLY	Anteil davon: warme Flüssigkeit [nominale Qualität: Stoffkonstitution] (f99r.49:6)		NOT_ESTABLISHED	recorded
ZL3b	f99r|f99r.47-f99r.52	J	V	f99r.50:9	f99r.49:6	okeol	f99r.50:5	False	UNREAD_BETWEEN:f99r.49:9;UNREAD_BETWEEN:f99r.49:10;UNREAD_BETWEEN:f99r.50:4;IMPLICIT_SUBJECT_CONTINUATION	f99r.49:9;f99r.49:10;f99r.50:4;f99r.50:7		f99r.50:8	or	SOURCE_BOUND_HYPOTHETICALLY	Anteil davon: warme Flüssigkeit [nominale Qualität: Stoffkonstitution] (f99r.49:6)		NOT_ESTABLISHED	recorded
ZL3b	f99r|f99r.47-f99r.52	M	U	f99r.50:9				False				f99r.50:8	or	UNBOUND_BASELINE	Anteil davon: [Herkunft ungebunden]		NOT_ESTABLISHED	recorded
ZL3b	f99r|f99r.47-f99r.52	M	T	f99r.50:9	f99r.49:6	okeol		False		f99r.49:9;f99r.49:10;f99r.50:4;f99r.50:7		f99r.50:8	or	SOURCE_BOUND_HYPOTHETICALLY	Anteil davon: warme Flüssigkeit [nominale Qualität: Stoffkonstitution] (f99r.49:6)		NOT_ESTABLISHED	recorded
ZL3b	f99r|f99r.47-f99r.52	M	V	f99r.50:9	f99r.49:6	okeol	f99r.50:5	False	UNREAD_BETWEEN:f99r.49:9;UNREAD_BETWEEN:f99r.49:10;UNREAD_BETWEEN:f99r.50:4;IMPLICIT_SUBJECT_CONTINUATION	f99r.49:9;f99r.49:10;f99r.50:4;f99r.50:7		f99r.50:8	or	SOURCE_BOUND_HYPOTHETICALLY	Anteil davon: warme Flüssigkeit [nominale Qualität: Stoffkonstitution] (f99r.49:6)		NOT_ESTABLISHED	recorded
IT2a	f99r|f99r.47-f99r.52	B	U	f99r.50:9				False				f99r.50:8	or	UNBOUND_BASELINE	Anteil davon: [Herkunft ungebunden]		NOT_ESTABLISHED	recorded
IT2a	f99r|f99r.47-f99r.52	B	T	f99r.50:9	f99r.49:3	keeor		False		f99r.49:6;f99r.49:8;f99r.49:9;f99r.50:4;f99r.50:7		f99r.50:8	or	SOURCE_BOUND_HYPOTHETICALLY	Anteil davon: Feinauszug (f99r.49:3)		NOT_ESTABLISHED	recorded
