docket_id	owner_slot	material_slot	quantity_slot	operation_slot	grade_slot	target_slot	endpoint_slot	terse_docket	owner_supplied_by_image	silent_owner_de	selected_card_sequence	component_sequence	role_template	role_template_support	selected_surface_sequence	master_selects_exact_card_family	hand_selects_surface_allograph	literal_backreading_de	fluent_owner_filled_reading_de	new_card	new_surface
D01	PLANT	BILDTEIL	MASS	ANSETZEN	-	-	DIES	BES:PLANT ST:BILDTEIL M:MASS W:ANSETZEN G:- ORT:- E:DIES	YES	abgebildete Pflanze/Pflanzenteil	PROC009|PROC008	AIIN | OK+Y	QUANTITY_STAGE>CURRENT_ITEM	29	daiin qoky	YES	YES	MASS ; ANSETZEN · DIES	Vorgeschriebenes Mass; diesen Pflanzenteil ansetzen.	NO	NO
D02	PLANT	ZUTAT	-	ANSATZ BILDEN	-	-	OFFEN	BES:PLANT ST:ZUTAT M:- W:ANSATZ BILDEN G:- ORT:- E:OFFEN	YES	abgebildete Pflanze/Pflanzenteil	PROC056|PROC016	HO+Y | OR	CURRENT_ITEM>PREPARATION	5	choy chor	NO	YES	ZUTAT · DIES ; ANSATZ	Diese Zutat nehmen; daraus den Ansatz bereithalten.	NO	NO
D03	PLANT	BILDTEIL	-	WASCHEN HALTEN	LANG	-	DIES	BES:PLANT ST:BILDTEIL M:- W:WASCHEN HALTEN G:LANG ORT:- E:DIES	YES	abgebildete Pflanze/Pflanzenteil	PROC084|PROC031	LSH+O | SH+EE+Y	OPEN_ACTION>CURRENT_ITEM	5	lsho shey	YES	YES	WASCHEN · GANG ; HALTEN · LANG · DIES	Waschgang; diesen Pflanzenteil laenger darin halten.	NO	NO
D04	PLANT	BILDTEIL	-	AUSWRINGEN ABSETZEN	-	-	SCHLUSS	BES:PLANT ST:BILDTEIL M:- W:AUSWRINGEN ABSETZEN G:- ORT:- E:SCHLUSS	YES	abgebildete Pflanze/Pflanzenteil	PROC028|PROC078	CFH+Y | SHED+DY	CURRENT_ITEM>CLOSE_STEP	25	cfhy shedy	NO	YES	AUSWRINGEN · DIES ; ABSETZEN · SCHLUSS	Diesen Teil auswringen; absetzen und schliessen.	NO	NO
D05	BASIN	ANSATZ	MASS	ANSETZEN	-	ZIEL	OFFEN	BES:BASIN ST:ANSATZ M:MASS W:ANSETZEN G:- ORT:ZIEL E:OFFEN	YES	lokale Becken- oder Badestation	PROC009|PROC048	AIIN | OK+AL	QUANTITY_STAGE>TARGET	7	daiin qokal	NO	YES	MASS ; ANSETZEN · ZIEL	Vorgeschriebenes Mass; den Ansatz an der Beckenstelle ansetzen.	NO	NO
D06	BASIN	LAUF	MASS	WEITERLEITEN UMSETZEN	-	-	OFFEN	BES:BASIN ST:LAUF M:MASS W:WEITERLEITEN UMSETZEN G:- ORT:- E:OFFEN	YES	lokale Becken- oder Badestation	PROC147|PROC150	L+AIIN | CHD+AIR	QUANTITY_STAGE>FLOW	2	chldaiin schedair	NO	NO	WEITERLEITEN · MASS ; UMSETZEN · LAUF	Nach Mass weiterleiten; den Lauf umsetzen.	NO	NO
D07	BASIN	STATIONSPOSTEN	-	WAERMEN	KURZ	-	SCHLUSS	BES:BASIN ST:STATIONSPOSTEN M:- W:WAERMEN G:KURZ ORT:- E:SCHLUSS	YES	lokale Becken- oder Badestation	PROC083|PROC041	CHK+E+Y | O+DY	CURRENT_ITEM>CLOSE_STEP	25	cheky ody	NO	NO	WAERMEN · KURZ · DIES ; GANG · SCHLUSS	Diesen Stationsposten kurz waermen; den Gang schliessen.	NO	NO
D08	PLANT	ZUTAT	PORTION	ZUDOSIEREN	-	-	DIES	BES:PLANT ST:ZUTAT M:PORTION W:ZUDOSIEREN G:- ORT:- E:DIES	YES	abgebildete Pflanze/Pflanzenteil	PROC156|PROC035	AIN | K+Y	QUANTITY_STAGE>CURRENT_ITEM	29	dain kchy	NO	NO	PORTION ; ZUDOSIEREN · DIES	Eine Portion; diese Zutat zudosieren.	NO	NO
D09	BASIN	BADEPOSTEN	-	HALTEN	LANG	ZIEL	SCHLUSS	BES:BASIN ST:BADEPOSTEN M:- W:HALTEN G:LANG ORT:ZIEL E:SCHLUSS	YES	lokale Becken- oder Badestation	PROC031|PROC127	SH+EE+Y | AL+DY	CURRENT_ITEM>CLOSE_STEP	25	shey daldy	YES	YES	HALTEN · LANG · DIES ; ZIEL · SCHLUSS	Diesen Badeposten laenger halten; an der Zielstelle schliessen.	NO	NO
D10	APPARATUS	LEITUNGSPOSTEN	-	DURCHLASS WEITER	-	-	SCHLUSS	BES:APPARATUS ST:LEITUNGSPOSTEN M:- W:DURCHLASS WEITER G:- ORT:- E:SCHLUSS	YES	lokale Leitungs-/Gefaeßstation	PROC075|PROC108	CKH+Y | L+DY	CURRENT_ITEM>CLOSE_STEP	25	chckhy ldy	NO	YES	DURCHLASS · DIES ; WEITERLEITEN · SCHLUSS	Diesen Posten durch den Durchlass fuehren; weiterleiten und schliessen.	NO	NO
D11	PLANT	ANSATZ	-	KUEHLEN	-	ZIEL	DIES	BES:PLANT ST:ANSATZ M:- W:KUEHLEN G:- ORT:ZIEL E:DIES	YES	abgebildete Pflanze/Pflanzenteil	PROC172	R+AL+Y	CURRENT_ITEM	SINGLE_CARD	raly	NO	NO	KUEHLEN · ZIEL · DIES	Diesen Ansatz an der bezeichneten Stelle kuehlen.	NO	NO
D12	APPARATUS	LEITUNGSPOSTEN	MASS	WEITERLEITEN	-	-	FORTSETZEN	BES:APPARATUS ST:LEITUNGSPOSTEN M:MASS W:WEITERLEITEN G:- ORT:- E:FORTSETZEN	YES	lokale Leitungs-/Gefaeßstation	PROC009|PROC167	AIIN | L+OL	QUANTITY_STAGE>CONTINUE	3	daiin lol	NO	YES	MASS ; WEITERLEITEN · FORTSETZEN	Vorgeschriebenes Mass; weiterleiten und fortfahren.	NO	NO
