pattern	pattern_role	running_surface	component_recipe	event_count	pages	exact_target_surface	licenses_oiil_split	reason
oii	O_IIN_SURFACE_NEIGHBOUR	doiin	D_ADDR+O+IIN	2	f13r|f67r2	NO	NO	O_IIN_RENDERINGS_KEEP_TERMINAL_n_AND_SUPPLY_NO_FOLLOWING_L
oii	O_IIN_SURFACE_NEIGHBOUR	doiir	D_ADDR+O+IIN+R	2	f10r|f24v	NO	NO	O_IIN_RENDERINGS_KEEP_TERMINAL_n_AND_SUPPLY_NO_FOLLOWING_L
oii	O_IIN_SURFACE_NEIGHBOUR	loiiin	L+O+IIN	1	f89r	NO	NO	O_IIN_RENDERINGS_KEEP_TERMINAL_n_AND_SUPPLY_NO_FOLLOWING_L
oii	O_IIN_SURFACE_NEIGHBOUR	oiiiin	O+IIN	1	f77r	NO	NO	O_IIN_RENDERINGS_KEEP_TERMINAL_n_AND_SUPPLY_NO_FOLLOWING_L
oii	O_IIN_SURFACE_NEIGHBOUR	oiiin	O+IIN	4	f72r|f81v|f89r	NO	NO	O_IIN_RENDERINGS_KEEP_TERMINAL_n_AND_SUPPLY_NO_FOLLOWING_L
oii	O_IIN_SURFACE_NEIGHBOUR	oiin	O+IIN	6	f13r|f1r|f67r2|f72r|f81v	NO	NO	O_IIN_RENDERINGS_KEEP_TERMINAL_n_AND_SUPPLY_NO_FOLLOWING_L
oii	O_IIN_SURFACE_NEIGHBOUR	okoiin	OK+O+IIN	1	f89r	NO	NO	O_IIN_RENDERINGS_KEEP_TERMINAL_n_AND_SUPPLY_NO_FOLLOWING_L
oii	O_IIN_SURFACE_NEIGHBOUR	qokoiin	OK+O+IIN	1	f82r	NO	NO	O_IIN_RENDERINGS_KEEP_TERMINAL_n_AND_SUPPLY_NO_FOLLOWING_L
oii	O_IIN_SURFACE_NEIGHBOUR	shekoiin	SH+E+K+O+IIN	1	f95v	NO	NO	O_IIN_RENDERINGS_KEEP_TERMINAL_n_AND_SUPPLY_NO_FOLLOWING_L
oii	O_IIN_SURFACE_NEIGHBOUR	soiiin	S+O+LOCAL_CHAR_I+IIN	2	f83r|f89r	NO	NO	O_IIN_RENDERINGS_KEEP_TERMINAL_n_AND_SUPPLY_NO_FOLLOWING_L
oii	O_IIN_SURFACE_NEIGHBOUR	soiin	S+O+IIN	2	f1r|f81r	NO	NO	O_IIN_RENDERINGS_KEEP_TERMINAL_n_AND_SUPPLY_NO_FOLLOWING_L
oii	O_IIN_SURFACE_NEIGHBOUR	ytoiin	Y+T+O+IIN	1	f10r	NO	NO	O_IIN_RENDERINGS_KEEP_TERMINAL_n_AND_SUPPLY_NO_FOLLOWING_L
iil	IIN_L_SURFACE_NEIGHBOUR	cphodaiils	CH+P+O+D_ADDR+AIIN+L+S	1	f1r	NO	NO	SINGLE_AIIN_L_CONTEXT_ONLY__NOT_IIN_L_OR_EXACT_CARD
