statement_id	record_unit_id	page	visible_owner_trace	owner_break_inside_statement	card_layer_trace	shared_card_count	local_card_count	terse_apprentice_recitation_de
B1-S001	B1	f81v	gemeinsames zweireihiges Figuren-/Beckenfeld	NO	G	1	0	Beim Besitzer »gemeinsames zweireihiges Figuren-/Beckenfeld«: kurz einwirken; Schluss.
B1-S002	B1	f81v	gemeinsames zweireihiges Figuren-/Beckenfeld	NO	G L G G G G G G G L G G G L G L G G G	15	4	Beim Besitzer »gemeinsames zweireihiges Figuren-/Beckenfeld«: bemessen — Lauf — dorthin einsetzen — davon — weiter — Anteil — weiterer Anteil — dorthin — weiter — weiter — Zusatz — derselbe Ansatz — weiter — Passage kurz Ziel — Sollmaß — einsetzen länger Ziel — Sollmaß — durchleiten — überführen; Schluss.
B1-S003	B1	f81v	gemeinsames zweireihiges Figuren-/Beckenfeld	NO	G L	1	1	Beim Besitzer »gemeinsames zweireihiges Figuren-/Beckenfeld«: weiter — Haltetransfer; Schluss.
B1-S004	B1	f81v	gemeinsames zweireihiges Figuren-/Beckenfeld	NO	G G G	3	0	Beim Besitzer »gemeinsames zweireihiges Figuren-/Beckenfeld«: überführen — weiter — kurz absetzen; Schluss.
B1-S005	B1	f81v	gemeinsames zweireihiges Figuren-/Beckenfeld	NO	G	1	0	Beim Besitzer »gemeinsames zweireihiges Figuren-/Beckenfeld«: weiterführen; Schluss.
B1-S006	B1	f81v	gemeinsames zweireihiges Figuren-/Beckenfeld	NO	G G G L	3	1	Beim Besitzer »gemeinsames zweireihiges Figuren-/Beckenfeld«: Anteil zugeben — durchleiten — Zusatz — Ziel.
B1-S007	B1	f81v	gemeinsames zweireihiges Figuren-/Beckenfeld	NO	G	1	0	Beim Besitzer »gemeinsames zweireihiges Figuren-/Beckenfeld«: einführen; Schluss.
B1-S008	B1	f81v	gemeinsames zweireihiges Figuren-/Beckenfeld	NO	G G G G G	5	0	Beim Besitzer »gemeinsames zweireihiges Figuren-/Beckenfeld«: dies — weiter — kurz wärmen — weiter — kurz absetzen; Schluss.
B1-S009	B1	f81v	gemeinsames zweireihiges Figuren-/Beckenfeld	NO	G	1	0	Beim Besitzer »gemeinsames zweireihiges Figuren-/Beckenfeld«: kurz einwirken; Schluss.
B1-S010	B1	f81v	gemeinsames zweireihiges Figuren-/Beckenfeld	NO	G	1	0	Beim Besitzer »gemeinsames zweireihiges Figuren-/Beckenfeld«: kurz einwirken; Schluss.
