model	edition	paragraph	chey	target	target_word	status	intervening	stop
AMV	ZL3b	f116r|f116r.31-f116r.45	ZL3b|f116r.36|G008	ZL3b|f116r.36|G009	sheckhy	TARGET		sheckhy
AMV	ZL3b	f116r|f116r.31-f116r.45	ZL3b|f116r.39|G002	ZL3b|f116r.41|G009	qokchy	TARGET	olr ain shey qokain o l keey keeey lkeal or al lom dsheey shey qokey shey qokain shckhy chery ol chedy l chey lchy dlar shar shar r ain sheain okain shey	qokchy
AMV	ZL3b	f116r|f116r.31-f116r.45	ZL3b|f116r.40|G011	ZL3b|f116r.41|G009	qokchy	TARGET	lchy dlar shar shar r ain sheain okain shey	qokchy
AMV	ZL3b	f116r|f116r.31-f116r.45	ZL3b|f116r.44|G009	ZL3b|f116r.45|G005	chy	TARGET	qol okam odain sh??y qoka[r:s] oleey	chy
AMV	ZL3b	f75v|f75v.43-f75v.49	ZL3b|f75v.43|G009	ZL3b|f75v.43|G011	dy	TARGET	tal	dy
AMV	ZL3b	f80r|f80r.28-f80r.33	ZL3b|f80r.31|G004	ZL3b|f80r.32|G002	qoky	TARGET	okalol okaly qokeedy oly solchey	qoky
AMV	IT2a	f116r|f116r.31-f116r.45	IT2a|f116r.36|G008	IT2a|f116r.36|G009	sheckhy	TARGET		sheckhy
AMV	IT2a	f116r|f116r.31-f116r.45	IT2a|f116r.39|G002	IT2a|f116r.41|G008	qokchy	TARGET	olr ain shey qokain olkeey keeey lkeal or al lom dsheey shey qokey shey qokain shckhy chery ol chedy lcheylchy dlar shar shar rain sheain okain shey	qokchy
AMV	IT2a	f116r|f116r.31-f116r.45	IT2a|f116r.44|G008	IT2a|f116r.45|G005	chy	TARGET	qol okam odaiin shey qokas aleey	chy
AMV	IT2a	f75v|f75v.43-f75v.49	IT2a|f75v.43|G010	IT2a|f75v.43|G012	dy	TARGET	tal	dy
AMV	IT2a	f80r|f80r.28-f80r.33	IT2a|f80r.31|G004	IT2a|f80r.32|G002	qoky	TARGET	okalol okaly qokeedy oly solchey	qoky
