model	edition	paragraph	at	word	hypothesis	kind	polarity	patient	patient_word	patient_hypothesis	status	intervening
NRC	ZL3b	f116r|f116r.31-f116r.45	ZL3b|f116r.31|G003	ckhal	presse aus	ACTION	POSITIVE				MISSING_PATIENT	
NRC	ZL3b	f116r|f116r.31-f116r.45	ZL3b|f116r.31|G008	ches	stampfe	ACTION	POSITIVE				MISSING_PATIENT	
NRC	ZL3b	f116r|f116r.31-f116r.45	ZL3b|f116r.33|G002	ykeey	erwärme erneut	ACTION	POSITIVE	ZL3b|f116r.32|G006	shey	Zubereitung B	LEFT_PATIENT_ASSUMED	ol lchedy rshey qokeedy chtain oly soraiin
NRC	ZL3b	f116r|f116r.31-f116r.45	ZL3b|f116r.33|G006	sheey	benetze	ACTION	POSITIVE	ZL3b|f116r.33|G005	qokain	erwärmte Dosis P	LEFT_PATIENT_ASSUMED	
NRC	ZL3b	f116r|f116r.31-f116r.45	ZL3b|f116r.34|G012	qokam	erwärme	ACTION	POSITIVE	ZL3b|f116r.34|G010	okaiin	Dosis des Grundansatzes	LEFT_PATIENT_ASSUMED	shckhy
NRC	ZL3b	f116r|f116r.31-f116r.45	ZL3b|f116r.35|G002	qokeey	erhitze anhaltend	ACTION	POSITIVE	ZL3b|f116r.34|G010	okaiin	Dosis des Grundansatzes	LEFT_PATIENT_ASSUMED	shckhy qokam shedy
NRC	ZL3b	f116r|f116r.31-f116r.45	ZL3b|f116r.35|G004	qokeey	erhitze anhaltend	ACTION	POSITIVE	ZL3b|f116r.35|G003	qokain	erwärmte Dosis P	LEFT_PATIENT_ASSUMED	
NRC	ZL3b	f116r|f116r.31-f116r.45	ZL3b|f116r.36|G001	qokeey	erhitze anhaltend	ACTION	POSITIVE	ZL3b|f116r.35|G008	cthar	kleine Kräuterportion	LEFT_PATIENT_ASSUMED	shckhy qorar
NRC	ZL3b	f116r|f116r.31-f116r.45	ZL3b|f116r.36|G004	okeey	erwärme vorsichtig	ACTION	POSITIVE	ZL3b|f116r.36|G003	shey	Zubereitung B	LEFT_PATIENT_ASSUMED	
NRC	ZL3b	f116r|f116r.31-f116r.45	ZL3b|f116r.36|G008	chey	prüfe	ACTION	POSITIVE	ZL3b|f116r.36|G003	shey	Zubereitung B	LEFT_PATIENT_ASSUMED	okeey lkain l dain
NRC	ZL3b	f116r|f116r.31-f116r.45	ZL3b|f116r.37|G006	cheey	zerreibe fein	ACTION	POSITIVE	ZL3b|f116r.36|G009	sheckhy	Mischung	LEFT_PATIENT_ASSUMED	q{cthh}y qokl ain pairain sheek l y oiin
NRC	ZL3b	f116r|f116r.31-f116r.45	ZL3b|f116r.37|G010	qoky	erwärme mäßig	ACTION	POSITIVE	ZL3b|f116r.36|G009	sheckhy	Mischung	LEFT_PATIENT_ASSUMED	q{cthh}y qokl ain pairain sheek l y oiin cheey lkeey olkeey lchey
NRC	ZL3b	f116r|f116r.31-f116r.45	ZL3b|f116r.38|G002	qokeey	erhitze anhaltend	ACTION	POSITIVE	ZL3b|f116r.37|G013	sham	feuchte Masse	LEFT_PATIENT_ASSUMED	daiin
NRC	ZL3b	f116r|f116r.31-f116r.45	ZL3b|f116r.38|G011	shy	feucht	QUALITY	POSITIVE	ZL3b|f116r.38|G007	okaiin	Dosis des Grundansatzes	LEFT_PATIENT_ASSUMED	chedy qokeedy raiin
NRC	ZL3b	f116r|f116r.31-f116r.45	ZL3b|f116r.39|G002	chey	prüfe	ACTION	POSITIVE	ZL3b|f116r.39|G001	qokain	erwärmte Dosis P	LEFT_PATIENT_ASSUMED	
NRC	ZL3b	f116r|f116r.31-f116r.45	ZL3b|f116r.40|G011	chey	prüfe	ACTION	POSITIVE	ZL3b|f116r.40|G005	qokain	erwärmte Dosis P	LEFT_PATIENT_ASSUMED	shckhy chery ol chedy l
NRC	ZL3b	f116r|f116r.31-f116r.45	ZL3b|f116r.41|G009	qokchy	mische ein	ACTION	POSITIVE	ZL3b|f116r.41|G008	shey	Zubereitung B	LEFT_PATIENT_ASSUMED	
NRC	ZL3b	f116r|f116r.31-f116r.45	ZL3b|f116r.42|G001	qo	nimm	ACTION	POSITIVE	ZL3b|f116r.41|G008	shey	Zubereitung B	LEFT_PATIENT_ASSUMED	qokchy chckhy orain
NRC	ZL3b	f116r|f116r.31-f116r.45	ZL3b|f116r.43|G010	oty	kühl	QUALITY	POSITIVE	ZL3b|f116r.42|G008	shey	Zubereitung B	LEFT_PATIENT_ASSUMED	qokan cham [a:o]s??? ar al shear teey chcphy rain cphan ydar
NRC	ZL3b	f116r|f116r.31-f116r.45	ZL3b|f116r.43|G012	qokam	erwärme	ACTION	POSITIVE	ZL3b|f116r.43|G011	shey	Zubereitung B	LEFT_PATIENT_ASSUMED	
NRC	ZL3b	f116r|f116r.31-f116r.45	ZL3b|f116r.44|G009	chey	prüfe	ACTION	POSITIVE	ZL3b|f116r.44|G003	qokain	erwärmte Dosis P	LEFT_PATIENT_ASSUMED	shckhy ol lcheor chky raiin
NRC	ZL3b	f116r|f116r.31-f116r.45	ZL3b|f116r.45|G005	chy	heiß	QUALITY	POSITIVE	ZL3b|f116r.44|G003	qokain	erwärmte Dosis P	LEFT_PATIENT_ASSUMED	shckhy ol lcheor chky raiin chey qol okam odain sh??y qoka[r:s] oleey
NRC	ZL3b	f75v|f75v.43-f75v.49	ZL3b|f75v.43|G006	qokeey	erhitze anhaltend	ACTION	POSITIVE				MISSING_PATIENT	
NRC	ZL3b	f75v|f75v.43-f75v.49	ZL3b|f75v.43|G009	chey	prüfe	ACTION	POSITIVE				MISSING_PATIENT	
NRC	ZL3b	f75v|f75v.43-f75v.49	ZL3b|f75v.43|G011	dy	fertig	QUALITY	POSITIVE				MISSING_PATIENT	
NRC	ZL3b	f75v|f75v.43-f75v.49	ZL3b|f75v.45|G008	qokeey	erhitze anhaltend	ACTION	POSITIVE	ZL3b|f75v.45|G002	qokar	erwärmter Anteil	LEFT_PATIENT_ASSUMED	olchedy qor oiin okeedy qokeed
NRC	ZL3b	f75v|f75v.43-f75v.49	ZL3b|f75v.45|G009	qokeey	erhitze anhaltend	ACTION	POSITIVE	ZL3b|f75v.45|G002	qokar	erwärmter Anteil	LEFT_PATIENT_ASSUMED	olchedy qor oiin okeedy qokeed qokeey
NRC	ZL3b	f75v|f75v.43-f75v.49	ZL3b|f75v.45|G011	qoky	erwärme mäßig	ACTION	POSITIVE	ZL3b|f75v.45|G002	qokar	erwärmter Anteil	LEFT_PATIENT_ASSUMED	olchedy qor oiin okeedy qokeed qokeey qokeey otey
NRC	ZL3b	f75v|f75v.43-f75v.49	ZL3b|f75v.45|G012	dy	fertig	QUALITY	POSITIVE	ZL3b|f75v.45|G002	qokar	erwärmter Anteil	LEFT_PATIENT_ASSUMED	olchedy qor oiin okeedy qokeed qokeey qokeey otey qoky
NRC	ZL3b	f80r|f80r.28-f80r.33	ZL3b|f80r.29|G001	okchey	zerstoße fein	ACTION	POSITIVE				MISSING_PATIENT	
NRC	ZL3b	f80r|f80r.28-f80r.33	ZL3b|f80r.29|G002	qoky	erwärme mäßig	ACTION	POSITIVE				MISSING_PATIENT	
NRC	ZL3b	f80r|f80r.28-f80r.33	ZL3b|f80r.29|G007	sheey	benetze	ACTION	POSITIVE	ZL3b|f80r.29|G004	qokain	erwärmte Dosis P	LEFT_PATIENT_ASSUMED	shedy qol
NRC	ZL3b	f80r|f80r.28-f80r.33	ZL3b|f80r.31|G004	chey	prüfe	ACTION	POSITIVE	ZL3b|f80r.30|G007	shey	Zubereitung B	LEFT_PATIENT_ASSUMED	dainol qokal checthy sol
NRC	ZL3b	f80r|f80r.28-f80r.33	ZL3b|f80r.32|G002	qoky	erwärme mäßig	ACTION	POSITIVE	ZL3b|f80r.30|G007	shey	Zubereitung B	LEFT_PATIENT_ASSUMED	dainol qokal checthy sol chey okalol okaly qokeedy oly solchey
NRC	ZL3b	f80r|f80r.28-f80r.33	ZL3b|f80r.33|G002	qokeey	erhitze anhaltend	ACTION	POSITIVE	ZL3b|f80r.32|G006	qokain	erwärmte Dosis P	LEFT_PATIENT_ASSUMED	okain ol solchey
NRC	IT2a	f116r|f116r.31-f116r.45	IT2a|f116r.31|G003	ckhal	presse aus	ACTION	POSITIVE				MISSING_PATIENT	
