card_no	surfaces	component_parse	standard_command_de	family	events	pages	statement_final_events	contains_close
PROC008	choky|oky|qoky	OK+Y	ANSETZEN · ARBEITSPOSTEN	CORE_DURATION_ENDPOINT_GRID	10	f10r|f56r|f81v|f82r|f83r	3	NO
PROC011	chokchy|okchy|qokchy	OK+Y	ANSETZEN · ARBEITSPOSTEN	CORE_DURATION_ENDPOINT_GRID	3	f10r|f56r	0	NO
PROC037	okchol	OK+OL	ANSETZEN · FORTSETZEN	OPEN_ARGUMENT_COMPLEMENT	1	f11r	0	NO
PROC038	okaiin|qokaiin	OK+AIIN	ANSETZEN · SOLLMASS	OPEN_ARGUMENT_COMPLEMENT	9	f55v|f81v|f82r|f83r	0	NO
PROC048	okal|qokal	OK+AL	ANSETZEN · ZIELSTELLE	OPEN_ARGUMENT_COMPLEMENT	6	f55v|f81v|f82r|f83r	0	NO
PROC060	qokokchy	OK+OK+Y	ANSETZEN · ANSETZEN · ARBEITSPOSTEN	SPECIALIZED_OPEN_OPERATION	1	f56r	1	NO
PROC061	chokcheo	OK+CH+E+O	ANSETZEN · ABNEHMEN · KURZ · ARBEITSGANG	SPECIALIZED_OPEN_OPERATION	1	f56r	0	NO
PROC067	qokedy	OK+E+DY	ANSETZEN · KURZ; SCHLUSS	CORE_DURATION_ENDPOINT_GRID	8	f81v|f83r	8	YES
PROC074	qokeedal	OK+EE+AL	ANSETZEN · LANG · ZIELSTELLE	OPEN_ARGUMENT_COMPLEMENT	1	f81v	0	NO
PROC080	okain|qokain	OK+AIN	ANSETZEN · PORTION	OPEN_ARGUMENT_COMPLEMENT	7	f81v|f82r|f83r	0	NO
PROC082	qokchdy	OK+CHD+DY	ANSETZEN · UMSETZEN; SCHLUSS	SPECIALIZED_CLOSED_OPERATION	3	f81v|f83r	3	YES
PROC085	okey|qokey	OK+E+Y	ANSETZEN · KURZ · ARBEITSPOSTEN	CORE_DURATION_ENDPOINT_GRID	2	f81v|f82r	0	NO
PROC091	okchedy|qokchedy	OK+CHD+DY	ANSETZEN · UMSETZEN; SCHLUSS	SPECIALIZED_CLOSED_OPERATION	2	f81v|f83r	2	YES
PROC092	okeey|qokeey	OK+EE+Y	ANSETZEN · LANG · ARBEITSPOSTEN	CORE_DURATION_ENDPOINT_GRID	7	f81v|f82r|f83r	0	NO
PROC100	qokeedy	OK+EE+DY	ANSETZEN · LANG; SCHLUSS	CORE_DURATION_ENDPOINT_GRID	10	f82r|f83r	10	YES
PROC104	qokaly	OK+AL+Y	ANSETZEN · ZIELSTELLE · ARBEITSPOSTEN	OPEN_ARGUMENT_COMPLEMENT	1	f82r	0	NO
PROC113	qokar	OK+AR	ANSETZEN · VORRAT	OPEN_ARGUMENT_COMPLEMENT	1	f82r	0	NO
PROC119	qokeeedy	OK+EEE+DY	ANSETZEN · VOLL; SCHLUSS	CORE_DURATION_ENDPOINT_GRID	1	f82r	1	YES
PROC138	okair	OK+AIR	ANSETZEN · FLUESSIGKEITSLAUF	OPEN_ARGUMENT_COMPLEMENT	1	f83r	0	NO
PROC141	qokshedy	OK+SH+E+DY	ANSETZEN · HALTEN · KURZ; SCHLUSS	SPECIALIZED_CLOSED_OPERATION	1	f83r	1	YES
PROC155	qokylddy	OK+Y+LD+DY	ANSETZEN · ARBEITSPOSTEN · BEFESTIGEN; SCHLUSS	SPECIALIZED_CLOSED_OPERATION	1	f83r	1	YES
PROC158	okeeol	OK+EE+OL	ANSETZEN · LANG · FORTSETZEN	OPEN_ARGUMENT_COMPLEMENT	1	f83r	0	NO
PROC160	qokol	OK+OL	ANSETZEN · FORTSETZEN	OPEN_ARGUMENT_COMPLEMENT	1	f83r	0	NO
