stem1	stem2	RR	LL	ZL3b_RR	ZL3b_RL	ZL3b_LR	ZL3b_LL	ZL3b_leaves	IT2a_RR	IT2a_RL	IT2a_LR	IT2a_LL	IT2a_leaves	RF1b_RR	RF1b_RL	RF1b_LR	RF1b_LL	RF1b_leaves
a	o	ar or	al ol	3	3	0	0	f40,f80,f86,f106,f108	4	2	1	1	f40,f48,f78,f80,f86,f106,f108	5	2	1	0	f40,f48,f76,f78,f80,f86,f108
ch	o	chr or	chl ol	0	0	0	1	f104	0	0	0	1	f104	0	0	0	1	f104
cha	a	char ar	chal al	3	1	0	0	f58,f112,f116	3	1	0	0	f58,f112,f116	3	1	0	0	f58,f106,f112
cheo	cho	cheor chor	cheol chol	1	0	0	4	f2,f20,f24,f28,f88	1	0	0	5	f2,f20,f24,f28,f88	1	0	0	4	f2,f20,f24,f28,f88
cho	o	chor or	chol ol	1	0	2	2	f10,f24,f42,f86,f112	1	0	2	2	f10,f24,f42,f86,f112	1	0	2	2	f10,f24,f42,f86,f112
cho	sho	chor shor	chol shol	0	0	0	3	f42	0	0	0	3	f4,f42	0	0	0	3	f42
ctho	cho	cthor chor	cthol chol	0	0	0	2	f32,f42	0	0	1	2	f32,f42,f56	0	0	1	2	f32,f42,f56
da	cho	dar chor	dal chol	0	0	1	0	f6	1	0	1	0	f6,f54	1	0	1	0	f6,f54
dcho	ctho	dchor cthor	dchol cthol	0	0	0	0		0	0	0	0		0	0	0	0	
o	chea	or chear	ol cheal	0	0	0	0		0	0	0	1	f108	0	0	0	1	f108
o	cho	or chor	ol chol	2	4	0	0	f8,f24,f58,f94,f96,f102	1	3	0	1	f8,f94,f96,f102,f112	2	4	0	2	f8,f24,f58,f94,f96,f102,f112
oka	a	okar ar	okal al	5	0	2	0	f50,f58,f104,f108	7	1	1	0	f48,f50,f58,f86,f104,f108,f112	5	1	2	0	f50,f58,f86,f104,f108
oka	ota	okar otar	okal otal	2	1	0	1	f48,f58,f104,f112	1	1	0	1	f48,f58,f112	2	1	0	1	f48,f58,f104,f112
olka	o	olkar or	olkal ol	0	0	1	0	f86	0	0	1	0	f86	0	0	1	0	f86
oto	cho	otor chor	otol chol	0	0	0	4	f8,f10,f20,f28	0	0	0	4	f8,f10,f20,f28	0	0	0	4	f8,f10,f20,f28
qoka	o	qokar or	qokal ol	2	3	0	2	f80,f86	0	2	1	3	f58,f80,f86,f108	1	2	0	3	f58,f80,f86
qoka	ota	qokar otar	qokal otal	0	1	1	1	f86,f106,f108	0	0	1	1	f86,f106	0	0	1	1	f86,f106
qoka	qo	qokar qor	qokal qol	0	0	0	0		0	0	0	0		0	0	0	0	
qota	o	qotar or	qotal ol	0	1	0	0	f86	0	0	0	0		0	1	0	0	f86
sa	o	sar or	sal ol	0	0	0	0		0	1	0	0	f82	0	0	0	0	
sho	cho	shor chor	shol chol	1	0	0	3	f10,f42,f56	2	0	0	3	f10,f42,f56,f106	1	0	0	3	f10,f42,f56
sholo	o	sholor or	sholol ol	0	0	0	0		0	0	0	0		0	0	0	0	
