attachment_id	expression_id	page	physical_folio	locus	expression_line_position	amount_mode	amount_expression_eva	amount_head_surface	amount_value_surface	amount_candidate_de	content_side	content_surface	content_ordinal	content_axes	content_role_label_de	content_candidate_de	content_semantic_confidence	content_semantic_source	surface_amount_attachment_occurrences	attachment_confidence	position_condition_expected_side	position_condition_agreement	candidate_phrase_de	identity_rivals_de	written_line_eva	scope	literal_identity_confirmed	confirmed_plaintext	component_export_credit
G760-A001	G760-E0002	f102r1	f102	f102r1.5	MIDDLE	FUSED	orain	or	ain	zwei Portionen	L	olaiin	4	AMOUNT|MATERIAL	Stoff	drei Portionen Drogenstoff	W3_SOLID_WORKING_THEORY	GDT734_CLEAN_EXACT_WHOLE_CELL	2	C1_REPEATED_EXACT_AMOUNT_CONTACT	L	1	Menge: zwei Portionen; Stoff: drei Portionen Drogenstoff	Drogenstoff || Pflanzenteil || gelernter Stoffname	ytol sheol she olaiin orain oraroekeol chol ekey qokol dain	THIS_EXACT_AMOUNT_CONTENT_CONTACT_ONLY	0	0	0
G760-A002	G760-E0008	f103v	f103	f103v.23	MIDDLE	SEPARATED	or aiiin	or	aiiin	vier Portionen	R	oteey	7	COLD|PREPARATION|END_STAGE	Zubereitung	kalter Ansatz am Ende des Grades	W3_SOLID_WORKING_THEORY	GDT734_CLEAN_EXACT_WHOLE_CELL	2	C1_REPEATED_EXACT_AMOUNT_CONTACT	L	0	Menge: vier Portionen; Zubereitung: kalter Ansatz am Ende des Grades	Kaltansatz || Mazerat || gekühlte Zubereitung	ycheody l ar cheey or aiiin oteey otal otear or ar keey qoty	THIS_EXACT_AMOUNT_CONTENT_CONTACT_ONLY	0	0	0
G760-A003	G760-E0012	f103v	f103	f103v.43	FIRST	FUSED	orain	or	ain	zwei Portionen	R	chckhey	2	DRY|PREPARATION|MIDDLE_STAGE	Zubereitung	Arzneikompositum: trocken, Gradmitte	W3_SOLID_WORKING_THEORY	GDT734_CLEAN_EXACT_WHOLE_CELL	2	C1_REPEATED_EXACT_AMOUNT_CONTACT	R	1	Menge: zwei Portionen; Zubereitung: Arzneikompositum: trocken, Gradmitte	Ansatz || Arzneizubereitung || gelernter Zubereitungsname	orain chckhey qokaiin shckhy shtal opchy lkeedy chdy lchedy	THIS_EXACT_AMOUNT_CONTENT_CONTACT_ONLY	0	0	0
G760-A004	G760-E0020	f104v	f104	f104v.38	MIDDLE	SEPARATED	or aiin	or	aiin	drei Portionen	R	cheo	9	DRY|PREPARATION	Zubereitung	trocken angesetzte Zubereitung	W3_SOLID_WORKING_THEORY	GDT734_CLEAN_EXACT_WHOLE_CELL	2	C1_REPEATED_EXACT_AMOUNT_CONTACT	L	0	Menge: drei Portionen; Zubereitung: trocken angesetzte Zubereitung	Ansatz || Arzneizubereitung || gelernter Zubereitungsname	okechey chedy chchy qotain qokain chey or aiin cheo or aiin chedain okam	THIS_EXACT_AMOUNT_CONTENT_CONTACT_ONLY	0	0	0
G760-A005	G760-E0022	f105r	f105	f105r.21	MIDDLE	FUSED	saiin	s	aiin	drei Drachmen	R	otol	7	COLD|PREPARATION	Zubereitung	kaltes Zubereitungsgut	W3_SOLID_WORKING_THEORY	GDT734_CLEAN_EXACT_WHOLE_CELL	1	C0_SINGLE_EXACT_AMOUNT_CONTACT	L	0	Menge: drei Drachmen; Zubereitung: kaltes Zubereitungsgut	Kaltansatz || Mazerat || gekühlte Zubereitung	ycheo lkedy qoeey qokedy qokedal saiin otol shody chedy okaiin chekaim	THIS_EXACT_AMOUNT_CONTENT_CONTACT_ONLY	0	0	0
G760-A006	G760-E0030	f106v	f106	f106v.8	FIRST	FUSED	oraiin	or	aiin	drei Portionen	R	cheo	2	DRY|PREPARATION	Zubereitung	trocken angesetzte Zubereitung	W3_SOLID_WORKING_THEORY	GDT734_CLEAN_EXACT_WHOLE_CELL	2	C1_REPEATED_EXACT_AMOUNT_CONTACT	R	1	Menge: drei Portionen; Zubereitung: trocken angesetzte Zubereitung	Ansatz || Arzneizubereitung || gelernter Zubereitungsname	oraiin cheo rol aiin otaiin	THIS_EXACT_AMOUNT_CONTENT_CONTACT_ONLY	0	0	0
G760-A007	G760-E0035	f107v	f107	f107v.26	FIRST	FUSED	oraiin	or	aiin	drei Portionen	R	sheor	2	MOIST|PART|MATERIAL	Stoff	feuchter Drogenteil	W3_SOLID_WORKING_THEORY	GDT734_CLEAN_EXACT_WHOLE_CELL	3	C2_RECURRENT_EXACT_AMOUNT_CONTACT	R	1	Menge: drei Portionen; Stoff: feuchter Drogenteil	frischer Drogenteil || eingeweichter Pflanzenteil || feuchte Droge	oraiin sheor qokain cheody qokain otal okaiin olkeeo r ar al oldy	THIS_EXACT_AMOUNT_CONTENT_CONTACT_ONLY	0	0	0
G760-A008	G760-E0046	f108v	f108	f108v.37	FIRST	FUSED	sain	s	ain	zwei Drachmen	R	sheor	2	MOIST|PART|MATERIAL	Stoff	feuchter Drogenteil	W3_SOLID_WORKING_THEORY	GDT734_CLEAN_EXACT_WHOLE_CELL	3	C2_RECURRENT_EXACT_AMOUNT_CONTACT	R	1	Menge: zwei Drachmen; Stoff: feuchter Drogenteil	frischer Drogenteil || eingeweichter Pflanzenteil || feuchte Droge	sain sheor sheey sheckhey qokey okey shey lkain shedy qokain dalam	THIS_EXACT_AMOUNT_CONTENT_CONTACT_ONLY	0	0	0
G760-A009	G760-E0052	f10v	f10	f10v.1	LAST	FUSED	sain	s	ain	zwei Drachmen	L	otydy	8	COLD|PREPARATION|CLOSE|BEGIN_STAGE|END_STAGE	Zubereitung	kalter Ansatz in Grundform, fertig	W2_PROVISIONAL_WORKING	GDT734_CLEAN_EXACT_WHOLE_CELL	1	C0_SINGLE_EXACT_AMOUNT_CONTACT	L	1	Menge: zwei Drachmen; Zubereitung: kalter Ansatz in Grundform, fertig	Kaltansatz || Mazerat || gekühlte Zubereitung	paiin daiin sheo pcheey qoty daiin cthor otydy sain	THIS_EXACT_AMOUNT_CONTENT_CONTACT_ONLY	0	0	0
G760-A010	G760-E0057	f111r	f111	f111r.24	FIRST	FUSED	sain	s	ain	zwei Drachmen	R	chckhey	2	DRY|PREPARATION|MIDDLE_STAGE	Zubereitung	Arzneikompositum: trocken, Gradmitte	W3_SOLID_WORKING_THEORY	GDT734_CLEAN_EXACT_WHOLE_CELL	2	C1_REPEATED_EXACT_AMOUNT_CONTACT	R	1	Menge: zwei Drachmen; Zubereitung: Arzneikompositum: trocken, Gradmitte	Ansatz || Arzneizubereitung || gelernter Zubereitungsname	sain chckhey cheos lchal lkechey okeey lkechedy oteodain char lky lchr ainai	THIS_EXACT_AMOUNT_CONTENT_CONTACT_ONLY	0	0	0
