content_surface	amount_attachment_occurrences	amount_attachment_pages	amount_attachment_loci	left_attachments	right_attachments	amount_mode_counts	amount_head_counts	amount_value_counts	line_position_counts	global_reader_exact_occurrences	global_reader_exact_pages	amount_attachment_per_global_occurrence	current_content_axes	current_working_whole_candidate_de	current_semantic_confidence	amount_attachment_priority	identity_rivals_de	evidence	semantic_identity_status	confirmed_lexeme	component_export_credit
cheor	3	3	3	1	2	FUSED:2|SEPARATED:1	ar:1|or:1|s:1	aiin:2|ain:1	FIRST:1|MIDDLE:2	56	38	0.053571	DRY|PART|MATERIAL	trockener Drogenteil	W3_SOLID_WORKING_THEORY	A2_RECURRENT_AMOUNT_CONTENT_WHOLE	getrocknete Droge || trockener Pflanzenteil || Pulver	3 reader-exakte unmittelbare Mengenkontakte auf 3 Seiten; 56 reader-exakte Ganzwortvorkommen im zugelassenen Cache	REPLACEABLE_WHOLE_CANDIDATE	0	0
sheor	3	3	3	0	3	FUSED:3	or:1|s:2	aiin:1|ain:2	FIRST:3	31	25	0.096774	MOIST|PART|MATERIAL	feuchter Drogenteil	W3_SOLID_WORKING_THEORY	A2_RECURRENT_AMOUNT_CONTENT_WHOLE	frischer Drogenteil || eingeweichter Pflanzenteil || feuchte Droge	3 reader-exakte unmittelbare Mengenkontakte auf 3 Seiten; 31 reader-exakte Ganzwortvorkommen im zugelassenen Cache	REPLACEABLE_WHOLE_CANDIDATE	0	0
oteey	2	2	2	1	1	SEPARATED:2	ar:1|or:1	aiiin:1|aiin:1	MIDDLE:2	90	40	0.022222	COLD|PREPARATION|END_STAGE	kalter Ansatz am Ende des Grades	W3_SOLID_WORKING_THEORY	A1_REPEATED_AMOUNT_CONTENT_WHOLE	Kaltansatz || Mazerat || gekühlte Zubereitung	2 reader-exakte unmittelbare Mengenkontakte auf 2 Seiten; 90 reader-exakte Ganzwortvorkommen im zugelassenen Cache	REPLACEABLE_WHOLE_CANDIDATE	0	0
cheo	2	2	2	0	2	FUSED:1|SEPARATED:1	or:2	aiin:2	FIRST:1|MIDDLE:1	36	25	0.055556	DRY|PREPARATION	trocken angesetzte Zubereitung	W3_SOLID_WORKING_THEORY	A1_REPEATED_AMOUNT_CONTENT_WHOLE	Ansatz || Arzneizubereitung || gelernter Zubereitungsname	2 reader-exakte unmittelbare Mengenkontakte auf 2 Seiten; 36 reader-exakte Ganzwortvorkommen im zugelassenen Cache	REPLACEABLE_WHOLE_CANDIDATE	0	0
olaiin	2	2	2	1	1	FUSED:2	or:1|s:1	ain:2	FIRST:1|MIDDLE:1	32	29	0.062500	AMOUNT|MATERIAL	drei Portionen Drogenstoff	W3_SOLID_WORKING_THEORY	A1_REPEATED_AMOUNT_CONTENT_WHOLE	Drogenstoff || Pflanzenteil || gelernter Stoffname	2 reader-exakte unmittelbare Mengenkontakte auf 2 Seiten; 32 reader-exakte Ganzwortvorkommen im zugelassenen Cache	REPLACEABLE_WHOLE_CANDIDATE	0	0
ody	2	2	2	1	1	SEPARATED:2	ar:1|s:1	aiin:2	MIDDLE:2	26	21	0.076923	PREPARATION|CLOSE|END_STAGE	fertiggestellter Ansatz	W3_SOLID_WORKING_THEORY	A1_REPEATED_AMOUNT_CONTENT_WHOLE	Ansatz || Arzneizubereitung || gelernter Zubereitungsname	2 reader-exakte unmittelbare Mengenkontakte auf 2 Seiten; 26 reader-exakte Ganzwortvorkommen im zugelassenen Cache	REPLACEABLE_WHOLE_CANDIDATE	0	0
chckhey	2	2	2	0	2	FUSED:2	or:1|s:1	ain:2	FIRST:2	25	23	0.080000	DRY|PREPARATION|MIDDLE_STAGE	Arzneikompositum: trocken, Gradmitte	W3_SOLID_WORKING_THEORY	A1_REPEATED_AMOUNT_CONTENT_WHOLE	Ansatz || Arzneizubereitung || gelernter Zubereitungsname	2 reader-exakte unmittelbare Mengenkontakte auf 2 Seiten; 25 reader-exakte Ganzwortvorkommen im zugelassenen Cache	REPLACEABLE_WHOLE_CANDIDATE	0	0
okair	2	2	2	1	1	SEPARATED:2	or:2	aiin:2	FIRST:1|MIDDLE:1	17	14	0.117647	HOT|PART|MATERIAL|PREPARATION	heiße Drogenfraktion II im Ansatz	W3_SOLID_WORKING_THEORY	A1_REPEATED_AMOUNT_CONTENT_WHOLE	Dekokt || erhitzter Ansatz || warme Zubereitung	2 reader-exakte unmittelbare Mengenkontakte auf 2 Seiten; 17 reader-exakte Ganzwortvorkommen im zugelassenen Cache	REPLACEABLE_WHOLE_CANDIDATE	0	0
sho	1	1	1	0	1	FUSED:1	s:1	aiin:1	FIRST:1	93	59	0.010753	MOIST|PREPARATION	feuchter Ansatz	W3_SOLID_WORKING_THEORY	A0_SINGLE_AMOUNT_CONTACT	Mazerat || Feuchtansatz || Wasser-/Weinansatz	1 reader-exakte unmittelbare Mengenkontakte auf 1 Seiten; 93 reader-exakte Ganzwortvorkommen im zugelassenen Cache	REPLACEABLE_WHOLE_CANDIDATE	0	0
cthy	1	1	1	1	0	SEPARATED:1	or:1	aiin:1	MIDDLE:1	85	48	0.011765	MATERIAL	Blattgut	C2_CROSS_PASS_EXPLORATORY	A0_SINGLE_AMOUNT_CONTACT	Drogenstoff || Pflanzenteil || gelernter Stoffname	1 reader-exakte unmittelbare Mengenkontakte auf 1 Seiten; 85 reader-exakte Ganzwortvorkommen im zugelassenen Cache	REPLACEABLE_WHOLE_CANDIDATE	0	0
