fused_s_revision_id	expression_id	page	locus	surface	value_surface	value_label	line_position	paragraph_start_line	left_surface	right_surface	clean_content_attachment_sides	gdt759_global_candidate_de	gdt760_context_render_de	context_decision	exact_content_phrase_license	working_drachm_candidate_retained	unconditional_global_spoken_drachm_overlay_allowed	simple_ordinal_entry_default_allowed	old_seed_reading_quarantined	confirmed_unit	confirmed_lexeme	component_export_credit
G760-S001	G760-E0001	f100v	f100v.19	sain	ain	II	FIRST	0	LINE_EDGE	cheokeos	NONE	zwei Drachmen	Mengenform II am Zeilenanfang; zwei Drachmen bleibt Leitkandidat	AMOUNT_FIRST_FORMULA_REFERENCE_NOT_DIRECTLY_ATTACHED	0	1	0	0	1	0	0	0
G760-S002	G760-E0006	f103r	f103r.51	saiin	aiin	III	FIRST	0	LINE_EDGE	cheteey	NONE	drei Drachmen	Mengenform III am Zeilenanfang; drei Drachmen bleibt Leitkandidat	AMOUNT_FIRST_FORMULA_REFERENCE_NOT_DIRECTLY_ATTACHED	0	1	0	0	1	0	0	0
G760-S003	G760-E0007	f103v	f103v.8	sain	ain	II	FIRST	0	LINE_EDGE	shey	NONE	zwei Drachmen	Mengenform II am Zeilenanfang; zwei Drachmen bleibt Leitkandidat	AMOUNT_FIRST_FORMULA_REFERENCE_NOT_DIRECTLY_ATTACHED	0	1	0	0	1	0	0	0
G760-S004	G760-E0009	f103v	f103v.25	sain	ain	II	FIRST	0	LINE_EDGE	olkeeey	NONE	zwei Drachmen	Mengenform II am Zeilenanfang; zwei Drachmen bleibt Leitkandidat	AMOUNT_FIRST_FORMULA_REFERENCE_NOT_DIRECTLY_ATTACHED	0	1	0	0	1	0	0	0
G760-S005	G760-E0011	f103v	f103v.36	saiin	aiin	III	FIRST	0	LINE_EDGE	shey	NONE	drei Drachmen	Mengenform III am Zeilenanfang; drei Drachmen bleibt Leitkandidat	AMOUNT_FIRST_FORMULA_REFERENCE_NOT_DIRECTLY_ATTACHED	0	1	0	0	1	0	0	0
G760-S006	G760-E0013	f104r	f104r.1	sain	ain	II	LAST	1	qopchedy	LINE_EDGE	NONE	zwei Drachmen	Mengenform II; Leitkandidat zwei Drachmen; Rivalen zwei gleiche Teile || zwei Unzen	FUSED_AMOUNT_FORMULA_REFERENCE_OPEN	0	1	0	0	1	0	0	0
G760-S007	G760-E0014	f104r	f104r.14	saiin	aiin	III	MIDDLE	0	cheolor	olkeechey	NONE	drei Drachmen	Mengenform III; Leitkandidat drei Drachmen; Rivalen drei gleiche Teile || drei Unzen	FUSED_AMOUNT_FORMULA_REFERENCE_OPEN	0	1	0	0	1	0	0	0
G760-S008	G760-E0022	f105r	f105r.21	saiin	aiin	III	MIDDLE	0	qokedal	otol	R	drei Drachmen	Menge: drei Drachmen; Zubereitung: kaltes Zubereitungsgut	OCCURRENCE_AMOUNT_PLUS_CONTENT_PHRASE_LICENSED	1	1	0	0	1	0	0	0
G760-S009	G760-E0024	f105v	f105v.13	saiin	aiin	III	FIRST	0	LINE_EDGE	opchedy	NONE	drei Drachmen	Mengenform III am Zeilenanfang; drei Drachmen bleibt Leitkandidat	AMOUNT_FIRST_FORMULA_REFERENCE_NOT_DIRECTLY_ATTACHED	0	1	0	0	1	0	0	0
G760-S010	G760-E0031	f106v	f106v.19	sain	ain	II	LAST	0	otaiin	LINE_EDGE	NONE	zwei Drachmen	Mengenform II; Leitkandidat zwei Drachmen; Rivalen zwei gleiche Teile || zwei Unzen	FUSED_AMOUNT_FORMULA_REFERENCE_OPEN	0	1	0	0	1	0	0	0
G760-S011	G760-E0032	f107v	f107v.3	sain	ain	II	FIRST	0	LINE_EDGE	ain	NONE	zwei Drachmen	Mengenform II am Zeilenanfang; zwei Drachmen bleibt Leitkandidat	AMOUNT_FIRST_FORMULA_REFERENCE_NOT_DIRECTLY_ATTACHED	0	1	0	0	1	0	0	0
G760-S012	G760-E0033	f107v	f107v.9	saiin	aiin	III	FIRST	0	LINE_EDGE	shey	NONE	drei Drachmen	Mengenform III am Zeilenanfang; drei Drachmen bleibt Leitkandidat	AMOUNT_FIRST_FORMULA_REFERENCE_NOT_DIRECTLY_ATTACHED	0	1	0	0	1	0	0	0
G760-S013	G760-E0034	f107v	f107v.17	saiin	aiin	III	FIRST	0	LINE_EDGE	or	NONE	drei Drachmen	Mengenform III am Zeilenanfang; drei Drachmen bleibt Leitkandidat	AMOUNT_FIRST_FORMULA_REFERENCE_NOT_DIRECTLY_ATTACHED	0	1	0	0	1	0	0	0
G760-S014	G760-E0039	f108r	f108r.28	sain	ain	II	FIRST	0	LINE_EDGE	arolkeey	NONE	zwei Drachmen	Mengenform II am Zeilenanfang; zwei Drachmen bleibt Leitkandidat	AMOUNT_FIRST_FORMULA_REFERENCE_NOT_DIRECTLY_ATTACHED	0	1	0	0	1	0	0	0
