transition_id	paragraph_id	page	previous_locus	previous_surface	previous_value_number	current_locus	current_surface	current_value_number	transition_direction	strict_ordinal_progression_compatible	simple_entry_ordinal_default_supported
G760-T01	f108v-P007	f108v	f108v.33	sain	2	f108v.37	sain	2	EQUAL	0	0
G760-T02	f108v-P007	f108v	f108v.37	sain	2	f108v.39	sain	2	EQUAL	0	0
G760-T03	f108v-P007	f108v	f108v.39	sain	2	f108v.46	saiin	3	INCREASE	1	0
G760-T04	f108v-P007	f108v	f108v.46	saiin	3	f108v.49	saiin	3	EQUAL	0	0
G760-T05	f108v-P007	f108v	f108v.49	saiin	3	f108v.52	saiin	3	EQUAL	0	0
G760-T06	f111r-P001	f111r	f111r.4	saiin	3	f111r.5	saiin	3	EQUAL	0	0
G760-T07	f111r-P002	f111r	f111r.19	saiin	3	f111r.24	sain	2	DECREASE	0	0
G760-T08	f111r-P003	f111r	f111r.39	saiin	3	f111r.40	saiin	3	EQUAL	0	0
G760-T09	f112r-P001	f112r	f112r.2	saiin	3	f112r.9	saiin	3	EQUAL	0	0
G760-T10	f112r-P008	f112r	f112r.35	sain	2	f112r.36	sain	2	EQUAL	0	0
G760-T11	f112v-P001	f112v	f112v.5	sain	2	f112v.6	saiin	3	INCREASE	1	0
G760-T12	f112v-P004	f112v	f112v.16	saiin	3	f112v.18	saiin	3	EQUAL	0	0
G760-T13	f76r-P004	f76r	f76r.53	saiin	3	f76r.55	sain	2	DECREASE	0	0
G760-T14	f76v-P004	f76v	f76v.28	saiin	3	f76v.33	saiin	3	EQUAL	0	0
G760-T15	f87v-P002	f87v	f87v.14	san	1	f87v.16	saiin	3	INCREASE	1	0
