phrase_id	expression_id	page	locus	amount_expression_eva	amount_candidate_de	content_attachment	content_candidate_map_de	working_phrase_de	working_confidence	attachment_decision	written_line_eva	candidate_not_plaintext	confirmed_lexeme	component_export_credit
G760-P001	G760-E0002	f102r1	f102r1.5	orain	zwei Portionen	L	olaiin=drei Portionen Drogenstoff	Menge: zwei Portionen; Stoff: drei Portionen Drogenstoff	C1_REPEATED_EXACT_AMOUNT_CONTACT	ONE_CLEAN_CONTENT_CONTACT	ytol sheol she olaiin orain oraroekeol chol ekey qokol dain	1	0	0
G760-P002	G760-E0008	f103v	f103v.23	or aiiin	vier Portionen	R	oteey=kalter Ansatz am Ende des Grades	Menge: vier Portionen; Zubereitung: kalter Ansatz am Ende des Grades	C1_REPEATED_EXACT_AMOUNT_CONTACT	ONE_CLEAN_CONTENT_CONTACT	ycheody l ar cheey or aiiin oteey otal otear or ar keey qoty	1	0	0
G760-P003	G760-E0012	f103v	f103v.43	orain	zwei Portionen	R	chckhey=Arzneikompositum: trocken, Gradmitte	Menge: zwei Portionen; Zubereitung: Arzneikompositum: trocken, Gradmitte	C1_REPEATED_EXACT_AMOUNT_CONTACT	ONE_CLEAN_CONTENT_CONTACT	orain chckhey qokaiin shckhy shtal opchy lkeedy chdy lchedy	1	0	0
G760-P004	G760-E0020	f104v	f104v.38	or aiin	drei Portionen	R	cheo=trocken angesetzte Zubereitung	Menge: drei Portionen; Zubereitung: trocken angesetzte Zubereitung	C1_REPEATED_EXACT_AMOUNT_CONTACT	ONE_CLEAN_CONTENT_CONTACT	okechey chedy chchy qotain qokain chey or aiin cheo or aiin chedain okam	1	0	0
G760-P005	G760-E0022	f105r	f105r.21	saiin	drei Drachmen	R	otol=kaltes Zubereitungsgut	Menge: drei Drachmen; Zubereitung: kaltes Zubereitungsgut	C0_SINGLE_EXACT_AMOUNT_CONTACT	ONE_CLEAN_CONTENT_CONTACT	ycheo lkedy qoeey qokedy qokedal saiin otol shody chedy okaiin chekaim	1	0	0
G760-P006	G760-E0030	f106v	f106v.8	oraiin	drei Portionen	R	cheo=trocken angesetzte Zubereitung	Menge: drei Portionen; Zubereitung: trocken angesetzte Zubereitung	C1_REPEATED_EXACT_AMOUNT_CONTACT	ONE_CLEAN_CONTENT_CONTACT	oraiin cheo rol aiin otaiin	1	0	0
G760-P007	G760-E0035	f107v	f107v.26	oraiin	drei Portionen	R	sheor=feuchter Drogenteil	Menge: drei Portionen; Stoff: feuchter Drogenteil	C2_RECURRENT_EXACT_AMOUNT_CONTACT	ONE_CLEAN_CONTENT_CONTACT	oraiin sheor qokain cheody qokain otal okaiin olkeeo r ar al oldy	1	0	0
G760-P008	G760-E0046	f108v	f108v.37	sain	zwei Drachmen	R	sheor=feuchter Drogenteil	Menge: zwei Drachmen; Stoff: feuchter Drogenteil	C2_RECURRENT_EXACT_AMOUNT_CONTACT	ONE_CLEAN_CONTENT_CONTACT	sain sheor sheey sheckhey qokey okey shey lkain shedy qokain dalam	1	0	0
G760-P009	G760-E0052	f10v	f10v.1	sain	zwei Drachmen	L	otydy=kalter Ansatz in Grundform, fertig	Menge: zwei Drachmen; Zubereitung: kalter Ansatz in Grundform, fertig	C0_SINGLE_EXACT_AMOUNT_CONTACT	ONE_CLEAN_CONTENT_CONTACT	paiin daiin sheo pcheey qoty daiin cthor otydy sain	1	0	0
G760-P010	G760-E0057	f111r	f111r.24	sain	zwei Drachmen	R	chckhey=Arzneikompositum: trocken, Gradmitte	Menge: zwei Drachmen; Zubereitung: Arzneikompositum: trocken, Gradmitte	C1_REPEATED_EXACT_AMOUNT_CONTACT	ONE_CLEAN_CONTENT_CONTACT	sain chckhey cheos lchal lkechey okeey lkechedy oteodain char lky lchr ainai	1	0	0
G760-P011	G760-E0059	f111r	f111r.39	saiin	drei Drachmen	R	chckhedy=Arzneikompositum: trocken, Gradmitte, abgeschlossen	Menge: drei Drachmen; Zubereitung: Arzneikompositum: trocken, Gradmitte, abgeschlossen	C0_SINGLE_EXACT_AMOUNT_CONTACT	ONE_CLEAN_CONTENT_CONTACT	saiin chckhedy okain oteain shok qokechdy okechedy chedy qokeey cheamar	1	0	0
G760-P012	G760-E0067	f111v	f111v.51	sain	zwei Drachmen	R	cheal=Rohstoffklasse I, trocken in der Gradmitte	Menge: zwei Drachmen; Stoff: Rohstoffklasse I, trocken in der Gradmitte	C0_SINGLE_EXACT_AMOUNT_CONTACT	ONE_CLEAN_CONTENT_CONTACT	sain cheal chckhy okain okal aiin choty chckhy	1	0	0
G760-P013	G760-E0074	f112r	f112r.35	sain	zwei Drachmen	R	olaiin=drei Portionen Drogenstoff	Menge: zwei Drachmen; Stoff: drei Portionen Drogenstoff	C1_REPEATED_EXACT_AMOUNT_CONTACT	ONE_CLEAN_CONTENT_CONTACT	sain olaiin qopchdy qoky okeal chedy okeey otedy ar ar okeedy	1	0	0
G760-P014	G760-E0093	f113v	f113v.40	oraiin	drei Portionen	R	cheor=trockener Drogenteil	Menge: drei Portionen; Stoff: trockener Drogenteil	C2_RECURRENT_EXACT_AMOUNT_CONTACT	ONE_CLEAN_CONTENT_CONTACT	oraiin cheor alkain oteey ar aiin otaiin okeey lkeeedy qo oeeey aiin	1	0	0
G760-P015	G760-E0094	f113v	f113v.40	ar aiin	drei Anteile	L	oteey=kalter Ansatz am Ende des Grades	Menge: drei Anteile; Zubereitung: kalter Ansatz am Ende des Grades	C1_REPEATED_EXACT_AMOUNT_CONTACT	ONE_CLEAN_CONTENT_CONTACT	oraiin cheor alkain oteey ar aiin otaiin okeey lkeeedy qo oeeey aiin	1	0	0
G760-P016	G760-E0098	f114r	f114r.36	sain	zwei Drachmen	R	otchedy=kalt-trockener Ansatz in der Mitte des Grades, abgeschlossen	Menge: zwei Drachmen; Zubereitung: kalt-trockener Ansatz in der Mitte des Grades, abgeschlossen	C0_SINGLE_EXACT_AMOUNT_CONTACT	ONE_CLEAN_CONTENT_CONTACT	ychedar ady otar ain ykeodaiin qoeedaiin qokal sain otchedy qokar	1	0	0
G760-P017	G760-E0099	f114r	f114r.37	or aiin	drei Portionen	L	odar=Anteil I des Ansatzes abmessen	Menge: drei Portionen; Zubereitung: Anteil I des Ansatzes abmessen	C0_SINGLE_EXACT_AMOUNT_CONTACT	ONE_CLEAN_CONTENT_CONTACT	odar or aiin otshedy okaiin yky ols ol kaiin chees air qotaiin chedaiiin	1	0	0
G760-P018	G760-E0106	f115v	f115v.10	saiin	drei Drachmen	R	sho=feuchter Ansatz	Menge: drei Drachmen; Zubereitung: feuchter Ansatz	C0_SINGLE_EXACT_AMOUNT_CONTACT	ONE_CLEAN_CONTENT_CONTACT	saiin sho sheody okaiin dalchedy oteeo chedy	1	0	0
