expression_id	page	physical_folio	locus	line_number	section	language	hand	paragraph_id	paragraph_start_line	paragraph_end_line	mode	head_surface	value_surface	value_label	value_number	source_expression_eva	start_ordinal	end_ordinal	line_token_count	expression_line_position	written_line_eva	left_surface	left_ordinal	left_reader_exact	left_source_composed_quarantined	left_axes	left_axis_class	left_semantic_candidate_de	left_semantic_confidence	left_semantic_source	right_surface	right_ordinal	right_reader_exact	right_source_composed_quarantined	right_axes	right_axis_class	right_semantic_candidate_de	right_semantic_confidence	right_semantic_source	content_attachment_sides	clean_content_attachment_count	amount_candidate_de	amount_rivals_de	amount_working_confidence	exact_normalized_boundary_bridges_for_type	this_zl3b_locus_is_exact_boundary_bridge	gdt760_render_de	renderer_scope	global_unit_identity_confirmed	confirmed_plaintext	component_export_credit
G760-E0001	f100v	f100	f100v.19	19	P	A	1	f100v-P002	0	0	FUSED	s	ain	II	2	sain	1	1	8	FIRST	sain cheokeos chockhy chocthey keody choor chckhey du	LINE_EDGE	0	0	0	NONE	EDGE_OR_NONEXACT	NONE	NONE	LINE_EDGE	cheokeos	2	1	0	NONE	OPEN	[cheokeos:?]	NA	GDT734_CLEAN_EXACT_WHOLE_CELL	NONE	0	zwei Drachmen	zwei gleiche Teile || zwei Unzen	C0_SINGLETON_PAIR	0	0	Mengenform II; Leitkandidat zwei Drachmen; Rivalen zwei gleiche Teile || zwei Unzen	FUSED_AMOUNT_CANDIDATE_REFERENCE_OPEN	0	0	0
G760-E0002	f102r1	f102	f102r1.5	5	P	A	1	f102r1-P002	0	0	FUSED	or	ain	II	2	orain	5	5	10	MIDDLE	ytol sheol she olaiin orain oraroekeol chol ekey qokol dain	olaiin	4	1	0	AMOUNT|MATERIAL	CONTENT_PREP	drei Portionen Drogenstoff	W3_SOLID_WORKING_THEORY	GDT734_CLEAN_EXACT_WHOLE_CELL	oraroekeol	6	1	0	NONE	OPEN	[oraroekeol:?]	NA	GDT734_CLEAN_EXACT_WHOLE_CELL	L	1	zwei Portionen	Dosis/Dosen || Teil/Teile	C1_BOUNDARY_SUPPORTED	1	0	Menge: zwei Portionen; Stoff: drei Portionen Drogenstoff	EXACT_AMOUNT_PLUS_ONE_CLEAN_CONTENT_CONTACT	0	0	0
G760-E0003	f102v2	f102	f102v2.39	39	P	A	1	f102v2-P003	0	1	FUSED	or	ain	II	2	orain	4	4	4	LAST	yotaiin cheor cheekey orain	cheekey	3	1	0	NONE	OPEN	[cheekey:?]	NA	GDT734_CLEAN_EXACT_WHOLE_CELL	LINE_EDGE	0	0	0	NONE	EDGE_OR_NONEXACT	NONE	NONE	LINE_EDGE	NONE	0	zwei Portionen	Dosis/Dosen || Teil/Teile	C1_BOUNDARY_SUPPORTED	1	0	Mengenform II; Leitkandidat zwei Portionen; Rivalen Dosis/Dosen || Teil/Teile	FUSED_AMOUNT_CANDIDATE_REFERENCE_OPEN	0	0	0
G760-E0004	f103r	f103	f103r.14	14	S	B	3	f103r-P004	0	0	SEPARATED	s	aiin	III	3	s aiin	8	9	13	MIDDLE	okain shekain chedy qokeechy qoky shey lol s aiin chey eekain chcthy qoky	lol	7	1	0	NONE	OPEN	Holzstoff	NA	GDT734_CLEAN_EXACT_WHOLE_CELL	chey	10	1	0	NONE	OPEN	trocken in der Mitte des Grades	NA	GDT734_CLEAN_EXACT_WHOLE_CELL	NONE	0	drei Drachmen	drei gleiche Teile || drei Unzen	C1_BOUNDARY_REPLICATED	4	0	drei Drachmen	EXACT_SEPARATED_AMOUNT_SPAN	0	0	0
G760-E0005	f103r	f103	f103r.32	32	S	B	3	f103r-P010	0	1	FUSED	or	aiin	III	3	oraiin	8	8	8	LAST	okeey shedy qokedy qokal shety otedy shcthy oraiin	shcthy	7	1	0	NONE	OPEN	feuchte CTH-Materialform; im Herbal feuchtes Blatt-/Krautgut	NA	GDT734_CLEAN_EXACT_WHOLE_CELL	LINE_EDGE	0	0	0	NONE	EDGE_OR_NONEXACT	NONE	NONE	LINE_EDGE	NONE	0	drei Portionen	Dosis/Dosen || Teil/Teile	C2_RECURRENT_BOUNDARY_SUPPORTED	1	0	Mengenform III; Leitkandidat drei Portionen; Rivalen Dosis/Dosen || Teil/Teile	FUSED_AMOUNT_CANDIDATE_REFERENCE_OPEN	0	0	0
G760-E0006	f103r	f103	f103r.51	51	S	B	3	f103r-P017	0	1	FUSED	s	aiin	III	3	saiin	1	1	4	FIRST	saiin cheteey shey cheosaiin	LINE_EDGE	0	0	0	NONE	EDGE_OR_NONEXACT	NONE	NONE	LINE_EDGE	cheteey	2	0	0	NONE	EDGE_OR_NONEXACT	[cheteey:?]	NA	GDT734_CLEAN_EXACT_WHOLE_CELL	NONE	0	drei Drachmen	drei gleiche Teile || drei Unzen	C1_BOUNDARY_REPLICATED	4	0	Mengenform III; Leitkandidat drei Drachmen; Rivalen drei gleiche Teile || drei Unzen	FUSED_AMOUNT_CANDIDATE_REFERENCE_OPEN	0	0	0
G760-E0007	f103v	f103	f103v.8	8	S	B	3	f103v-P002	0	1	FUSED	s	ain	II	2	sain	1	1	6	FIRST	sain shey olsheey dair chekoal okeey	LINE_EDGE	0	0	0	NONE	EDGE_OR_NONEXACT	NONE	NONE	LINE_EDGE	shey	2	0	0	NONE	EDGE_OR_NONEXACT	feucht in der Mitte des Grades	NA	GDT734_CLEAN_EXACT_WHOLE_CELL	NONE	0	zwei Drachmen	zwei gleiche Teile || zwei Unzen	C0_SINGLETON_PAIR	0	0	Mengenform II; Leitkandidat zwei Drachmen; Rivalen zwei gleiche Teile || zwei Unzen	FUSED_AMOUNT_CANDIDATE_REFERENCE_OPEN	0	0	0
G760-E0008	f103v	f103	f103v.23	23	S	B	3	f103v-P007	0	0	SEPARATED	or	aiiin	IV	4	or aiiin	5	6	13	MIDDLE	ycheody l ar cheey or aiiin oteey otal otear or ar keey qoty	cheey	4	1	0	NONE	OPEN	trocken am Ende des Grades	NA	GDT734_CLEAN_EXACT_WHOLE_CELL	oteey	7	1	0	COLD|PREPARATION|END_STAGE	CONTENT_PREP	kalter Ansatz am Ende des Grades	W3_SOLID_WORKING_THEORY	GDT734_CLEAN_EXACT_WHOLE_CELL	R	1	vier Portionen	Dosis/Dosen || Teil/Teile	C1_RECURRENT_PAIR	0	0	Menge: vier Portionen; Zubereitung: kalter Ansatz am Ende des Grades	EXACT_AMOUNT_PLUS_ONE_CLEAN_CONTENT_CONTACT	0	0	0
G760-E0009	f103v	f103	f103v.25	25	S	B	3	f103v-P007	0	0	FUSED	s	ain	II	2	sain	1	1	10	FIRST	sain olkeeey qokan oteedy qotain otal oty opar aram oteeam	LINE_EDGE	0	0	0	NONE	EDGE_OR_NONEXACT	NONE	NONE	LINE_EDGE	olkeeey	2	1	0	NONE	OPEN	[olkeeey:?]	NA	GDT734_CLEAN_EXACT_WHOLE_CELL	NONE	0	zwei Drachmen	zwei gleiche Teile || zwei Unzen	C0_SINGLETON_PAIR	0	0	Mengenform II; Leitkandidat zwei Drachmen; Rivalen zwei gleiche Teile || zwei Unzen	FUSED_AMOUNT_CANDIDATE_REFERENCE_OPEN	0	0	0
G760-E0010	f103v	f103	f103v.29	29	S	B	3	f103v-P008	0	1	FUSED	ar	aiin	III	3	araiin	7	7	8	MIDDLE	olcheeey chey lkchdy sho chcthy sal araiin qokeey	sal	6	1	0	NONE	OPEN	Saat-Rohstoff I	W2_PROVISIONAL_WORKING	GDT734_CLEAN_EXACT_WHOLE_CELL	qokeey	8	1	0	HOT|END_STAGE	QUALITY_VALUE	heiß am Ende des Grades	W3_SOLID_WORKING_THEORY	GDT734_CLEAN_EXACT_WHOLE_CELL	NONE	0	drei Anteile	Portion/Portionen || Fraktion/Fraktionen	C2_RECURRENT_BOUNDARY_SUPPORTED	1	0	Mengenform III; Leitkandidat drei Anteile; Rivalen Portion/Portionen || Fraktion/Fraktionen	FUSED_AMOUNT_CANDIDATE_REFERENCE_OPEN	0	0	0
