order	event_id	locus	statement_id	surface	joint_tuple_id	selected_small_value_de	semantic_role
1	E056	f55v.5	H4-S001	qokaiin	b5fcea1eaed06b2f2291	nach Mass ansetzen	QUANTITY
2	E057	f55v.5	H4-S001	chaiin	2f1c5e56e8f0ff459065	Mass	QUANTITY
3	E058	f55v.5	H4-S001	ykain	403c1592f918c8f23b88	eine Portion davon	QUANTITY
4	E059	f55v.5	H4-S001	ykan	d929a14ec45749b2e805	diese Portion	QUANTITY
5	E060	f55v.5	H4-S001	ody	97cc9ac109148723c472	abkühlen; Schluss	CLOSE
6	E061	f55v.5	H4-S002	daiin	2f1c5e56e8f0ff459065	Mass	QUANTITY
7	E062	f55v.5	H4-S002	chedy	6f7ff8287eddf4da9fdb	dies umsetzen	PROCESS_OR_ITEM
8	E063	f55v.5	H4-S002	talam	e026af581c99322fbd46	verwahren	PROCESS_OR_ITEM
9	E064	f55v.11	H4-S003	ykaiin	f7dc90b2c31fd341f0a4	Mass dieses Postens	QUANTITY
10	E065	f55v.11	H4-S003	cheoar	807591efc3d3f7ddbfab	Auszug daraus	PROCESS_OR_ITEM
11	E066	f55v.11	H4-S003	cheeky	2c1a5fd92b9e3c762242	länger wärmen	PROCESS_OR_ITEM
12	E067	f55v.11	H4-S003	oldy	1b1ffdd869fb1429ad03	fortsetzen; Schluss	CLOSE
13	E068	f55v.11	H4-S004	aiin	2f1c5e56e8f0ff459065	Mass	QUANTITY
14	E069	f55v.11	H4-S004	okal	308e8ea2d5d190c498e8	an die Stelle setzen	PROCESS_OR_ITEM
15	E070	f55v.11	H4-S004	oltchy	204b04837409088c48f9	anwärmen	PROCESS_OR_ITEM
16	E071	f55v.11	H4-S004	or	7a4bb8136330ee4e6e56	Ansatz	PROCESS_OR_ITEM
17	E072	f55v.11	H4-S004	y	b921a237be883a820352	dies	PROCESS_OR_ITEM
18	E073	f55v.11	H4-S004	orain	6afeb5c9ab9f6cbdea0d	Ansatzportion	QUANTITY
