family_id	base_headword_de	exact_card_types	occurrences	disposition	resolved_readings_de	surface_families	working_reading_de
F01_KUEHLEN	kühlen	4	4	PROCESS_PHASE_AND_PROGRAM_SCOPE	antrocknen lassen|abkühlen lassen|kalt stellen|kühlen	chary|ral|tchody|ody	Antrocknen, offenes Abkühlen und terminales Kaltstellen teilen nur den Kühlkern.
F02_ABLAUF	Ablauf	3	3	POLARITY_PLUS_LOCAL_SYNONYM	Ablauf schließen|Ablauf öffnen	lar|lo|sheey	LAR/LO schließen zwei lokale Abläufe; SHEEY öffnet den Ablauf des Hauptpaars.
F03_WAERME	Wärme	2	2	ONSET_VS_MAINTENANCE	warm halten|anwärmen	oltchy|qotchol	QOTCHOL startet Wärme, OLTCHY hält sie.
F04_BECKEN	Becken	2	2	VESSEL_FUNCTION	Auffangbecken|Arbeitsbecken	cheedar|qolchey	CHEEDAR sammelt, QOLCHEY ist das Arbeitsbecken.
F05_SPUEL	Spülung	2	2	PROCESS_VS_MEDIUM	Vorspülung|Spülwasser	cheeety|tshey	CHEEETY bezeichnet den vorausgehenden Gang, TSHEY das Spülmedium.
F06_STELLE	Stelle	2	2	OWNER_DOMAIN	Körperstelle|Station	lcheey|qolky	LCHEEY gehört zur Figuren-/Körperstelle, QOLKY zur technischen Station.
F07_TUCH	Tuch	2	3	TOOL_SPECIALIZATION	Seihtuch|Tuch	solkaiin|dain	SOLKAIIN ist ausdrücklich Filtertuch; DAIN bleibt allgemeines Tuch.
F08_WARM	warm	3	3	THERMAL_GRADE	weiter warm|warm|handwarm	rol|lol|shecthy	ROL führt Wärme fort, LOL ist allgemein warm, SHECTHY ist handwarm.
F09_WASCH	waschen	2	2	OPEN_ACTION_VS_PROGRAM	abwaschen|Waschgang	choy|rshedy	CHOY ist offenes Abwaschen; RSHEDY der ganze geschlossene Waschgang.
F10_UEBERLAUF	Überlauf	2	2	STATION_LOCAL_SYNONYM	Überlauf	sheckhy|qockhey	Zwei Stationskarten behalten dieselbe Grundbedeutung; keine zusätzliche Funktion ist nötig.
