family_id	base_headword_de	joint_tuple_id	surface_family	occurrence_count	event_ids	statement_ids	pages	owner_sequences	neighbor_contexts_de	previous_shared_headword_de	resolved_reading_de	variant_axis	variant_value	decision_class	reason_de
F01_KUEHLEN	kühlen	0bdc8b6db811b4e67a63	chary	1	E253	B3-S011	f83r	B3_LOWER_MARGIN_BASKET_VESSEL_STATION	E253:umsetzen>END	abkühlen	antrocknen lassen	PROCESS_PHASE	COATING_DRY	CONTEXTUAL_SUBTYPE	Folgt direkt auf Aufstreichen am Korb-/Gefäßposten.
F01_KUEHLEN	kühlen	4da0f0f7b5fc7ac20067	ral	1	E130	B1-S006	f81v	B1_SHARED_TWO_ROW_POOL	E130:Badzusatz>END	abkühlen	abkühlen lassen	PROCESS_PHASE	LIQUID_COOL	CONTEXTUAL_SUBTYPE	Folgt auf Portion, Durchleiten und Zusatz im gemeinsamen Pool.
F01_KUEHLEN	kühlen	2e2027b1951d79911e24	tchody	1	E045	H3-S001	f11r	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	E045:Klarflüssigkeit>END	abkühlen	kalt stellen	PROGRAM_SCOPE	FINAL_PRODUCT_COOL	TERMINAL_ROUTINE_VARIANT	Schließt den Kräutersud unmittelbar nach dem Klarlauf.
F01_KUEHLEN	kühlen	97cc9ac109148723c472	ody	1	E060	H4-S001	f55v	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	E060:dieser Anteil>END	kühlen	kühlen	PROGRAM_SCOPE	PORTION_COOL	TERMINAL_ROUTINE_VARIANT	Schließt die bemessene Postenportion als Kühlprogramm.
F02_ABLAUF	Ablauf	29e0eb222ef2fb99523a	lar	1	E211	B2-S014	f82r	B2_LOWER_GREEN_MULTI_FIGURE_POOL	E211:START>END	Ablauf	Ablauf schließen	POLARITY_AND_STATION	CLOSE_LOWER_POOL	STATION_LOCAL_SYNONYM	Alleiniger Befehl am unteren Mehrfigurenpool.
F02_ABLAUF	Ablauf	2b7fa918d1b2f5c656e3	lo	1	E263	B3-S016	f83r	B3_LOWER_MARGIN_BASKET_VESSEL_STATION|B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	E263:START>umsetzen; Schluss	Ablauf	Ablauf schließen	POLARITY_AND_STATION	CLOSE_MARGIN_STATION	STATION_LOCAL_SYNONYM	Eröffnet die Schließ-/Umsetzsequenz an der Randstation.
F02_ABLAUF	Ablauf	92e43836d82f98bf02d3	sheey	1	E334	B4-S008	f83r	B4_MAIN_ARCH_LINKED_PAIR	E334:länger wärmen>kurz ansetzen; Schluss	Ablauf	Ablauf öffnen	POLARITY_AND_STATION	OPEN_MAIN_PAIR	CONTEXTUAL_SUBTYPE	Steht zwischen längerem Wärmen und kurzem Folgeprogramm.
F03_WAERME	Wärme	204b04837409088c48f9	oltchy	1	E070	H4-S004	f55v	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	E070:dort ansetzen>Ansatz	anwärmen	warm halten	PROCESS_PHASE	MAINTAIN	CONTEXTUAL_SUBTYPE	Folgt auf Zielsetzung und führt in den gehaltenen Ansatz.
F03_WAERME	Wärme	e8a6105b5c3a6220b440	qotchol	1	E012	H1-S002	f10r	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	E012:Posten ansetzen>fortsetzen	anwärmen	anwärmen	PROCESS_PHASE	ONSET	CONTEXTUAL_SUBTYPE	Folgt auf Ansetzen und geht der Fortsetzung voraus.
F04_BECKEN	Becken	342c3f0777337648f4b3	cheedar	1	E285	B3-S026	f83r	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED|B3_MAIN_ARCH_LINKED_PAIR	E285:START>Absetzmaß	Becken	Auffangbecken	VESSEL_ROLE	COLLECT	CONTEXTUAL_SUBTYPE	Beginnt die Absetz-/Sammelsequenz am Hauptbogenpaar.
