target_surface	candidate_order	candidate_id	candidate_class	concrete_working_reading_de	left_macro	right_macro	strongest_rival_de	prior_disposition	prior_mutation_credit	literal_identity	semantic_credit	renderer_license	component_export_credit
cheol	A	CHEOL-MAT	MAT_PREP	Stoff-/Zubereitungseintrag	QUALITY	PROCESS	Qualitäts-/Zustandsangabe	OPEN	0	OPEN	0	0	0
cheol	B	CHEOL-QUAL	QUALITY_STATE	Qualitäts-/Zustandsangabe	CARRIER	SCALAR	Stoff-/Zubereitungseintrag	OPEN	0	OPEN	0	0	0
otal	A	OTAL-MAT	MAT_PREP	Ausgangsansatz oder Stoffzubereitung	QUALITY	PROCESS	Qualitäts-/Zustandsangabe	OPEN	0	OPEN	0	0	0
otal	B	OTAL-QUAL	QUALITY_STATE	Qualitäts-/Zustandsangabe	CARRIER	SCALAR	Ausgangsansatz oder Stoffzubereitung	OPEN	0	OPEN	0	0	0
okal	A	OKAL-OPAQUE	OPAQUE_RECORD	Kennstellen-/Registereintrag	SCALAR	CARRIER	Ansatz-/Materialeintrag	DISPLAY_ONLY_RETAIN_GDT793	0	OPEN	0	0	0
okal	B	OKAL-MAT	MAT_PREP	Ansatz-/Materialeintrag	QUALITY	PROCESS	Kennstellen-/Registereintrag	OPEN	0	OPEN	0	0	0
ol	A	OL-CARRIER	GENERAL_CARRIER	allgemeine Grundmasse/Zubereitung	QUALITY	QUALITY	behandeltes und gemessenes Medium; Identität offen	DISPLAY_ONLY_RETAIN_GDT762	0	OPEN	0	0	0
ol	B	OL-MEDIUM	SPECIFIC_MEDIUM_LIKE	behandeltes und gemessenes Medium; Identität offen	PROCESS	SCALAR	allgemeine Grundmasse/Zubereitung	OPEN	0	OPEN	0	0	0
qokeol	A	QOKEOL-PROCESS	PROCESS_FIELD	Behandlungs-/Erwärmungsfeld	CARRIER	QUALITY	behandelte oder erhitzte Zubereitung	OPEN	0	OPEN	0	0	0
qokeol	B	QOKEOL-MAT	MAT_PREP	behandelte oder erhitzte Zubereitung	QUALITY	PROCESS	Behandlungs-/Erwärmungsfeld	OPEN	0	OPEN	0	0	0
qokol	A	QOKOL-PROCESS	PROCESS_FIELD	Behandlungs-/Abschlussfeld	CARRIER	QUALITY	behandelte Zubereitung oder Stofffeld	OPEN	0	OPEN	0	0	0
qokol	B	QOKOL-MAT	MAT_PREP	behandelte Zubereitung oder Stofffeld	QUALITY	PROCESS	Behandlungs-/Abschlussfeld	OPEN	0	OPEN	0	0	0
