edition	paragraph	page	physical_folio	fold	length	locked_tokens	locked_types	informative	baseline_windows	compatible_windows	distinct_compatible_plaintexts	outcome
RF1b	G807-P0034	f10r	f10	B	40	2	1	False	0	0	0	NO_BASELINE_PATTERN_WINDOW
RF1b	G807-P0036	f10v	f10	B	24	4	1	False	1	0	0	FIXED_KEY_CONTRADICTION
RF1b	G807-P0051	f16r	f16	A	29	2	1	False	0	0	0	NO_BASELINE_PATTERN_WINDOW
RF1b	G807-P0067	f20r	f20	A	32	1	1	False	24	0	0	FIXED_KEY_CONTRADICTION
RF1b	G807-P0097	f28v	f28	A	20	3	1	False	0	0	0	NO_BASELINE_PATTERN_WINDOW
RF1b	G807-P0162	f44v	f44	A	26	2	1	False	0	0	0	NO_BASELINE_PATTERN_WINDOW
RF1b	G807-P0195	f52v	f52	A	35	4	2	True	0	0	0	NO_BASELINE_PATTERN_WINDOW
RF1b	G807-P0417	f104r	f104	A	29	1	1	False	0	0	0	NO_BASELINE_PATTERN_WINDOW
RF1b	G807-P0526	f108r	f108	A	19	1	1	False	26107	252	250	COMPATIBLE
ZL3b	G807-P0097	f28v	f28	A	20	3	1	False	0	0	0	NO_BASELINE_PATTERN_WINDOW
ZL3b	G807-P0162	f44v	f44	A	26	2	1	False	0	0	0	NO_BASELINE_PATTERN_WINDOW
ZL3b	G807-P0220	f66v	f66	B	25	0	0	False	70	11	11	COMPATIBLE
ZL3b	G807-P0236	f76v	f76	A	57	9	4	True	0	0	0	NO_BASELINE_PATTERN_WINDOW
ZL3b	G807-P0430	f104v	f104	A	31	2	1	False	0	0	0	NO_BASELINE_PATTERN_WINDOW
ZL3b	G807-P0461	f106r	f106	B	26	5	4	True	0	0	0	NO_BASELINE_PATTERN_WINDOW
ZL3b	G807-P0466	f106r	f106	B	22	1	1	False	17766	0	0	FIXED_KEY_CONTRADICTION
ZL3b	G807-P0481	f106v	f106	B	17	2	2	True	34056	1	1	COMPATIBLE
ZL3b	G807-P0486	f106v	f106	B	21	2	2	True	20145	0	0	FIXED_KEY_CONTRADICTION
ZL3b	G807-P0524	f108r	f108	A	17	1	1	False	34056	3	3	COMPATIBLE
ZL3b	G807-P0526	f108r	f108	A	19	1	1	False	26107	252	250	COMPATIBLE
ZL3b	G807-P0556	f112r	f112	A	33	4	3	True	6	0	0	FIXED_KEY_CONTRADICTION
ZL3b	G807-P0561	f112r	f112	A	28	2	2	True	8405	0	0	FIXED_KEY_CONTRADICTION
ZL3b	G807-P0620	f114v	f114	B	48	3	2	True	0	0	0	NO_BASELINE_PATTERN_WINDOW
ZL3b	G807-P0622	f114v	f114	B	27	2	2	True	0	0	0	NO_BASELINE_PATTERN_WINDOW
