queue_ordinal	surface	support_tier	support_band	final_recipe	weak_queue_reason	tier_trace	tier_caution	neutral_component_reading_de	known_contextual_readings_de	guard
1	aiicthy	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	WORKING_DEFAULT_FRAGMENT	AIIN+CH+T+Y	NEW_ATOM_INTERFACE	PRIMARY[aii+[cthy]]	NEW_ATOM_INTERFACE | EXPLICIT_WORKING_DEFAULT__NO_QUALIFIED_SECONDARY	Den Wert und den Posten nehmen und einstellen.	Nimm den Arbeitswert und den Pflanzenposten und stelle den Arbeitswert und den Pflanzenposten ein.	QUEUE_PRIORITIZATION_ONLY__CURRENT_READING_RETAINED
2	chady	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	WORKING_DEFAULT_FRAGMENT	CH+A_ADDR+DY	ANCHOR_CONTEXT_MODE_DIFFERENCE|NEW_ATOM_INTERFACE	PRIMARY[[cha]+dy]	ANCHOR_CONTEXT_MODE_DIFFERENCE|NEW_ATOM_INTERFACE | EXPLICIT_WORKING_DEFAULT__NO_QUALIFIED_SECONDARY	Nehmen; hier; abschließen.	Entnimm; an der bezeichneten Stelle; schließe den Schritt.	QUEUE_PRIORITIZATION_ONLY__CURRENT_READING_RETAINED
3	chap	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	WORKING_DEFAULT_FRAGMENT	CH+A_ADDR+P	ANCHOR_CONTEXT_MODE_DIFFERENCE|NEW_ATOM_INTERFACE	PRIMARY[[cha]+p]	ANCHOR_CONTEXT_MODE_DIFFERENCE|NEW_ATOM_INTERFACE | EXPLICIT_WORKING_DEFAULT__NO_QUALIFIED_SECONDARY	Nehmen und einsetzen; hier.	Entnimm und setze ein; an der bezeichneten Stelle.	QUEUE_PRIORITIZATION_ONLY__CURRENT_READING_RETAINED
4	choraly	FULLY_TILED_BY_OLD_MULTICOMPONENT_RECIPES	WORKING_DEFAULT_COMPLETE_OLD_TILES	CH+OR+AL+Y	COMPLETE_OLD_TILES_AND_SEAMS_ONLY	OLD_TILES[CH+OR | AL+Y]	NO_COMPLETE_OLD_PORTABLE_SKELETON_OR_ORDERED_STATEMENT_PATH	Die Einheit und den Posten nehmen; am Zielort.	Nimm die Arbeitseinheit und den Pflanzenposten; zur Zielstelle.	QUEUE_PRIORITIZATION_ONLY__CURRENT_READING_RETAINED
5	dairykodas	FULLY_TILED_BY_OLD_MULTICOMPONENT_RECIPES	WORKING_DEFAULT_COMPLETE_OLD_TILES	D_ADDR+AIR+Y+K+O+DA+S	COMPLETE_OLD_TILES_AND_SEAMS_ONLY	OLD_TILES[D_ADDR+AIR | Y+K | O+DA+S]	NO_COMPLETE_OLD_PORTABLE_SKELETON_OR_ORDERED_STATEMENT_PATH	Hier; entlang der Bahn; den Posten geben und wählen; zur Ausführung; auf der zweiten Stufe.	Ordne den laufenden Eintrag zu und wähle den laufenden Eintrag; entlang der Lesebahn; zur Ausführung und auf der zweiten Stufe; an der bezeichneten Stelle.	QUEUE_PRIORITIZATION_ONLY__CURRENT_READING_RETAINED
6	dalalshedy	FULLY_TILED_BY_OLD_MULTICOMPONENT_RECIPES	WORKING_DEFAULT_COMPLETE_OLD_TILES	AL+AL+SH+E+DY	COMPLETE_OLD_TILES_AND_SEAMS_ONLY	OLD_TILES[AL+AL | SH+E+DY]	NO_COMPLETE_OLD_PORTABLE_SKELETON_OR_ORDERED_STATEMENT_PATH	Am Zielort; erneut am Zielort; halten; auf Grad I; abschließen.	Halte den laufenden Eintrag [wie zuvor] fest; zur Zielspalte [außen] und zur Zielspalte [innen]; auf Grad I; schließe den Schritt.	QUEUE_PRIORITIZATION_ONLY__CURRENT_READING_RETAINED
7	folchol	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	WORKING_DEFAULT_FRAGMENT	LOCAL_CHAR_F+OL+OL	ANCHOR_CONTEXT_MODE_DIFFERENCE	PRIMARY[[NO_EXACT_OLD_VISIBLE_STEM]]	ANCHOR_CONTEXT_MODE_DIFFERENCE | EXPLICIT_WORKING_DEFAULT__NO_QUALIFIED_SECONDARY	Hier; zweimal fortsetzen.	Im laufenden Satz halte; an der bezeichneten Stelle; führe 2-mal fort.	QUEUE_PRIORITIZATION_ONLY__CURRENT_READING_RETAINED
8	kodary	FULLY_TILED_BY_OLD_MULTICOMPONENT_RECIPES	WORKING_DEFAULT_COMPLETE_OLD_TILES	K+O+D_ADDR+AR+Y	COMPLETE_OLD_TILES_AND_SEAMS_ONLY	OLD_TILES[K+O+D_ADDR | AR+Y]	NO_COMPLETE_OLD_PORTABLE_SKELETON_OR_ORDERED_STATEMENT_PATH	Den Posten geben; zur Ausführung; hier; vom Ausgang.	Ordne den laufenden Eintrag zu; von der Ausgangszeile; zur Ausführung; an der bezeichneten Stelle.	QUEUE_PRIORITIZATION_ONLY__CURRENT_READING_RETAINED
9	kody	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	WORKING_DEFAULT_FRAGMENT	K+O+DY	ANCHOR_CONTEXT_MODE_DIFFERENCE	PRIMARY[k+[ody]]	ANCHOR_CONTEXT_MODE_DIFFERENCE | EXPLICIT_WORKING_DEFAULT__NO_QUALIFIED_SECONDARY	Geben; zur Ausführung; abschließen.	Ordne zu; zur Ausführung; schließe den Schritt.	QUEUE_PRIORITIZATION_ONLY__CURRENT_READING_RETAINED
10	ofaram	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	WORKING_DEFAULT_FRAGMENT	O+LOCAL_CHAR_F+AR+AM_ADDR	NEW_ATOM_INTERFACE	PRIMARY[[ofar]+am]	NEW_ATOM_INTERFACE | EXPLICIT_WORKING_DEFAULT__NO_QUALIFIED_SECONDARY	Zur Ausführung; hier; vom Ausgang; hier.	Im laufenden Satz bearbeite den laufenden Eintrag [wie zuvor]; von der Ausgangszeile; zur Ausführung; an der bezeichneten Stelle und an der bezeichneten Stelle.	QUEUE_PRIORITIZATION_ONLY__CURRENT_READING_RETAINED
11	qoekedy	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	WORKING_DEFAULT_FRAGMENT	CARRIER_Q+O+E+K+E+DY	ANCHOR_CONTEXT_MODE_DIFFERENCE	PRIMARY[qoe+[kedy]]	ANCHOR_CONTEXT_MODE_DIFFERENCE | EXPLICIT_WORKING_DEFAULT__NO_QUALIFIED_SECONDARY	Mit Beginnmarker; zur Ausführung; auf Grad I; geben; erneut auf Grad I; abschließen.	Gib die Arbeitseinheit [wie zuvor] zu; mit Beginnmarker, zur Ausführung, auf Grad I [außen] und auf Grad I [innen]; schließe den Schritt.	QUEUE_PRIORITIZATION_ONLY__CURRENT_READING_RETAINED
12	qokshd	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	WORKING_DEFAULT_FRAGMENT	OK+SH+D_ADDR	ANCHOR_CONTEXT_MODE_DIFFERENCE	PRIMARY[[qoksh]+d]	ANCHOR_CONTEXT_MODE_DIFFERENCE | EXPLICIT_WORKING_DEFAULT__NO_QUALIFIED_SECONDARY	Setzen und halten; hier.	Trage ein und halte fest; an der bezeichneten Stelle.	QUEUE_PRIORITIZATION_ONLY__CURRENT_READING_RETAINED
