target_ordinal	surface	reader_decision	support_tier	support_rank	support_band	final_recipe	target_event_count	target_physical_pages	observed_requirement_modes	visible_action_roots	visible_argument_roots	future_action_contract	future_argument_contract	minimum_future_state_for_verbal_clause	neutral_component_reading_de	known_contextual_readings_de	tier_route_class	tier_trace	tier_evidence	tier_context_relation	tier_caution	weak_queue_candidate	weak_queue_reason	source_reader	reading_scope	guard
1	aiicthy	READ_KNOWN_145_PROSE_WORKING_CARD	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	3	WORKING_DEFAULT_FRAGMENT	AIIN+CH+T+Y	1	f31r	SELF_CONTAINED	CH|T	AIIN|Y	USE_VISIBLE_ACTIONS__LAST_VISIBLE_ACTION_BECOMES_ACTIVE	USE_VISIBLE_ARGUMENTS__LAST_VISIBLE_ARGUMENT_BECOMES_ACTIVE	NONE	Den Wert und den Posten nehmen und einstellen.	Nimm den Arbeitswert und den Pflanzenposten und stelle den Arbeitswert und den Pflanzenposten ein.	ALIGNED_VISIBLE_STEM_WITH_NEW_INTERFACE	PRIMARY[aii+[cthy]]	anchor=CH+T+Y;anchor_old_events=19;old_interfaces=0/1;recurrent_channels=0;secondary=NO	TARGET_MODE_SET_EQUAL	NEW_ATOM_INTERFACE | EXPLICIT_WORKING_DEFAULT__NO_QUALIFIED_SECONDARY	YES	NEW_ATOM_INTERFACE	GDT546_FRAGMENT_READER	GERMAN_WORKING_READING__NOT_PLAINTEXT	EXACT_145_SURFACE_KEY_ONLY__NO_FUZZY_INHERITANCE_OR_NEW_MEANING
2	akar	READ_KNOWN_145_PROSE_WORKING_CARD	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	3	SUPPORTED_FRAGMENT_FRAME	A_ADDR+K+AR	1	f66r	REQUIRES_ACTIVE_ARGUMENT	K	NONE	USE_VISIBLE_ACTIONS__LAST_VISIBLE_ACTION_BECOMES_ACTIVE	USE_SAME_STATEMENT_ACTIVE_ARGUMENT_IF_AVAILABLE__ELSE_OBJECTLESS	NONE	Hier; geben; vom Ausgang.	Ordne die Eintragseinheit [wie zuvor] zu; von der Ausgangszeile; an der bezeichneten Stelle.	ALIGNED_VISIBLE_STEM_ALL_INTERFACES_OLD	PRIMARY[a+[kar]]	anchor=K+AR;anchor_old_events=6;old_interfaces=1/1;recurrent_channels=0;secondary=NO	TARGET_MODE_SET_EQUAL	NOT_FLAGGED	NO	NONE	GDT546_FRAGMENT_READER	GERMAN_WORKING_READING__NOT_PLAINTEXT	EXACT_145_SURFACE_KEY_ONLY__NO_FUZZY_INHERITANCE_OR_NEW_MEANING
3	alkey	READ_KNOWN_145_PROSE_WORKING_CARD	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	3	SUPPORTED_FRAGMENT_FRAME	AL+K+E+Y	1	f66r	SELF_CONTAINED	K	Y	USE_VISIBLE_ACTIONS__LAST_VISIBLE_ACTION_BECOMES_ACTIVE	USE_VISIBLE_ARGUMENTS__LAST_VISIBLE_ARGUMENT_BECOMES_ACTIVE	NONE	Am Zielort; den Posten geben; auf Grad I.	Ordne den laufenden Eintrag zu; zur Zielspalte; auf Grad I.	ALIGNED_VISIBLE_STEM_ALL_INTERFACES_OLD	PRIMARY[al+[key]]	anchor=K+E+Y;anchor_old_events=1;old_interfaces=1/1;recurrent_channels=0;secondary=NO	TARGET_MODE_SET_EQUAL	NOT_FLAGGED	NO	NONE	GDT546_FRAGMENT_READER	GERMAN_WORKING_READING__NOT_PLAINTEXT	EXACT_145_SURFACE_KEY_ONLY__NO_FUZZY_INHERITANCE_OR_NEW_MEANING
4	axor	READ_KNOWN_145_PROSE_WORKING_CARD	ATOMS_AND_FACTORS_ONLY	4	SUPPORTED_VISIBLE_ATOMS	A_ADDR+LOCAL_X+OR	1	f66r	REQUIRES_ACTIVE_ACTION	NONE	OR	USE_SAME_STATEMENT_ACTIVE_ACTION__ELSE_RENDER_NONVERBAL_FRAGMENT	USE_VISIBLE_ARGUMENTS__LAST_VISIBLE_ARGUMENT_BECOMES_ACTIVE	ACTIVE_ACTION	Hier; mit lokalem X-Zeichen-/Namenskern; Einheit.	Im laufenden Satz ordne die Eintragseinheit zu; an der bezeichneten Stelle und mit dem lokalen X-Zeichen-/Namenskern.	OLD26_ALL_CANONICAL_VISIBLE_ATOMS	a→A_ADDR | x→LOCAL_X | or→OR	old_cover_paths=1;old_interfaces=0/2;execution=READ_CURRENT_LOCAL_X_OVERLAY	GDT540_OBSERVED_REQUIREMENT_MODE	GDT446_PRE_LOCAL_X_DECK_STOP__GDT516_F66R_LOCAL_X_OVERLAY	NO	NONE	GDT547_ATOMIC_FACTOR_READER	GERMAN_WORKING_READING__NOT_PLAINTEXT	EXACT_145_SURFACE_KEY_ONLY__NO_FUZZY_INHERITANCE_OR_NEW_MEANING
5	chady	READ_KNOWN_145_PROSE_WORKING_CARD	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	3	WORKING_DEFAULT_FRAGMENT	CH+A_ADDR+DY	1	f66r	SELF_CONTAINED	CH	NONE	USE_VISIBLE_ACTIONS__LAST_VISIBLE_ACTION_BECOMES_ACTIVE	USE_SAME_STATEMENT_ACTIVE_ARGUMENT_IF_AVAILABLE__ELSE_OBJECTLESS	NONE	Nehmen; hier; abschließen.	Entnimm; an der bezeichneten Stelle; schließe den Schritt.	ALIGNED_VISIBLE_STEM_WITH_NEW_INTERFACE	PRIMARY[[cha]+dy]	anchor=CH+A_ADDR;anchor_old_events=1;old_interfaces=0/1;recurrent_channels=0;secondary=NO	TARGET_MODE_SET_DISJOINT	ANCHOR_CONTEXT_MODE_DIFFERENCE|NEW_ATOM_INTERFACE | EXPLICIT_WORKING_DEFAULT__NO_QUALIFIED_SECONDARY	YES	ANCHOR_CONTEXT_MODE_DIFFERENCE|NEW_ATOM_INTERFACE	GDT546_FRAGMENT_READER	GERMAN_WORKING_READING__NOT_PLAINTEXT	EXACT_145_SURFACE_KEY_ONLY__NO_FUZZY_INHERITANCE_OR_NEW_MEANING
6	chap	READ_KNOWN_145_PROSE_WORKING_CARD	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	3	WORKING_DEFAULT_FRAGMENT	CH+A_ADDR+P	1	f66r	SELF_CONTAINED	CH|P	NONE	USE_VISIBLE_ACTIONS__LAST_VISIBLE_ACTION_BECOMES_ACTIVE	USE_SAME_STATEMENT_ACTIVE_ARGUMENT_IF_AVAILABLE__ELSE_OBJECTLESS	NONE	Nehmen und einsetzen; hier.	Entnimm und setze ein; an der bezeichneten Stelle.	ALIGNED_VISIBLE_STEM_WITH_NEW_INTERFACE	PRIMARY[[cha]+p]	anchor=CH+A_ADDR;anchor_old_events=1;old_interfaces=0/1;recurrent_channels=0;secondary=NO	TARGET_MODE_SET_DISJOINT	ANCHOR_CONTEXT_MODE_DIFFERENCE|NEW_ATOM_INTERFACE | EXPLICIT_WORKING_DEFAULT__NO_QUALIFIED_SECONDARY	YES	ANCHOR_CONTEXT_MODE_DIFFERENCE|NEW_ATOM_INTERFACE	GDT546_FRAGMENT_READER	GERMAN_WORKING_READING__NOT_PLAINTEXT	EXACT_145_SURFACE_KEY_ONLY__NO_FUZZY_INHERITANCE_OR_NEW_MEANING
7	chckhedy	READ_KNOWN_145_PROSE_WORKING_CARD	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	3	SUPPORTED_FRAGMENT_FRAME	CH+CH+K+E+DY	1	f66r	REQUIRES_ACTIVE_ARGUMENT	CH|CH|K	NONE	USE_VISIBLE_ACTIONS__LAST_VISIBLE_ACTION_BECOMES_ACTIVE	USE_SAME_STATEMENT_ACTIVE_ARGUMENT_IF_AVAILABLE__ELSE_OBJECTLESS	NONE	Nehmen, erneut nehmen und geben; auf Grad I; abschließen.	Entnimm den laufenden Eintrag [wie zuvor], entnimm den laufenden Eintrag [wie zuvor] und ordne den laufenden Eintrag [wie zuvor] zu; auf Grad I; schließe den Schritt.	RECIPE_ANCHOR_ALL_INTERFACES_OLD	PRIMARY[[NO_EXACT_OLD_VISIBLE_STEM]] | SECONDARY[CH+[CH+K]+E+DY]	anchor=K+E+DY;anchor_old_events=1;old_interfaces=1/1;recurrent_channels=0;secondary=YES	TARGET_MODE_SET_DISJOINT	SECONDARY_DIRECTION_MISMATCH__KEEP_PRIMARY | SECONDARY_BRIDGE_ADDED__PRIMARY_RETAINED	NO	NONE	GDT546_FRAGMENT_READER	GERMAN_WORKING_READING__NOT_PLAINTEXT	EXACT_145_SURFACE_KEY_ONLY__NO_FUZZY_INHERITANCE_OR_NEW_MEANING
8	chcpheor	READ_KNOWN_145_PROSE_WORKING_CARD	ATOMS_AND_FACTORS_ONLY	4	SUPPORTED_VISIBLE_ATOMS	CH+CH+P+E+OR	1	f66r	SELF_CONTAINED	CH|CH|P	OR	USE_VISIBLE_ACTIONS__LAST_VISIBLE_ACTION_BECOMES_ACTIVE	USE_VISIBLE_ARGUMENTS__LAST_VISIBLE_ARGUMENT_BECOMES_ACTIVE	NONE	Die Einheit nehmen, erneut nehmen und einsetzen; auf Grad I.	Entnimm die Eintragseinheit, entnimm die Eintragseinheit und setze die Eintragseinheit ein; auf Grad I.	OLD26_MIXED_CANONICAL_AND_LEARNED_RENDERERS	chcph→CH+CH+P | e→E | or→OR	old_cover_paths=3;old_interfaces=4/4;execution=READ_FACTOR_GREEN	GDT540_OBSERVED_REQUIREMENT_MODE	NONE	NO	NONE	GDT547_ATOMIC_FACTOR_READER	GERMAN_WORKING_READING__NOT_PLAINTEXT	EXACT_145_SURFACE_KEY_ONLY__NO_FUZZY_INHERITANCE_OR_NEW_MEANING
9	chctho	READ_KNOWN_145_PROSE_WORKING_CARD	OLD_COMPLETE_RECIPE_FRAGMENT_PLUS_ATOMS	3	SUPPORTED_FRAGMENT_FRAME	CH+CH+T+O	1	f66r	REQUIRES_ACTIVE_ARGUMENT	CH|CH|T	NONE	USE_VISIBLE_ACTIONS__LAST_VISIBLE_ACTION_BECOMES_ACTIVE	USE_SAME_STATEMENT_ACTIVE_ARGUMENT_IF_AVAILABLE__ELSE_OBJECTLESS	NONE	Nehmen, erneut nehmen und einstellen; zur Ausführung.	Entnimm den laufenden Eintrag [wie zuvor], entnimm den laufenden Eintrag [wie zuvor] und lege den laufenden Eintrag [wie zuvor] fest; zur Ausführung.	REPEATED_INVARIANT_VISIBLE_EXTENSION_CHANNEL	PRIMARY[ch+[ctho]]	anchor=CH+T+O;anchor_old_events=2;old_interfaces=1/1;recurrent_channels=1;secondary=NO	TARGET_MODE_SET_EQUAL	NOT_FLAGGED	NO	NONE	GDT546_FRAGMENT_READER	GERMAN_WORKING_READING__NOT_PLAINTEXT	EXACT_145_SURFACE_KEY_ONLY__NO_FUZZY_INHERITANCE_OR_NEW_MEANING
10	cheda	READ_KNOWN_145_PROSE_WORKING_CARD	ATOMS_AND_FACTORS_ONLY	4	SUPPORTED_VISIBLE_ATOMS	CHD+A_ADDR	1	f31r	SELF_CONTAINED	CHD	NONE	USE_VISIBLE_ACTIONS__LAST_VISIBLE_ACTION_BECOMES_ACTIVE	USE_SAME_STATEMENT_ACTIVE_ARGUMENT_IF_AVAILABLE__ELSE_OBJECTLESS	NONE	Bearbeiten; hier.	Bearbeite; an der bezeichneten Stelle.	OLD26_ALL_CANONICAL_VISIBLE_ATOMS	ched→CHD | a→A_ADDR	old_cover_paths=1;old_interfaces=0/1;execution=READ_FACTOR_GREEN	GDT540_OBSERVED_REQUIREMENT_MODE	NONE	NO	NONE	GDT547_ATOMIC_FACTOR_READER	GERMAN_WORKING_READING__NOT_PLAINTEXT	EXACT_145_SURFACE_KEY_ONLY__NO_FUZZY_INHERITANCE_OR_NEW_MEANING
