metric	value	guard
status	PASS_ONE_EXACT_KEY_READER_FOR_145_PROSE_SURFACES__23_NAMED_DEFAULTS	GDT548_REPLAYED_METRIC
target_surface_count	145	GDT548_REPLAYED_METRIC
unique_surface_count	145	GDT548_REPLAYED_METRIC
tier_1_count	11	GDT548_REPLAYED_METRIC
tier_2_count	29	GDT548_REPLAYED_METRIC
tier_3_count	81	GDT548_REPLAYED_METRIC
tier_4_count	24	GDT548_REPLAYED_METRIC
exact_old_recipe_count	11	GDT548_REPLAYED_METRIC
full_tile_count	29	GDT548_REPLAYED_METRIC
fragment_reader_count	81	GDT548_REPLAYED_METRIC
atomic_factor_reader_count	24	GDT548_REPLAYED_METRIC
complete_neutral_reading_count	145	GDT548_REPLAYED_METRIC
complete_context_reading_count	145	GDT548_REPLAYED_METRIC
weak_queue_count	23	GDT548_REPLAYED_METRIC
weak_tile_default_count	10	GDT548_REPLAYED_METRIC
weak_fragment_default_count	12	GDT548_REPLAYED_METRIC
weak_atomic_pair_default_count	1	GDT548_REPLAYED_METRIC
nonweak_card_count	122	GDT548_REPLAYED_METRIC
self_contained_only_surface_count	88	GDT548_REPLAYED_METRIC
active_action_surface_count	5	GDT548_REPLAYED_METRIC
active_argument_surface_count	40	GDT548_REPLAYED_METRIC
active_action_and_argument_surface_count	11	GDT548_REPLAYED_METRIC
multi_mode_surface_count	1	GDT548_REPLAYED_METRIC
unknown_surface_policy	STOP_UNKNOWN_145_PROSE_SURFACE	GDT548_REPLAYED_METRIC
new_pages	0	GDT548_REPLAYED_METRIC
recipe_changes	0	GDT548_REPLAYED_METRIC
root_meaning_changes	0	GDT548_REPLAYED_METRIC
