global_running_event_id	global_statement_id	card_ordinal_in_statement	physical_page	register	owner_class	owner_de	surface	component_recipe	explicit_action_roots	inherited_action_root	explicit_argument_roots	inherited_argument_root	template	imperative_clause_de	owner_local_atom_reading_de	portable_back_projection_de	roundtrip_exact
G407-E0001	G407-S001	1	f1r	SOURCE_SECTION_T	TEXTBLOCK	F1R_TEXT_BLOCK_A	fachys	LOCAL_CHAR_F+A_ADDR+CH+Y+S	CH|S	NONE	Y	NONE	MULTI_ACTION	Entnimm den laufenden Eintrag und wähle den laufenden Eintrag; an der bezeichneten Stelle und an der bezeichneten Stelle.	HIER · HIER · ENTNEHMEN · LAUFENDER EINTRAG · AUSWÄHLEN	HIER · HIER · NEHMEN · POSTEN · WÄHLEN	YES
G407-E0002	G407-S001	2	f1r	SOURCE_SECTION_T	TEXTBLOCK	F1R_TEXT_BLOCK_A	ykal	Y+K+AL	K	NONE	Y	NONE	ACTION_ARGUMENT_RELATION	Ordne den laufenden Eintrag zu; zur Zielspalte.	LAUFENDER EINTRAG · ZUORDNEN · ZIELSPALTE	POSTEN · GEBEN · ZIELORT	YES
G407-E0003	G407-S001	3	f1r	SOURCE_SECTION_T	TEXTBLOCK	F1R_TEXT_BLOCK_A	ar	AR	NONE	K	NONE	Y	INHERITED_RELATION	Im laufenden Gang ordne den laufenden Eintrag [wie zuvor] zu; von der Ausgangszeile.	AUSGANGSZEILE	AUSGANG	YES
G407-E0004	G407-S001	4	f1r	SOURCE_SECTION_T	TEXTBLOCK	F1R_TEXT_BLOCK_A	ataiin	A_ADDR+T+AIIN	T	NONE	AIIN	NONE	ACTION_ARGUMENT	Lege den Kennwert fest; an der bezeichneten Stelle.	HIER · FESTLEGEN · KENNWERT	HIER · EINSTELLEN · WERT	YES
G407-E0005	G407-S001	5	f1r	SOURCE_SECTION_T	TEXTBLOCK	F1R_TEXT_BLOCK_A	shol	SH+OL	SH	NONE	NONE	AIIN	ORDERED_ACTION	Weiter halte den Kennwert [wie zuvor] fest.	FESTHALTEN · WEITERFÜHREN	HALTEN · FORTSETZEN	YES
G407-E0006	G407-S001	6	f1r	SOURCE_SECTION_T	TEXTBLOCK	F1R_TEXT_BLOCK_A	shory	SH+OR+Y	SH	NONE	OR|Y	NONE	ACTION_ARGUMENT	Halte die Eintragseinheit und den laufenden Eintrag fest.	FESTHALTEN · EINTRAGSEINHEIT · LAUFENDER EINTRAG	HALTEN · EINHEIT · POSTEN	YES
G407-E0007	G407-S001	7	f1r	SOURCE_SECTION_T	TEXTBLOCK	F1R_TEXT_BLOCK_A	cthres	CH+T+R+E+S	CH|T|R|S	NONE	NONE	Y	MULTI_ACTION	Entnimm den laufenden Eintrag [wie zuvor], lege den laufenden Eintrag [wie zuvor] fest, kennzeichne den laufenden Eintrag [wie zuvor] und wähle den laufenden Eintrag [wie zuvor]; auf Grad I.	ENTNEHMEN · FESTLEGEN · KENNZEICHNEN · GRAD I · AUSWÄHLEN	NEHMEN · EINSTELLEN · MARKIEREN · GRAD I · WÄHLEN	YES
G407-E0008	G407-S001	8	f1r	SOURCE_SECTION_T	TEXTBLOCK	F1R_TEXT_BLOCK_A	y	Y	NONE	S	Y	NONE	INHERITED_ARGUMENT_OR_CONTROL	Im laufenden Gang wähle den laufenden Eintrag.	LAUFENDER EINTRAG	POSTEN	YES
G407-E0009	G407-S001	9	f1r	SOURCE_SECTION_T	TEXTBLOCK	F1R_TEXT_BLOCK_A	kor	K+OR	K	NONE	OR	NONE	ACTION_ARGUMENT	Ordne die Eintragseinheit zu.	ZUORDNEN · EINTRAGSEINHEIT	GEBEN · EINHEIT	YES
G407-E0010	G407-S001	10	f1r	SOURCE_SECTION_T	TEXTBLOCK	F1R_TEXT_BLOCK_A	sholdy	SH+OL+D_ADDR+Y	SH	NONE	Y	NONE	ORDERED_ACTION	Weiter halte den laufenden Eintrag fest; an der bezeichneten Stelle.	FESTHALTEN · WEITERFÜHREN · HIER · LAUFENDER EINTRAG	HALTEN · FORTSETZEN · HIER · POSTEN	YES
