template	event_count	rule_de
ACTION_ARGUMENT	587	sichtbare Handlung mit Posten/Wert/Anteil/Einheit
ACTION_ARGUMENT_RELATION	82	Handlung mit Posten/Wert und Adresse/Bahn
ACTION_ONLY	143	sichtbare Handlung ohne ausgeschriebenes Argument
ACTION_RELATION	244	sichtbare Handlung mit Adresse oder Bahn
CONTROL_ONLY	18	lokales Kontroll-/Kennzeichen ohne Handlungsneulesung
GRADED_ACTION	825	sichtbare Handlung mit Grad oder Stufe
INHERITED_ARGUMENT_OR_CONTROL	998	aktive Besitzerhandlung mit neuem Posten oder Kontrollwert
INHERITED_GRADE	206	aktive Besitzerhandlung mit neuem Grad
INHERITED_RELATION	394	aktive Besitzerhandlung mit neuer Adresse/Bahn
MULTI_ACTION	776	mehrere sichtbare Handlungsköpfe in Quellreihenfolge
ORDERED_ACTION	303	Folge-/Fortsetzungssignal vor sichtbarer Handlung
