global_running_event_id	global_statement_id	physical_page	register	owner_de	surface	component_recipe	inherited_action_root	inherited_action_value_de	source
G407-E0003	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	ar	AR	K	GEBEN	SAME_OWNER_ACTIVE_ACTION
G407-E0008	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	y	Y	S	WÄHLEN	SAME_OWNER_ACTIVE_ACTION
G407-E0013	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	or	OR	K	GEBEN	SAME_OWNER_ACTIVE_ACTION
G407-E0014	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	y	Y	K	GEBEN	SAME_OWNER_ACTIVE_ACTION
G407-E0021	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	dan	AIN	T	EINSTELLEN	SAME_OWNER_ACTIVE_ACTION
G407-E0024	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	or	OR	K	GEBEN	SAME_OWNER_ACTIVE_ACTION
G407-E0029	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	daraiin	D_ADDR+AR+AIIN	S	WÄHLEN	SAME_OWNER_ACTIVE_ACTION
G407-E0030	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	sy	Y	S	WÄHLEN	SAME_OWNER_ACTIVE_ACTION
G407-E0032	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	oteey	OT+EE+Y	S	WÄHLEN	SAME_OWNER_ACTIVE_ACTION
G407-E0033	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	oteos	OT+E+O+S_ADDR	S	WÄHLEN	SAME_OWNER_ACTIVE_ACTION
G407-E0036	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	daiin	AIIN	T	EINSTELLEN	SAME_OWNER_ACTIVE_ACTION
G407-E0038	G407-S001	f1r	SOURCE_SECTION_T	F1R_TEXT_BLOCK_A	or	OR	OK	SETZEN	SAME_OWNER_ACTIVE_ACTION
