teaching_unit_id	layer	recognition_forms	old_spoken_value_de	new_spoken_value_de	old_context_value_de	new_context_value_de	reason
R-Y	A_COMMON_PRODUCTIVE_ROOT	Y	DIES	POSTEN	DIES	dieser Pflanzen-/Drogenposten | dieser Stationsposten | dieser Himmels-/Ringposten	PASS984_ROOT_DICTIONARY_IS_AUTHORITATIVE
R-OK	A_COMMON_PRODUCTIVE_ROOT	OK	SETZEN	SETZEN	SETZEN	im Ansatz ansetzen | an der Station ansetzen | Posten aktivieren	PASS984_ROOT_DICTIONARY_IS_AUTHORITATIVE
R-E	A_COMMON_PRODUCTIVE_ROOT	E	KURZ	KURZ	KURZ	kurz einwirken lassen | kurz halten | erster Grad	PASS984_ROOT_DICTIONARY_IS_AUTHORITATIVE
R-DY	A_COMMON_PRODUCTIVE_ROOT	DY	SCHLIESSEN	SCHLUSS	SCHLIESSEN	Teilansatz abschließen | Stationszelle schließen | Eintrag schließen	PASS984_ROOT_DICTIONARY_IS_AUTHORITATIVE
R-O	A_COMMON_PRODUCTIVE_ROOT	O	AUSFÜHREN	AUSFÜHREN	AUSFÜHREN	den Arbeitsschritt ausführen | Stationshandlung ausführen | eingetragene Operation ausführen	PASS984_ROOT_DICTIONARY_IS_AUTHORITATIVE
R-OL	A_COMMON_PRODUCTIVE_ROOT	OL	FORTSETZEN	FORTSETZEN	FORTSETZEN	denselben Ansatz fortführen | im selben Lauf fortfahren | in derselben Reihe fortfahren	PASS984_ROOT_DICTIONARY_IS_AUTHORITATIVE
R-EE	A_COMMON_PRODUCTIVE_ROOT	EE	LÄNGER	LÄNGER	LÄNGER	länger halten oder ziehen lassen | länger halten | zweiter/längerer Grad	PASS984_ROOT_DICTIONARY_IS_AUTHORITATIVE
R-OT	A_COMMON_PRODUCTIVE_ROOT	OT	DANACH	DANACH	DANACH	den nächsten Teilgang nehmen | zur nächsten Station | nächster Platz	PASS984_ROOT_DICTIONARY_IS_AUTHORITATIVE
R-AL	A_COMMON_PRODUCTIVE_ROOT	AL	ZIEL	ZIEL	ZIEL	in das Zielgefäß oder an die Gebrauchsstelle | zur Ziel-/Aufnahmestelle | Zielplatz	PASS984_ROOT_DICTIONARY_IS_AUTHORITATIVE
R-CH	A_COMMON_PRODUCTIVE_ROOT	CH	NEHMEN	NEHMEN	NEHMEN	vom bezeichneten Pflanzenteil entnehmen | aus Becken oder Vorrat entnehmen | Eintrag entnehmen/wählen	PASS984_ROOT_DICTIONARY_IS_AUTHORITATIVE
R-D_ADDR	A_COMMON_PRODUCTIVE_ROOT	D_ADDR	TEIL	TEIL	TEIL	Wurzel-, Blatt-, Blüten- oder Fruchtteil | Teilbecken oder Arbeitsanteil | Unterplatz	PASS984_ROOT_DICTIONARY_IS_AUTHORITATIVE
R-SH	A_COMMON_PRODUCTIVE_ROOT	SH	HALTEN	HALTEN	HALTEN	halten, ziehen oder stehen lassen | an der Station halten | Posten festhalten	PASS984_ROOT_DICTIONARY_IS_AUTHORITATIVE
R-AR	A_COMMON_PRODUCTIVE_ROOT	AR	QUELLE	QUELLE	QUELLE	aus Wurzelstock oder Vorrat | von Ausgangs-/Entnahmestelle | Quellplatz	PASS984_ROOT_DICTIONARY_IS_AUTHORITATIVE
R-K	A_COMMON_PRODUCTIVE_ROOT	K	GEBEN	GEBEN	GEBEN	dem Ansatz zugeben | in die Station geben | Wert zuordnen	PASS984_ROOT_DICTIONARY_IS_AUTHORITATIVE
R-AIIN	A_COMMON_PRODUCTIVE_ROOT	AIIN	SOLLWERT	SOLLWERT	SOLLWERT	die vorgeschriebene Menge | die vorgeschriebene Stationsmenge | eingetragener Wert	PASS984_ROOT_DICTIONARY_IS_AUTHORITATIVE
R-S	A_COMMON_PRODUCTIVE_ROOT	S	AUSWÄHLEN	AUSWÄHLEN	AUSWÄHLEN	den bezeichneten Drogenposten wählen | sichtbare Station wählen | Ring-/Sternplatz wählen	PASS984_ROOT_DICTIONARY_IS_AUTHORITATIVE
R-CHD	A_COMMON_PRODUCTIVE_ROOT	CHD	UMSETZEN	UMSETZEN	UMSETZEN	in ein anderes Gefäß versetzen | zur nächsten Station versetzen | auf anderen Platz übertragen	PASS984_ROOT_DICTIONARY_IS_AUTHORITATIVE
R-OR	A_COMMON_PRODUCTIVE_ROOT	OR	SATZ	ARBEITSSATZ	SATZ	der laufende Ansatz | laufende Stationskonfiguration | Eintragsklasse	PASS984_ROOT_DICTIONARY_IS_AUTHORITATIVE
R-L	A_COMMON_PRODUCTIVE_ROOT	L	LEITEN	LEITEN	LEITEN	gießen, abführen oder durchleiten | über den sichtbaren Weg leiten | zu verbundenem Platz führen	PASS984_ROOT_DICTIONARY_IS_AUTHORITATIVE
