master_card_id	master_form	registered_surfaces	event_count	observed_surfaces	canonical_exact	five_rule_exact	net_exact_match_change	triggered_rules	residual_events
MC001	chdal	chdal	1	chdal	1	1	0	NONE	0
MC002	okeey	okeey|qokeey	7	okeey|qokeey	1	3	2	R1	4
MC003	sheedy	sheedy	1	sheedy	1	1	0	NONE	0
MC004	ldy	ldy	2	ldy	2	2	0	NONE	0
MC005	okchedy	okchedy|qokchedy	2	okchedy|qokchedy	1	1	0	NONE	1
MC006	chokcheo	chokcheo	1	chokcheo	1	1	0	NONE	0
MC007	okey	okey|qokey	2	okey|qokey	1	2	1	R1	0
MC008	lchy	lchy	1	lchy	1	1	0	NONE	0
MC009	chary	chary	1	chary	1	1	0	NONE	0
MC010	chodaly	chodaly	1	chodaly	1	1	0	NONE	0
MC011	lchedar	lchedar	1	lchedar	1	1	0	NONE	0
MC012	dl	dl	2	dl	2	2	0	NONE	0
MC013	otchor	otchor|qotchor	2	otchor|qotchor	1	2	1	R1	0
MC014	chair	chair	1	chair	1	1	0	NONE	0
MC015	qokokchy	qokokchy	1	qokokchy	1	1	0	NONE	0
MC016	rol	rol	1	rol	1	1	0	NONE	0
MC017	okain	okain|qokain	7	okain|qokain	3	3	0	NONE	4
MC018	qotedaiin	qotedaiin	1	qotedaiin	1	1	0	NONE	0
MC019	oldy	oldy	2	oldy	2	2	0	NONE	0
MC020	solkeey	solkeey	1	solkeey	1	1	0	NONE	0
MC021	oltchy	oltchy	1	oltchy	1	1	0	NONE	0
MC022	chckhal	chckhal	1	chckhal	1	1	0	NONE	0
MC023	kair	kair	1	kair	1	1	0	NONE	0
MC024	qokol	qokol	1	qokol	1	1	0	NONE	0
MC025	dchedy	dchedy|schedy|tchedy	4	dchedy|schedy|tchedy	1	2	1	R5	2
MC026	choky	choky|oky|qoky	10	choky|oky|qoky	2	2	0	NONE	8
MC027	oykchor	oykchor	1	oykchor	1	1	0	NONE	0
MC028	olchedy	olchedy|qolchedy	3	olchedy|qolchedy	1	1	0	NONE	2
MC029	lar	lar	1	lar	1	1	0	NONE	0
MC030	lo	lo	1	lo	1	1	0	NONE	0
MC031	dalchdy	dalchdy	1	dalchdy	1	1	0	NONE	0
MC032	cheeky	cheeky	2	cheeky	2	2	0	NONE	0
MC033	oiiin	oiiin|soiiin	2	oiiin|soiiin	1	1	0	NONE	1
MC034	cho	cho|sho	4	cho|sho	2	2	0	NONE	2
MC035	chckhy	chckhy|shckhy	4	chckhy|shckhy	3	3	0	NONE	1
MC036	solkaiin	solkaiin	1	solkaiin	1	1	0	NONE	0
MC037	tchody	tchody	1	tchody	1	1	0	NONE	0
MC038	lshedy	lshedy	2	lshedy	2	2	0	NONE	0
MC039	aiin	aiin|chaiin|daiin|saiin|taiin	20	aiin|chaiin|daiin|saiin|taiin	3	10	7	R2	10
MC040	okal	okal|qokal	6	okal|qokal	2	2	0	NONE	4
