residual_rank	canonical_to_observed	canonical_surface	observed_surface	position_class	rule_applied	event_count	card_count	cards	pages	events
1	cheol>ol	cheol	ol	MEDIAL	DEFAULT_KEEP	7	1	MC153	f81v|f83r	E106|E110|E114|E124|E133|E135|E378
2	chdy>chedy	chdy	chedy	MEDIAL	DEFAULT_KEEP	6	1	MC074	f55v|f83r	E062|E244|E252|E287|E304|E328
3	okaiin>qokaiin	okaiin	qokaiin	INITIAL	DEFAULT_KEEP	6	1	MC120	f55v|f82r|f83r	E056|E181|E236|E243|E256|E270
4	chey>dy	chey	dy	MEDIAL	DEFAULT_KEEP	4	1	MC123	f10r|f11r|f82r	E020|E037|E050|E170
5	aiin>saiin	aiin	saiin	INITIAL	DEFAULT_KEEP	3	1	MC039	f83r	E274|E332|E338
6	chdy>chedy	chdy	chedy	INITIAL	DEFAULT_KEEP	3	1	MC074	f81v|f83r	E123|E145|E319
7	cheol>chol	cheol	chol	MEDIAL	DEFAULT_KEEP	3	1	MC153	f10r	E013|E027|E029
8	cheol>sol	cheol	sol	INITIAL	DEFAULT_KEEP	3	1	MC153	f83r	E295|E343|E370
9	chey>chy	chey	chy	MEDIAL	DEFAULT_KEEP	3	1	MC123	f10r|f11r	E021|E035|E048
10	choky>qoky	choky	qoky	MEDIAL	DEFAULT_KEEP	3	1	MC026	f82r|f83r	E195|E251|E323
11	okain>qokain	okain	qokain	INITIAL	DEFAULT_KEEP	3	1	MC017	f81v|f82r|f83r	E127|E169|E352
12	okeey>qokeey	okeey	qokeey	INITIAL	DEFAULT_KEEP	3	1	MC002	f82r|f83r	E175|E194|E293
13	aiin>daiin	aiin	daiin	INITIAL	DEFAULT_KEEP	2	1	MC039	f55v|f83r	E061|E377
14	al>dal	al	dal	FINAL	DEFAULT_KEEP	2	1	MC154	f56r|f83r	E082|E359
15	al>dal	al	dal	INITIAL	DEFAULT_KEEP	2	1	MC154	f83r	E268|E365
16	char>dar	char	dar	FINAL	DEFAULT_KEEP	2	1	MC055	f10r|f83r	E031|E238
17	checthy>cthy	checthy	cthy	MEDIAL	DEFAULT_KEEP	2	1	MC161	f10r|f11r	E016|E054
18	checthy>shcthy	checthy	shcthy	MEDIAL	DEFAULT_KEEP	2	1	MC161	f83r	E271|E279
19	cheedy>shedy	cheedy	shedy	ONLY	DEFAULT_KEEP	2	1	MC128	f83r	E266|E336
20	cheey>shey	cheey	shey	MEDIAL	DEFAULT_KEEP	2	1	MC119	f11r|f83r	E044|E353
21	cheol>qol	cheol	qol	MEDIAL	DEFAULT_KEEP	2	1	MC153	f81v	E148|E154
22	chkain>kain	chkain	kain	MEDIAL	DEFAULT_KEEP	2	1	MC105	f81v|f83r	E107|E354
23	cho>sho	cho	sho	INITIAL	DEFAULT_KEEP	2	1	MC034	f56r	E078|E094
24	choky>qoky	choky	qoky	FINAL	DEFAULT_KEEP	2	1	MC026	f81v|f82r	E140|E188
25	okal>qokal	okal	qokal	INITIAL	DEFAULT_KEEP	2	1	MC040	f81v|f82r	E152|E172
26	okal>qokal	okal	qokal	MEDIAL	DEFAULT_KEEP	2	1	MC040	f82r|f83r	E186|E241
27	olchedy>qolchedy	olchedy	qolchedy	ONLY	DEFAULT_KEEP	2	1	MC028	f81v|f82r	E126|E168
28	aiin>aiin	aiin	aiin	FINAL	R2	1	1	MC039	f83r	E369
29	aiin>aiin	aiin	aiin	MEDIAL	R2	1	1	MC039	f82r	E217
30	aiin>chaiin	aiin	chaiin	MEDIAL	R2	1	1	MC039	f55v	E057
31	aiin>saiin	aiin	saiin	FINAL	R2	1	1	MC039	f83r	E299
32	aiin>taiin	aiin	taiin	MEDIAL	R2	1	1	MC039	f10r	E022
33	al>chal	al	chal	ONLY	DEFAULT_KEEP	1	1	MC154	f81v	E166
34	al>cheal	al	cheal	INITIAL	DEFAULT_KEEP	1	1	MC154	f82r	E214
35	al>dal	al	dal	MEDIAL	R3	1	1	MC154	f83r	E272
36	al>sal	al	sal	INITIAL	DEFAULT_KEEP	1	1	MC154	f81v	E156
37	al>tal	al	tal	MEDIAL	R3	1	1	MC154	f83r	E278
38	char>sar	char	sar	MEDIAL	DEFAULT_KEEP	1	1	MC055	f81v	E105
39	chckhy>shckhy	chckhy	shckhy	MEDIAL	DEFAULT_KEEP	1	1	MC035	f81v	E128
40	chdy>chedy	chdy	chedy	FINAL	DEFAULT_KEEP	1	1	MC074	f83r	E372
41	checthy>cthy	checthy	cthy	FINAL	DEFAULT_KEEP	1	1	MC161	f10r	E014
42	cheedy>cheedy	cheedy	cheedy	FINAL	R5	1	1	MC128	f81v	E155
43	cheedy>tedy	cheedy	tedy	ONLY	DEFAULT_KEEP	1	1	MC128	f81v	E163
44	cheol>qol	cheol	qol	ONLY	DEFAULT_KEEP	1	1	MC153	f81v	E121
45	cheol>tol	cheol	tol	MEDIAL	DEFAULT_KEEP	1	1	MC153	f83r	E324
46	chety>chty	chety	chty	MEDIAL	DEFAULT_KEEP	1	1	MC086	f10r	E004
47	chey>dy	chey	dy	FINAL	DEFAULT_KEEP	1	1	MC123	f11r	E055
