event_id	statement_id	record_unit_id	page	field_id	field_position	field_size	position_class	master_card_id	portable_value_de	canonical_surface	observed_surface	rule_applied	predicted_surface	canonical_matches	profile_matches	predicted_surface_registered
E001	H1-S001	H1	f10r	F001	1	10	INITIAL	MC071	Grundteil	dchey	dchey	DEFAULT_KEEP	dchey	YES	YES	YES
E002	H1-S001	H1	f10r	F001	2	10	MEDIAL	MC158	Vorbereitung	cthoor	cthoor	DEFAULT_KEEP	cthoor	YES	YES	YES
E003	H1-S001	H1	f10r	F001	3	10	MEDIAL	MC055	davon	char	char	DEFAULT_KEEP	char	YES	YES	YES
E004	H1-S001	H1	f10r	F001	4	10	MEDIAL	MC086	Anteil	chety	chty	DEFAULT_KEEP	chety	NO	NO	YES
E005	H1-S001	H1	f10r	F001	5	10	MEDIAL	MC159	Aufnahmegefäß	os	os	DEFAULT_KEEP	os	YES	YES	YES
E006	H1-S001	H1	f10r	F001	6	10	MEDIAL	MC014	Zuguss	chair	chair	DEFAULT_KEEP	chair	YES	YES	YES
E007	H1-S001	H1	f10r	F001	7	10	MEDIAL	MC069	Folgeteil	otytchol	otytchol	DEFAULT_KEEP	otytchol	YES	YES	YES
E008	H1-S001	H1	f10r	F001	8	10	MEDIAL	MC026	einsetzen	choky	oky	DEFAULT_KEEP	choky	NO	NO	YES
E009	H1-S001	H1	f10r	F001	9	10	MEDIAL	MC039	Sollmaß	aiin	daiin	R2	daiin	NO	YES	YES
E010	H1-S001	H1	f10r	F001	10	10	FINAL	MC108	Kurzteil	etyd	etyd	DEFAULT_KEEP	etyd	YES	YES	YES
E011	H1-S002	H1	f10r	F002	1	4	INITIAL	MC103	weiterbearbeiten	chokchy	qokchy	DEFAULT_KEEP	chokchy	NO	NO	YES
E012	H1-S002	H1	f10r	F002	2	4	MEDIAL	MC163	Weitergang	qotchol	qotchol	DEFAULT_KEEP	qotchol	YES	YES	YES
E013	H1-S002	H1	f10r	F002	3	4	MEDIAL	MC153	weiter	cheol	chol	DEFAULT_KEEP	cheol	NO	NO	YES
E014	H1-S002	H1	f10r	F002	4	4	FINAL	MC161	bereit	checthy	cthy	DEFAULT_KEEP	checthy	NO	NO	YES
E015	H2-S001	H2	f10r	F003	1	9	INITIAL	MC075	Auszugsansatz	ycheor	ycheor	DEFAULT_KEEP	ycheor	YES	YES	YES
E016	H2-S001	H2	f10r	F003	2	9	MEDIAL	MC161	bereit	checthy	cthy	DEFAULT_KEEP	checthy	NO	NO	YES
E017	H2-S001	H2	f10r	F003	3	9	MEDIAL	MC080	Ansatz	chor	chor	DEFAULT_KEEP	chor	YES	YES	YES
E018	H2-S001	H2	f10r	F003	4	9	MEDIAL	MC169	Sollvorbereitung	cthaiin	cthaiin	DEFAULT_KEEP	cthaiin	YES	YES	YES
E019	H2-S001	H2	f10r	F003	5	9	MEDIAL	MC115	Folgeposten	qoctholy	qoctholy	DEFAULT_KEEP	qoctholy	YES	YES	YES
E020	H2-S001	H2	f10r	F003	6	9	MEDIAL	MC123	dies	chey	dy	DEFAULT_KEEP	chey	NO	NO	YES
E021	H2-S001	H2	f10r	F003	7	9	MEDIAL	MC123	dies	chey	chy	DEFAULT_KEEP	chey	NO	NO	YES
E022	H2-S001	H2	f10r	F003	8	9	MEDIAL	MC039	Sollmaß	aiin	taiin	R2	daiin	NO	NO	YES
E023	H2-S001	H2	f10r	F003	9	9	FINAL	MC123	dies	chey	shy	DEFAULT_KEEP	chey	NO	NO	YES
