shell	qualifier	ar_surface	ar_occurrences	ar_pages	ar_reader_exact	ar_split_normalized	ar_status	or_surface	or_occurrences	or_pages	or_reader_exact	or_split_normalized	or_status
BARE	UNQUALIFIED	ar	321	90	242	242	ACCEPTED_V31	or	321	114	235	235	ACCEPTED_V31
BARE	K	kar	57	42	42	42	ACCEPTED_V31	kor	20	20	13	13	ACCEPTED_V31
BARE	T	tar	40	33	33	33	ACCEPTED_V31	tor	17	17	12	12	ACCEPTED_V31
BARE	CH	char	75	51	55	55	OBSERVED_HOLD	chor	190	97	176	176	V30_ANCHOR
BARE	SH	shar	29	25	24	24	OBSERVED_HOLD	shor	91	62	77	79	V30_ANCHOR
BARE	K_CH	kchar	1	1	1	1	OBSERVED_HOLD	kchor	19	19	18	18	OBSERVED_HOLD
BARE	K_SH	kshar	2	2	1	1	OBSERVED_HOLD	kshor	2	2	2	2	OBSERVED_HOLD
BARE	T_CH	tchar	4	4	4	4	OBSERVED_HOLD	tchor	21	18	17	17	OBSERVED_HOLD
BARE	T_SH	tshar	1	1	1	1	OBSERVED_HOLD	tshor	3	3	2	2	OBSERVED_HOLD
O	UNQUALIFIED	oar	10	9	9	9	ACCEPTED_V31	oor	2	2	2	2	ACCEPTED_V31
O	K	okar	119	55	91	93	ACCEPTED_V31	okor	24	20	16	16	ACCEPTED_V31
O	T	otar	123	58	110	110	ACCEPTED_V31	otor	33	29	24	24	ACCEPTED_V31
O	CH	ochar	1	1	1	1	OBSERVED_HOLD	ochor	5	5	5	5	OBSERVED_HOLD
O	SH	oshar	1	1	0	0	OBSERVED_HOLD	oshor	1	1	1	1	OBSERVED_HOLD
O	K_CH	okchar	4	4	4	4	OBSERVED_HOLD	okchor	15	13	12	12	OBSERVED_HOLD
O	K_SH	okshar	0	0	0	0	ABSENT_HOLD	okshor	1	1	1	1	OBSERVED_HOLD
O	T_CH	otchar	6	5	6	6	OBSERVED_HOLD	otchor	16	14	16	16	V30_ANCHOR
O	T_SH	otshar	0	0	0	0	ABSENT_HOLD	otshor	1	1	1	1	OBSERVED_HOLD
QO	UNQUALIFIED	qoar	7	7	7	7	ACCEPTED_V31	qoor	6	6	5	5	ACCEPTED_V31
QO	K	qokar	153	62	132	132	ACCEPTED_V31	qokor	29	25	21	21	ACCEPTED_V31
QO	T	qotar	61	36	53	53	ACCEPTED_V31	qotor	26	22	22	22	V30_ANCHOR
QO	CH	qochar	1	1	1	1	OBSERVED_HOLD	qochor	0	0	0	0	ABSENT_HOLD
QO	SH	qoshar	0	0	0	0	ABSENT_HOLD	qoshor	0	0	0	0	ABSENT_HOLD
QO	K_CH	qokchar	1	1	1	1	OBSERVED_HOLD	qokchor	8	7	7	8	OBSERVED_HOLD
QO	K_SH	qokshar	0	0	0	0	ABSENT_HOLD	qokshor	0	0	0	0	ABSENT_HOLD
QO	T_CH	qotchar	3	3	2	2	OBSERVED_HOLD	qotchor	11	10	11	11	V30_ANCHOR
QO	T_SH	qotshar	0	0	0	0	ABSENT_HOLD	qotshor	0	0	0	0	ABSENT_HOLD
