family	surface	decomposition	role	v30_meaning_de	v31_meaning_de	zl3b_occurrences	pages	reader_exact_occurrences	split_normalized_occurrences	final_status
AR_LADDER	ar	AR	TARGET	OPEN	Drogenfraktion I	321	90	242	242	ACCEPTED_V31
AR_LADDER	air	A+I+R	SISTER	OPEN	NOT_ASSIGNED	56	35	44	44	OBSERVED_HOLD
AR_LADDER	aiir	A+II+R	SISTER	OPEN	NOT_ASSIGNED	20	14	14	14	OBSERVED_HOLD
AR_LADDER	aiiir	A+III+R	ABSENT	OPEN	NOT_ASSIGNED	0	0	0	0	ABSENT_HOLD
MATERIAL_AR	par	P+AR	ANCHOR	Pulverfraktion I	Pulverfraktion I	6	6	4	4	V30_ANCHOR
MATERIAL_AR	pair	P+AIR	ANCHOR	Pulverfraktion II	Pulverfraktion II	4	3	2	2	V30_ANCHOR
MATERIAL_AR	paiir	P+AIIR	ANCHOR	Pulver: Teil-/Sortierklasse III	Pulver: Teil-/Sortierklasse III	2	2	2	2	V30_ANCHOR
MATERIAL_AR	sar	S+AR	ANCHOR	Samenfraktion I	Samenfraktion I	62	44	45	47	V30_ANCHOR
MATERIAL_AR	sair	S+AIR	ANCHOR	Samenfraktion II	Samenfraktion II	22	17	16	18	V30_ANCHOR
MATERIAL_AR	saiir	S+AIIR	ANCHOR	Samendroge: Teil-/Sortierklasse III	Samendroge: Teil-/Sortierklasse III	1	1	0	0	V30_ANCHOR
MATERIAL_AR	rar	R+AR	ANCHOR	Wurzelfraktion I	Wurzelfraktion I	14	10	11	11	V30_ANCHOR
MATERIAL_AR	rair	R+AIR	ANCHOR	Wurzelfraktion II	Wurzelfraktion II	4	3	3	4	V30_ANCHOR
MATERIAL_AR	raiir	R+AIIR	ANCHOR	Wurzeldroge: Teil-/Sortierklasse III	Wurzeldroge: Teil-/Sortierklasse III	1	1	0	0	V30_ANCHOR
MATERIAL_AR	lar	L+AR	ANCHOR	Holzfraktion I	Holzfraktion I	8	7	5	5	V30_ANCHOR
MATERIAL_AR	lair	L+AIR	ANCHOR	Holzfraktion II	Holzfraktion II	1	1	1	1	V30_ANCHOR
MATERIAL_AR	laiir	L+AIIR	SISTER	OPEN	NOT_ASSIGNED	0	0	0	0	ABSENT_HOLD
MEASURED_AR	dar	D+AR	ANCHOR	abgemessene Fraktion I	abgemessene Fraktion I	245	110	195	195	V30_ANCHOR
MEASURED_AR	dair	D+AIR	ANCHOR	abgemessene Fraktion II	abgemessene Fraktion II	77	59	63	64	V30_ANCHOR
MEASURED_AR	daiir	D+AIIR	ANCHOR	abgemessene Fraktion III	abgemessene Fraktion III	14	14	8	8	V30_ANCHOR
OR_PORTIONS	or	OR	TARGET	Teil-/Nominalträger; genaue Basisbedeutung offen	Drogenportion	321	114	235	235	ACCEPTED_V31
OR_PORTIONS	por	P+OR	ANCHOR	Pulverportion	Pulverportion	7	6	5	5	V30_ANCHOR
OR_PORTIONS	sor	S+OR	ANCHOR	Samenportion	Samenportion	43	37	34	36	V30_ANCHOR
OR_PORTIONS	ror	R+OR	ANCHOR	Wurzelportion	Wurzelportion	12	10	10	10	V30_ANCHOR
OR_PORTIONS	lor	L+OR	ANCHOR	Holzportion	Holzportion	38	28	30	32	V30_ANCHOR
BARE_KT_AR_OR	kar	K+AR	TARGET	OPEN	heiße Drogenfraktion I	57	42	42	42	ACCEPTED_V31
BARE_KT_AR_OR	kor	K+OR	TARGET	OPEN	heiße Drogenportion	20	20	13	13	ACCEPTED_V31
BARE_KT_AR_OR	tar	T+AR	TARGET	OPEN	kalte Drogenfraktion I	40	33	33	33	ACCEPTED_V31
BARE_KT_AR_OR	tor	T+OR	TARGET	OPEN	kalte Drogenportion	17	17	12	12	ACCEPTED_V31
O_KT_AR_OR	oar	O+AR	TARGET	OPEN	Drogenfraktion I im Ansatz	10	9	9	9	ACCEPTED_V31
O_KT_AR_OR	oor	O+OR	TARGET	OPEN	Drogenportion im Ansatz	2	2	2	2	ACCEPTED_V31
O_KT_AR_OR	okar	O+K+AR	TARGET	OPEN	heiße Drogenfraktion I im Ansatz	119	55	91	93	ACCEPTED_V31
O_KT_AR_OR	okor	O+K+OR	TARGET	OPEN	heiße Drogenportion im Ansatz	24	20	16	16	ACCEPTED_V31
O_KT_AR_OR	otar	O+T+AR	TARGET	OPEN	kalte Drogenfraktion I im Ansatz	123	58	110	110	ACCEPTED_V31
O_KT_AR_OR	otor	O+T+OR	TARGET	OPEN	kalte Drogenportion im Ansatz	33	29	24	24	ACCEPTED_V31
QO_KT_AR_OR	qoar	QO+AR	TARGET	OPEN	Drogenfraktion I	7	7	7	7	ACCEPTED_V31
QO_KT_AR_OR	qoor	QO+OR	TARGET	OPEN	Drogenportion	6	6	5	5	ACCEPTED_V31
QO_KT_AR_OR	qokar	QO+K+AR	TARGET	heiße Portion	heiße Drogenfraktion I	153	62	132	132	ACCEPTED_V31
QO_KT_AR_OR	qokor	QO+K+OR	TARGET	OPEN	heiße Drogenportion	29	25	21	21	ACCEPTED_V31
QO_KT_AR_OR	qotar	QO+T+AR	TARGET	OPEN	kalte Drogenfraktion I	61	36	53	53	ACCEPTED_V31
QO_KT_AR_OR	qotor	QO+T+OR	ANCHOR	kalte Drogenportion	kalte Drogenportion	26	22	22	22	V30_ANCHOR
MATERIAL_K_AR_OR	lkar	L+K+AR	ANCHOR	heiße Holzfraktion I	heiße Holzfraktion I	31	21	29	29	V30_ANCHOR
MATERIAL_K_AR_OR	lkor	L+K+OR	TARGET	OPEN	heiße Holzportion	3	3	3	3	ACCEPTED_V31
MATERIAL_K_AR_OR	skar	S+K+AR	ANCHOR	heiße Samenfraktion I	heiße Samenfraktion I	1	1	1	1	V30_ANCHOR
MATERIAL_K_AR_OR	skor	S+K+OR	ABSENT	OPEN	NOT_ASSIGNED	0	0	0	0	ABSENT_HOLD
MATERIAL_K_AR_OR	rkar	R+K+AR	TARGET	OPEN	heiße Wurzelfraktion I	1	1	1	1	ACCEPTED_V31
MATERIAL_K_AR_OR	rkor	R+K+OR	ABSENT	OPEN	NOT_ASSIGNED	0	0	0	0	ABSENT_HOLD
LEARNED_HEAD_COLLISION_HOLD	char	CH+AR_OR_LEARNED	HOLD	OPEN	NOT_ASSIGNED	75	51	55	55	OBSERVED_HOLD
LEARNED_HEAD_COLLISION_HOLD	chor	CHOR_LEARNED_OR_CH+OR	HOLD	Pflanzen-/Reproduktionsteil	Pflanzen-/Reproduktionsteil	190	97	176	176	V30_ANCHOR
LEARNED_HEAD_COLLISION_HOLD	shar	SH+AR_OR_LEARNED	HOLD	OPEN	NOT_ASSIGNED	29	25	24	24	OBSERVED_HOLD
LEARNED_HEAD_COLLISION_HOLD	shor	SHOR_LEARNED_OR_SH+OR	HOLD	Blüten-/Fruchtstand; reproduktiver Teil	Blüten-/Fruchtstand; reproduktiver Teil	91	62	77	79	V30_ANCHOR
