page	locus	strict_complete	target_surfaces	zl3b_line	tokenwise_v31_de	curated_workshop_reading_de	syntax_note	reader_note
f37r	f37r.7	1	kor|qokor	sor chey kor qokor daiin	Samenportion | trocken in der Mitte des Grades | heiße Drogenportion | heiße Drogenportion | Menge/Portion III	Samenportion; in der Gradmitte trocken; heiße Drogenportion; anschließend dieselbe Portionsklasse im QO-Rahmen; Menge/Portion III.	QUALITIES_READ_AS_ORDERED_REGISTER_SEQUENCE__NOT_SIMULTANEOUS	ZL3b/IT2a/RF1b exact
f81v	f81v.5	0	kar|okar	okaiin daiin otain chckhy okeedy qoky kar daiin okar	heiß, Grad III, im Ansatzrahmen | Grad-/Maßwert III | kalt im Zubereitungsrahmen, Grad II | Arzneikompositum: trocken, Gradanfang | heißer Ansatz am Ende des Grades, abgeschlossen | heiß am Anfang des Grades | heiße Drogenfraktion I | Grad-/Maßwert III | heiße Drogenfraktion I im Ansatz	Im Ansatz heiß, Grad III; Grad-/Maßwert III; kalt im Zubereitungsrahmen, Grad II; trockenes Arzneikompositum am Gradanfang; abgeschlossener heißer Ansatz am Gradende; heiß am Gradanfang; heiße Drogenfraktion I; erneut Grad-/Maßwert III; heiße Drogenfraktion I im Ansatz.	QUALITIES_READ_AS_ORDERED_REGISTER_SEQUENCE__NOT_SIMULTANEOUS	ZL3b/IT2a line exact; RF1b segments edge forms differently but KAR and OKAR remain stable
f86v6	f86v6.35	0	otar|okar	sar aiin otar cheody qotaiin qokaiin ol tey qokaiin okar ol	Samenfraktion I | Menge III | kalte Drogenfraktion I im Ansatz | getrockneter Ansatz | kalt, Grad III | heiß, Grad III | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | kalt in der Mitte des Grades | heiß, Grad III | heiße Drogenfraktion I im Ansatz | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz	Samenfraktion I, Menge III; kalte Drogenfraktion I im Ansatz; getrockneter Ansatz; kalt Grad III; heiß Grad III; Gut/Ansatz; kalt in der Gradmitte; erneut heiß Grad III; heiße Drogenfraktion I im Ansatz; erneut Gut/Ansatz.	QUALITIES_READ_AS_ORDERED_REGISTER_SEQUENCE__NOT_SIMULTANEOUS	IT2a reads final OTAR rather than ZL3b/RF1b OKAR; final hot/cold value is reader-unstable
f99v	f99v.3	0	otor	otor chy	kalte Drogenportion im Ansatz | trocken am Anfang des Grades	Kalte Drogenportion im Ansatz; am Gradanfang trocken.	QUALITIES_READ_AS_ORDERED_REGISTER_SEQUENCE__NOT_SIMULTANEOUS	RF1b reads OTAR rather than ZL3b/IT2a OTOR; fraction versus portion is reader-unstable
f89v1	f89v1.12	0	qokar	qokar odaiin	heiße Drogenfraktion I | Zubereitungsdosis III	Heiße Drogenfraktion I, Zubereitungsdosis III.	QUALITIES_READ_AS_ORDERED_REGISTER_SEQUENCE__NOT_SIMULTANEOUS	see line-level cross-reader fields in source audit
f20v	f20v.4	0	or	sho or aiin shol daiin	feuchter Ansatz | Drogenportion | Menge III | feucht; nominal feuchtes Gut/Material | Qualitätsgrad III	Feuchtansatz: eine Drogenportion, Menge III; feuchtes Gut, Qualitätsgrad III.	QUALITIES_READ_AS_ORDERED_REGISTER_SEQUENCE__NOT_SIMULTANEOUS	see line-level cross-reader fields in source audit
f6r	f6r.12	1	or	or shol cthom chor cthy	Drogenportion | feucht; nominal feuchtes Gut/Material | eine Handvoll Blatt- oder Krautansatz | Pflanzen-/Reproduktionsteil | CTH-Drogenmaterial	Eine Drogenportion feuchten Guts; eine Handvoll Blatt-/Krautansatz; Pflanzen-/Reproduktionsteil; CTH-Drogenmaterial.	QUALITIES_READ_AS_ORDERED_REGISTER_SEQUENCE__NOT_SIMULTANEOUS	see line-level cross-reader fields in source audit
f103r	f103r.17	0	or	sar shey qokey keedy qokeey chckhy qokal oty or aiin	Samenfraktion I | feucht in der Mitte des Grades | heiß in der Mitte des Grades | heiß am Ende des Grades, abgeschlossen | heiß am Ende des Grades | Arzneikompositum: trocken, Gradanfang | heiße Substanz | kalter Ansatz am Anfang des Grades | Drogenportion | Menge III	Samenfraktion I: feucht und heiß in der Gradmitte; am Gradende heiß abgeschlossen, danach weiter heiß; trockenes Arzneikompositum am Gradanfang; heiße Substanz; kalter Ansatz am Gradanfang; eine Drogenportion, Menge III.	QUALITIES_READ_AS_ORDERED_REGISTER_SEQUENCE__NOT_SIMULTANEOUS	see line-level cross-reader fields in source audit
f80r	f80r.43	1	qokar	sor sheckhy qokar checkhy okain sheckhy qokeey ly	Samenportion | feuchtes Arzneikompositum am Gradanfang | heiße Drogenfraktion I | trockenes Arzneikompositum am Gradanfang | heiß im Zubereitungsrahmen, Grad II | feuchtes Arzneikompositum am Gradanfang | heiß am Ende des Grades | rohes Drogenholz	Samenportion; feuchtes Arzneikompositum am Gradanfang; heiße Drogenfraktion I; trockenes Arzneikompositum am Gradanfang; im Ansatz heiß, Grad II; erneut feuchtes Arzneikompositum am Gradanfang; heiß bis Gradende; rohes Drogenholz.	QUALITIES_READ_AS_ORDERED_REGISTER_SEQUENCE__NOT_SIMULTANEOUS	see line-level cross-reader fields in source audit
f82v	f82v.36	0	qokar	saiin shey qokeedy qokar sheecthey qokaiin daltedy rcheald	Samen/Saatgut, Typ/Charge III | feucht in der Mitte des Grades | heiß am Ende des Grades, abgeschlossen | heiße Drogenfraktion I | feuchtes CTH-Drogenmaterial, Form I, mit erweiterter Bindungsstufe II | heiß, Grad III | abgekühltes Material | getrockneter Wurzelstoff	Samencharge III: feucht in der Gradmitte; am Gradende heiß abgeschlossen; heiße Drogenfraktion I; feuchtes CTH-Drogenmaterial, Form I, Bindungsstufe II; heiß, Grad III; abgekühltes Material; getrockneter Wurzelstoff.	QUALITIES_READ_AS_ORDERED_REGISTER_SEQUENCE__NOT_SIMULTANEOUS	see line-level cross-reader fields in source audit
f77r	f77r.19	1	qokar	qokeedy lchey lsheey qokeedy qokeedy qokar qokeey laiin chey	heiß am Ende des Grades, abgeschlossen | Drogenholz, trocken gebunden, Form I | eingeweichtes Drogenholz, Form II | heiß am Ende des Grades, abgeschlossen | heiß am Ende des Grades, abgeschlossen | heiße Drogenfraktion I | heiß am Ende des Grades | Drogenholz, Typ/Charge III | trocken in der Mitte des Grades	Am Gradende heiß abgeschlossen; Drogenholz, trocken gebunden, Form I; eingeweichtes Drogenholz, Form II; zweimal am Gradende heiß abgeschlossen; heiße Drogenfraktion I; am Gradende heiß; Drogenholz, Charge III; trocken in der Gradmitte.	QUALITIES_READ_AS_ORDERED_REGISTER_SEQUENCE__NOT_SIMULTANEOUS	see line-level cross-reader fields in source audit
f80r	f80r.18	0	qokar	paiin sheol qokain chety qokeedy qokar shcthy qotol shecthy qokain olkam	Pulver, Typ/Charge III | feuchtes Material | heiß, Grad II | trocken-kalte gebundene Form | heiß am Ende des Grades, abgeschlossen | heiße Drogenfraktion I | feuchte CTH-Materialform; im Herbal feuchtes Blatt-/Krautgut | kaltes Material | feuchtes CTH-Drogenmaterial; im Herbal feuchtes Blatt-/Krautgut | heiß, Grad II | heißes Material [terminal-M]	Pulvercharge III; feuchtes Material; heiß, Grad II; trocken-kalt gebundene Form; am Gradende heiß abgeschlossen; heiße Drogenfraktion I; feuchte CTH-Materialform; kaltes Material; feuchtes CTH-Drogenmaterial; heiß, Grad II; heißes Material.	QUALITIES_READ_AS_ORDERED_REGISTER_SEQUENCE__NOT_SIMULTANEOUS	see line-level cross-reader fields in source audit
f35r	f35r.5	0	or	otchor sho tcheey scheey daiin dain or	kalt-trockene Drogenportion im Ansatz | feuchter Ansatz | kalt und trocken am Ende des Grades | Samen/Saatgut, trocken gebunden, Form II | Grad-/Maßwert III | Grad-/Maßwert II | Drogenportion	Kalt-trockene Drogenportion im Ansatz; Feuchtansatz; kalt und trocken am Gradende; Saatgut, trocken gebunden, Form II; Gradwerte III und II; eine Drogenportion.	QUALITIES_READ_AS_ORDERED_REGISTER_SEQUENCE__NOT_SIMULTANEOUS	see line-level cross-reader fields in source audit
f76r	f76r.56	0	or	qokaiin ol shedy qokeey or shdy	heiß, Grad III | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | feucht in der Mitte des Grades, abgeschlossen | heiß am Ende des Grades | Drogenportion | feucht am Anfang des Grades, abgeschlossen	Heiß, Grad III; Drogengut; in der Gradmitte feucht abgeschlossen; am Gradende heiß; eine Drogenportion; am Gradanfang feucht abgeschlossen.	QUALITIES_READ_AS_ORDERED_REGISTER_SEQUENCE__NOT_SIMULTANEOUS	see line-level cross-reader fields in source audit
