page	locus	target_surfaces	zl3b_line	v30_tokenwise_de	v31_tokenwise_de	complete_v31
f100v	f100v.14	ar	deey sheocphy qoteody ckhoor ar chor oteey daiin qokomo	[deey:?] | [sheocphy:?] | [qoteody:?] | [ckhoor:?] | [ar:?] | Pflanzen-/Reproduktionsteil | kalter Ansatz am Ende des Grades | Grad-/Maßwert III | [qokomo:?]	[deey:?] | [sheocphy:?] | [qoteody:?] | [ckhoor:?] | Drogenfraktion I | Pflanzen-/Reproduktionsteil | kalter Ansatz am Ende des Grades | Grad-/Maßwert III | [qokomo:?]	False
f100v	f100v.21	okor|okar	soral okor ol choy ly araroy okar cheeeal cheokeol orey	Samen-Rohstoffportion | [okor:?] | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | [choy:?] | rohes Drogenholz | [araroy:?] | [okar:?] | [cheeeal:?] | [cheokeol:?] | [orey:?]	Samen-Rohstoffportion | heiße Drogenportion im Ansatz | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | [choy:?] | rohes Drogenholz | [araroy:?] | heiße Drogenfraktion I im Ansatz | [cheeeal:?] | [cheokeol:?] | [orey:?]	False
f102r1	f102r1.14	or	doeey keeol qokeo daor shey qoteol okol chos s or oeeaiin	[doeey:?] | [keeol:?] | [qokeo:?] | [daor:?] | feucht in der Mitte des Grades | [qoteol:?] | [okol:?] | [chos:?] | [s:?] | Teil-/Nominalträger; genaue Basisbedeutung offen | [oeeaiin:?]	[doeey:?] | [keeol:?] | [qokeo:?] | [daor:?] | feucht in der Mitte des Grades | [qoteol:?] | [okol:?] | [chos:?] | [s:?] | Drogenportion | [oeeaiin:?]	False
f102r1	f102r1.15	or	or chol daiin dykeor sheey qokeody dor os ykeeykam	Teil-/Nominalträger; genaue Basisbedeutung offen | trocken; nominal trockenes Gut/Material | Qualitätsgrad III | [dykeor:?] | feucht am Ende des Grades | [qokeody:?] | [dor:?] | [os:?] | [ykeeykam:?]	Drogenportion | trocken; nominal trockenes Gut/Material | Qualitätsgrad III | [dykeor:?] | feucht am Ende des Grades | [qokeody:?] | [dor:?] | [os:?] | [ykeeykam:?]	False
f102v1	f102v1.10	kor	kochor ol ydaiin choraiin sheey ykeey kor shey qokey dy	[kochor:?] | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | [ydaiin:?] | Blüten-/Pflanzenteil, Menge/Klasse III | feucht am Ende des Grades | [ykeey:?] | [kor:?] | feucht in der Mitte des Grades | heiß in der Mitte des Grades | [dy:?]	[kochor:?] | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | [ydaiin:?] | Blüten-/Pflanzenteil, Menge/Klasse III | feucht am Ende des Grades | [ykeey:?] | heiße Drogenportion | feucht in der Mitte des Grades | heiß in der Mitte des Grades | [dy:?]	False
f102v1	f102v1.12	ar	y cheol cheol doiir shekcheor s ar cheor ey pchodaiin	[y:?] | trockener Drogenstoff | trockener Drogenstoff | [doiir:?] | [shekcheor:?] | [s:?] | [ar:?] | trockener Drogenteil | [ey:?] | [pchodaiin:?]	[y:?] | trockener Drogenstoff | trockener Drogenstoff | [doiir:?] | [shekcheor:?] | [s:?] | Drogenfraktion I | trockener Drogenteil | [ey:?] | [pchodaiin:?]	False
f102v1	f102v1.13	qokar	toiin ol daiin qkol cheol daiin qokar oaiin cheey saiim	kalte Zubereitung, Form III | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | Qualitätsgrad III | [qkol:?] | trockener Drogenstoff | Qualitätsgrad III | heiße Portion | Ansatzmenge III | trocken am Ende des Grades | Samendroge: Mengenklasse III	kalte Zubereitung, Form III | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | Qualitätsgrad III | [qkol:?] | trockener Drogenstoff | Qualitätsgrad III | heiße Drogenfraktion I | Ansatzmenge III | trocken am Ende des Grades | Samendroge: Mengenklasse III	False
f102v1	f102v1.19	or	foidaiin dair or sheol okeeol qoteol oroey olkey	[foidaiin:?] | abgemessene Fraktion II | Teil-/Nominalträger; genaue Basisbedeutung offen | feuchtes Material | [okeeol:?] | [qoteol:?] | [oroey:?] | [olkey:?]	[foidaiin:?] | abgemessene Fraktion II | Drogenportion | feuchtes Material | [okeeol:?] | [qoteol:?] | [oroey:?] | [olkey:?]	False
f102v1	f102v1.24	qoor	ysaiin ckhey qoor cheol	[ysaiin:?] | Arzneikompositum in der Gradmitte | [qoor:?] | trockener Drogenstoff	[ysaiin:?] | Arzneikompositum in der Gradmitte | Drogenportion | trockener Drogenstoff	False
f102v1	f102v1.9	or	teody ckheey qokeol sheky qockheor or cheo rchol qoteor dar	[teody:?] | Arzneikompositum am Gradende | [qokeol:?] | [sheky:?] | [qockheor:?] | Teil-/Nominalträger; genaue Basisbedeutung offen | trocken angesetzte Zubereitung | trockener Wurzel/Wurzeldrogestoff/Trockengut | [qoteor:?] | abgemessene Fraktion I	[teody:?] | Arzneikompositum am Gradende | [qokeol:?] | [sheky:?] | [qockheor:?] | Drogenportion | trocken angesetzte Zubereitung | trockener Wurzel/Wurzeldrogestoff/Trockengut | [qoteor:?] | abgemessene Fraktion I	False
