candidate_id	candidate_order	surface	mode	v30_meaning_de	v31_meaning_de	composition	rival_de	occurrences	pages	reader_exact_occurrences	split_normalized_occurrences	reader_variant_occurrences	decision	decision_basis	strongest_counterargument
G654-C01	1	ar	NEW_EXACT_WHOLE	OPEN	Drogenfraktion I	AR_FRACTION_I	Teil-/Sortierklasse I	321	90	242	242	79	ACCEPT_V31_EXACT_WHOLE	321 naked occurrences, two direct A R/AR reader splits and P/S/R/L material-head sisters	AR may encode a technical form class rather than an ordinary-language fraction noun
G654-C02	2	or	REVISE_AMBIGUOUS_TO_EXACT	Teil-/Nominalträger; genaue Basisbedeutung offen	Drogenportion	OR_PORTION	Teil-/Nominalträger	321	114	235	235	86	ACCEPT_V31_EXACT_WHOLE	321 naked occurrences, one direct O R/OR reader split, 48 AR/OR co-occurrence lines and POR/SOR/ROR/LOR sisters	OR can remain a nominal carrier whose more specific portion value is supplied by context
G654-C03	3	kar	NEW_EXACT_WHOLE	OPEN	heiße Drogenfraktion I	K_HEISS+AR_FRACTION_I	heiße Drogenportion	57	42	42	42	15	ACCEPT_V31_EXACT_WHOLE	57 occurrences extend AR with K and contrast with observed KOR	KAR may be a learned whole or K may mark a broader preparation state rather than heat
G654-C04	4	kor	NEW_EXACT_WHOLE	OPEN	heiße Drogenportion	K_HEISS+OR_PORTION	heißer Drogenteil	20	20	13	13	7	ACCEPT_V31_EXACT_WHOLE	20 occurrences occupy the OR partner cell beside KAR and the POR/SOR/ROR/LOR portion set	KOR may be a learned head rather than transparent K plus OR
G654-C05	5	tar	NEW_EXACT_WHOLE	OPEN	kalte Drogenfraktion I	T_KALT+AR_FRACTION_I	kalte Stoffform I	40	33	33	33	7	ACCEPT_V31_EXACT_WHOLE	40 occurrences form the cold counterpart of KAR and contrast with observed TOR	TAR may be a learned whole or AR may be a form class rather than a fraction
G654-C06	6	tor	NEW_EXACT_WHOLE	OPEN	kalte Drogenportion	T_KALT+OR_PORTION	kalter Drogenteil	17	17	12	12	5	ACCEPT_V31_EXACT_WHOLE	17 occurrences occupy the OR partner cell beside TAR	TOR may be an indivisible learned head rather than transparent T plus OR
G654-C07	7	oar	NEW_EXACT_WHOLE	OPEN	Drogenfraktion I im Ansatz	O_PREP+AR_FRACTION_I	Ansatzform I	10	9	9	9	1	ACCEPT_V31_EXACT_WHOLE	ten occurrences occupy the naked O+AR cell beside OOR and the populated O+K/T grid	OAR may be a learned preparation form without a separable AR value
G654-C08	8	oor	NEW_EXACT_WHOLE	OPEN	Drogenportion im Ansatz	O_PREP+OR_PORTION	Zubereitungsteil	2	2	2	2	0	ACCEPT_V31_EXACT_WHOLE	two all-reader exact occurrences occupy the O+OR partner of OAR	two tokens are too few to distinguish a productive compound from a learned whole
G654-C09	9	okar	NEW_EXACT_WHOLE	OPEN	heiße Drogenfraktion I im Ansatz	O_PREP+K_HEISS+AR_FRACTION_I	heiße Drogenportion im Ansatz	119	55	91	93	26	ACCEPT_V31_EXACT_WHOLE	119 occurrences, two reader splits exposing O+KAR and the complete OKAR/OKOR/OTAR/OTOR square	the direct splits establish O plus KAR but do not independently split K from AR
G654-C10	10	okor	NEW_EXACT_WHOLE	OPEN	heiße Drogenportion im Ansatz	O_PREP+K_HEISS+OR_PORTION	heißer Zubereitungsteil	24	20	16	16	8	ACCEPT_V31_EXACT_WHOLE	24 occurrences occupy the OR partner of OKAR	OKOR may be an indivisible preparation head
