surface	entry	kind	working_meaning_de	composition	context_rule	status	occurrences	acceptance_mode
ar	ar@GDT654_EXACT_WHOLE	EXACT_ZL3B_WHOLE_NEW_EXACT_WHOLE	Drogenfraktion I	AR_FRACTION_I	exact complete surface only; mode=NEW_EXACT_WHOLE; 321 audited occurrences; 242 all-reader exact; supersedes current glossary card without deleting material history	NEW_V31_ACCEPTED_ROUND_01	321	NEW_EXACT_WHOLE
or	or@GDT654_EXACT_WHOLE	EXACT_ZL3B_WHOLE_REVISE_AMBIGUOUS_TO_EXACT	Drogenportion	OR_PORTION	exact complete surface only; mode=REVISE_AMBIGUOUS_TO_EXACT; 321 audited occurrences; 235 all-reader exact; supersedes current glossary card without deleting material history	NEW_V31_ACCEPTED_ROUND_02	321	REVISE_AMBIGUOUS_TO_EXACT
kar	kar@GDT654_EXACT_WHOLE	EXACT_ZL3B_WHOLE_NEW_EXACT_WHOLE	heiße Drogenfraktion I	K_HEISS+AR_FRACTION_I	exact complete surface only; mode=NEW_EXACT_WHOLE; 57 audited occurrences; 42 all-reader exact; supersedes current glossary card without deleting material history	NEW_V31_ACCEPTED_ROUND_03	57	NEW_EXACT_WHOLE
kor	kor@GDT654_EXACT_WHOLE	EXACT_ZL3B_WHOLE_NEW_EXACT_WHOLE	heiße Drogenportion	K_HEISS+OR_PORTION	exact complete surface only; mode=NEW_EXACT_WHOLE; 20 audited occurrences; 13 all-reader exact; supersedes current glossary card without deleting material history	NEW_V31_ACCEPTED_ROUND_04	20	NEW_EXACT_WHOLE
tar	tar@GDT654_EXACT_WHOLE	EXACT_ZL3B_WHOLE_NEW_EXACT_WHOLE	kalte Drogenfraktion I	T_KALT+AR_FRACTION_I	exact complete surface only; mode=NEW_EXACT_WHOLE; 40 audited occurrences; 33 all-reader exact; supersedes current glossary card without deleting material history	NEW_V31_ACCEPTED_ROUND_05	40	NEW_EXACT_WHOLE
tor	tor@GDT654_EXACT_WHOLE	EXACT_ZL3B_WHOLE_NEW_EXACT_WHOLE	kalte Drogenportion	T_KALT+OR_PORTION	exact complete surface only; mode=NEW_EXACT_WHOLE; 17 audited occurrences; 12 all-reader exact; supersedes current glossary card without deleting material history	NEW_V31_ACCEPTED_ROUND_06	17	NEW_EXACT_WHOLE
oar	oar@GDT654_EXACT_WHOLE	EXACT_ZL3B_WHOLE_NEW_EXACT_WHOLE	Drogenfraktion I im Ansatz	O_PREP+AR_FRACTION_I	exact complete surface only; mode=NEW_EXACT_WHOLE; 10 audited occurrences; 9 all-reader exact; supersedes current glossary card without deleting material history	NEW_V31_ACCEPTED_ROUND_07	10	NEW_EXACT_WHOLE
oor	oor@GDT654_EXACT_WHOLE	EXACT_ZL3B_WHOLE_NEW_EXACT_WHOLE	Drogenportion im Ansatz	O_PREP+OR_PORTION	exact complete surface only; mode=NEW_EXACT_WHOLE; 2 audited occurrences; 2 all-reader exact; supersedes current glossary card without deleting material history	NEW_V31_ACCEPTED_ROUND_08	2	NEW_EXACT_WHOLE
okar	okar@GDT654_EXACT_WHOLE	EXACT_ZL3B_WHOLE_NEW_EXACT_WHOLE	heiße Drogenfraktion I im Ansatz	O_PREP+K_HEISS+AR_FRACTION_I	exact complete surface only; mode=NEW_EXACT_WHOLE; 119 audited occurrences; 91 all-reader exact; supersedes current glossary card without deleting material history	NEW_V31_ACCEPTED_ROUND_09	119	NEW_EXACT_WHOLE
okor	okor@GDT654_EXACT_WHOLE	EXACT_ZL3B_WHOLE_NEW_EXACT_WHOLE	heiße Drogenportion im Ansatz	O_PREP+K_HEISS+OR_PORTION	exact complete surface only; mode=NEW_EXACT_WHOLE; 24 audited occurrences; 16 all-reader exact; supersedes current glossary card without deleting material history	NEW_V31_ACCEPTED_ROUND_10	24	NEW_EXACT_WHOLE
