first_surface	second_surface	required_distinction_de	cooccurrence_lines	all_reader_exact_lines	example_loci
ar	or	Drogenfraktion I / Drogenportion	48	5	f102v2.37|f103v.23|f104v.30|f104v.32|f104v.33|f105r.31|f105r.33|f108v.26|f111v.50|f112v.3|f113v.30|f115r.24
kar	kor	heiße Drogenfraktion I / heiße Drogenportion	0	0	NONE
tar	tor	kalte Drogenfraktion I / kalte Drogenportion	0	0	NONE
okar	okor	heiße Fraktion / Portion im Ansatz	1	1	f100v.21
otar	otor	kalte Fraktion / Portion im Ansatz	4	1	f104r.19|f113v.8|f33r.2|f78v.7
qokar	qokor	heiße Drogenfraktion / Drogenportion	2	0	f106v.28|f85r1.34
qotar	qotor	kalte Drogenfraktion / Drogenportion	1	0	f115r.16
lkar	lkor	heiße Holzfraktion / Holzportion	0	0	NONE
ar	qokar	Drogenfraktion I / heiße Drogenfraktion I	16	1	f108r.9|f111v.36|f112r.34|f113v.16|f115r.40|f115v.16|f115v.26|f34r.12|f39v.7|f40r.5|f40v.17|f46r.7
or	qokar	Drogenportion / heiße Drogenfraktion I	18	3	f107v.17|f33r.5|f34v.5|f40r.5|f55r.10|f55r.2|f75v.39|f78v.30|f80r.41|f85r1.34|f86v5.10|f86v5.23
