surface	selection_rank	page	locus	reader_support	zl3b_line	tokenwise_v31_de	working_reading_de	syntax_note
ar	1	f55r	f55r.10	READER_VARIANT	dair okal qokar or or o ar odaiin okeey darchd ol	abgemessene Fraktion II | Ansatz aus heißem Rohstoff, Form I | heiße Drogenfraktion I | Drogenportion | Drogenportion | [o:?] | Drogenfraktion I | Zubereitungsdosis III | heißer Ansatz am Ende des Grades | [darchd:?] | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz	abgemessene Fraktion II; Ansatz aus heißem Rohstoff, Form I; heiße Drogenfraktion I; Drogenportion; Drogenportion; [o:?]; Drogenfraktion I; Zubereitungsdosis III; heißer Ansatz am Ende des Grades; [darchd:?]; Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz	TOKEN_ORDER_BASELINE__MANUAL_SCOPE_NOT_ASSERTED
ar	2	f103v	f103v.23	ALL_THREE_EXACT	ycheody l ar cheey or aiiin oteey otal otear or ar keey qoty	[ycheody:?] | [l:?] | Drogenfraktion I | trocken am Ende des Grades | Drogenportion | Menge-/Klassenwert IV | kalter Ansatz am Ende des Grades | Ansatz aus kaltem Rohstoff, Form I | [otear:?] | Drogenportion | Drogenfraktion I | heiß am Ende des Grades | kalt am Anfang des Grades	[ycheody:?]; [l:?]; Drogenfraktion I; trocken am Ende des Grades; Drogenportion; Menge-/Klassenwert IV; kalter Ansatz am Ende des Grades; Ansatz aus kaltem Rohstoff, Form I; [otear:?]; Drogenportion; Drogenfraktion I; heiß am Ende des Grades; kalt am Anfang des Grades	TOKEN_ORDER_BASELINE__MANUAL_SCOPE_NOT_ASSERTED
ar	3	f33v	f33v.9	ALL_THREE_EXACT	sar or aiin chor or shkair shol or chckhy ar aiin okain dal dy	Samenfraktion I | Drogenportion | Menge III | Pflanzen-/Reproduktionsteil | Drogenportion | [shkair:?] | feucht; nominal feuchtes Gut/Material | Drogenportion | Arzneikompositum: trocken, Gradanfang | Drogenfraktion I | Menge III | heiß im Zubereitungsrahmen, Grad II | [dal:?] | [dy:?]	Samenfraktion I; Drogenportion; Menge III; Pflanzen-/Reproduktionsteil; Drogenportion; [shkair:?]; feucht; nominal feuchtes Gut/Material; Drogenportion; Arzneikompositum: trocken, Gradanfang; Drogenfraktion I; Menge III; heiß im Zubereitungsrahmen, Grad II; [dal:?]; [dy:?]	TOKEN_ORDER_BASELINE__MANUAL_SCOPE_NOT_ASSERTED
or	1	f20v	f20v.4	READER_VARIANT	sho or aiin shol daiin	feuchter Ansatz | Drogenportion | Menge III | feucht; nominal feuchtes Gut/Material | Qualitätsgrad III	Feuchtansatz: eine Drogenportion, Menge III; feuchtes Gut, Qualitätsgrad III.	MANUAL_SEQUENCE_READING__TOKENWISE_BASELINE_RETAINED
or	2	f6r	f6r.12	ALL_THREE_EXACT	or shol cthom chor cthy	Drogenportion | feucht; nominal feuchtes Gut/Material | eine Handvoll Blatt- oder Krautansatz | Pflanzen-/Reproduktionsteil | CTH-Drogenmaterial	Eine Drogenportion feuchten Guts; eine Handvoll Blatt-/Krautansatz; Pflanzen-/Reproduktionsteil; CTH-Drogenmaterial.	MANUAL_SEQUENCE_READING__TOKENWISE_BASELINE_RETAINED
or	3	f103r	f103r.17	READER_VARIANT	sar shey qokey keedy qokeey chckhy qokal oty or aiin	Samenfraktion I | feucht in der Mitte des Grades | heiß in der Mitte des Grades | heiß am Ende des Grades, abgeschlossen | heiß am Ende des Grades | Arzneikompositum: trocken, Gradanfang | heiße Substanz | kalter Ansatz am Anfang des Grades | Drogenportion | Menge III	Samenfraktion I: feucht und heiß in der Gradmitte; am Gradende heiß abgeschlossen, danach weiter heiß; trockenes Arzneikompositum am Gradanfang; heiße Substanz; kalter Ansatz am Gradanfang; eine Drogenportion, Menge III.	MANUAL_SEQUENCE_READING__TOKENWISE_BASELINE_RETAINED
kar	1	f46r	f46r.12	ALL_THREE_EXACT	techy daiin sheockhy choky r aiin ches shey kar sheckhy chdy chckham	[techy:?] | Grad-/Maßwert III | feucht angesetztes Arzneikompositum am Gradanfang | heiß-trockene Zubereitung, Grundform | [r:?] | Menge III | [ches:?] | feucht in der Mitte des Grades | heiße Drogenfraktion I | feuchtes Arzneikompositum am Gradanfang | trocken am Anfang des Grades, abgeschlossen | [chckham:?]	[techy:?]; Grad-/Maßwert III; feucht angesetztes Arzneikompositum am Gradanfang; heiß-trockene Zubereitung, Grundform; [r:?]; Menge III; [ches:?]; feucht in der Mitte des Grades; heiße Drogenfraktion I; feuchtes Arzneikompositum am Gradanfang; trocken am Anfang des Grades, abgeschlossen; [chckham:?]	TOKEN_ORDER_BASELINE__MANUAL_SCOPE_NOT_ASSERTED
kar	2	f58v	f58v.31	ALL_THREE_EXACT	tcheor chor kar okal qokeey qokal shol qokain ar oetalchg	kalt-trockener Drogenteil | Pflanzen-/Reproduktionsteil | heiße Drogenfraktion I | Ansatz aus heißem Rohstoff, Form I | heiß am Ende des Grades | heiße Substanz | feucht; nominal feuchtes Gut/Material | heiß, Grad II | Drogenfraktion I | [oetalchg:?]	kalt-trockener Drogenteil; Pflanzen-/Reproduktionsteil; heiße Drogenfraktion I; Ansatz aus heißem Rohstoff, Form I; heiß am Ende des Grades; heiße Substanz; feucht; nominal feuchtes Gut/Material; heiß, Grad II; Drogenfraktion I; [oetalchg:?]	TOKEN_ORDER_BASELINE__MANUAL_SCOPE_NOT_ASSERTED
kar	3	f6r	f6r.2	ALL_THREE_EXACT	daiin chckhy chor chor kar cthy cthor chotols	Grad-/Maßwert III | Arzneikompositum: trocken, Gradanfang | Pflanzen-/Reproduktionsteil | Pflanzen-/Reproduktionsteil | heiße Drogenfraktion I | CTH-Drogenmaterial | Drogenteil/-portion; im Herbal Portion Blatt-/Krautdroge | [chotols:?]	Grad-/Maßwert III; Arzneikompositum: trocken, Gradanfang; Pflanzen-/Reproduktionsteil; Pflanzen-/Reproduktionsteil; heiße Drogenfraktion I; CTH-Drogenmaterial; Drogenteil/-portion; im Herbal Portion Blatt-/Krautdroge; [chotols:?]	TOKEN_ORDER_BASELINE__MANUAL_SCOPE_NOT_ASSERTED
qokar	1	f55r	f55r.10	ALL_THREE_EXACT	dair okal qokar or or o ar odaiin okeey darchd ol	abgemessene Fraktion II | Ansatz aus heißem Rohstoff, Form I | heiße Drogenfraktion I | Drogenportion | Drogenportion | [o:?] | Drogenfraktion I | Zubereitungsdosis III | heißer Ansatz am Ende des Grades | [darchd:?] | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz	abgemessene Fraktion II; Ansatz aus heißem Rohstoff, Form I; heiße Drogenfraktion I; Drogenportion; Drogenportion; [o:?]; Drogenfraktion I; Zubereitungsdosis III; heißer Ansatz am Ende des Grades; [darchd:?]; Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz	TOKEN_ORDER_BASELINE__MANUAL_SCOPE_NOT_ASSERTED
