round	surface	mode	dictionary_entries	dictionary_sha256	physical_lines	known_token_positions	unknown_token_positions	complete_multi_token_lines	strict_complete_lines	one_unknown_lines	strict_one_unknown_lines	exact_glossary_surfaces
0	BASE_V30	BASE	491	c15c96567f763341362712b7f76ee31760bd7cd8c7a4c934be76c65b64d35bc2	4128	14973	17366	119	73	160	34	420
1	ar	NEW_EXACT_WHOLE	492	7a88a45ca11646ad72278a64e345539020dd4d46e3a644578876c45cab1cb3e2	4128	15294	17045	119	73	169	34	421
2	or	REVISE_AMBIGUOUS_TO_EXACT	493	3b93747280f62097b19a7e50e37bea5aa2c90352e58016041c62112c43a38c61	4128	15294	17045	119	74	169	35	421
3	kar	NEW_EXACT_WHOLE	494	4d97a21315beba7ac6f2d0fa5c5e1bb99029ecc48a0625990bbff50e33a8eabb	4128	15351	16988	119	74	176	36	422
4	kor	NEW_EXACT_WHOLE	495	df64524a1a3e92a38a418ff3f830b8bad158c4928f58254f2de1015852e0da6e	4128	15371	16968	119	74	180	37	423
5	tar	NEW_EXACT_WHOLE	496	efd7061977993c2e1104c4c460ac2001e46feb3b2ce26cfdfeab920b0a8d5dd0	4128	15411	16928	119	74	182	39	424
6	tor	NEW_EXACT_WHOLE	497	aada546c5a3e93481a97cb0a65b447c8a7f73297c448034ca6c15149d1198516	4128	15428	16911	119	74	183	40	425
7	oar	NEW_EXACT_WHOLE	498	5fddc03ff017fe3eb35dde2955859faf22bc52a86f07000f123bd48ff0289715	4128	15438	16901	119	74	183	40	426
8	oor	NEW_EXACT_WHOLE	499	f7a4fc31683a87b4c67dfc4c8878f963b7d41fec8b06b11363f9c63069077c84	4128	15440	16899	119	74	183	40	427
9	okar	NEW_EXACT_WHOLE	500	5557e167841ea5027c2da9daac79b7d347d13e90d05d85d83b159ef4144be681	4128	15559	16780	120	74	186	41	428
10	okor	NEW_EXACT_WHOLE	501	4cd6507e08386e6ae2e053f7870e0256786e5a5bd7873da1290607656c275965	4128	15583	16756	120	74	187	42	429
11	otar	NEW_EXACT_WHOLE	502	7b3c9ac7f67086a4aac2d1ce079f12af60c96f5ae702548a3cb8ecc3859a55c9	4128	15706	16633	121	74	190	42	430
12	otor	NEW_EXACT_WHOLE	503	dc242b4fbc4caf1dc189c3e39f789e725dd75325049807fccf233a8156476b20	4128	15739	16600	122	74	192	42	431
13	qoar	NEW_EXACT_WHOLE	504	7cb2c7e55d399ec7562152a96aa4c02a2636b512be8be52a908a292cb750a7ac	4128	15746	16593	122	74	192	42	432
14	qoor	NEW_EXACT_WHOLE	505	57559bb2a1bb7017ac702e38f548fa6e048aa51f6942e8a3846d1cd2b185c533	4128	15752	16587	122	74	193	43	433
15	qokar	REVISE_CONFLICTING_EXACT	506	1359c183a754f87d7a53984fb080f6d2f94ad345ede2ee565961eea196ef8325	4128	15752	16587	122	74	193	43	433
16	qokor	NEW_EXACT_WHOLE	507	b1efcde1c9893e61b7f57d95dddefdccb1f98a4bb79ba8f3cd07e00f3824b19f	4128	15781	16558	123	75	195	44	434
17	qotar	NEW_EXACT_WHOLE	508	d0cdea4032e4a968fbe680218e61dcfa803003a68799a93d8fc7c8e3e7c7a3df	4128	15842	16497	123	75	197	44	435
18	rkar	NEW_EXACT_WHOLE	509	85f63b69af1d6313c94613193cd747a74c1f4c450c2a6a6867866d2dc93415ca	4128	15843	16496	123	75	197	44	436
19	lkor	NEW_EXACT_WHOLE	510	c8a66e2678823020a0f485af5c9fbf37127a56d96c06ac512519e6fc8253a00d	4128	15846	16493	123	75	197	44	437
