decision_id	surface	reading_id	input_category	dispatch_class	whole_family	expected_old_meaning_de	new_meaning_de	decision_basis	strongest_rival	open_slot_de	component_export_credit	historical_confirmation
G728-D001	chdain	chdain#GLOBAL	ROMAN_AXIS	PORTION	INDEXED_MATERIAL_AMOUNT	Trockendroge in Dosis II	zwei Portionen Trockendroge	VISIBLE_DRY_DRUG_HEAD_SELECTS_CARDINAL_AMOUNT	WERT	absolute Einheit und unabhängige Bestätigung des Stoffkopfs offen	0	H0_NONE
G728-D002	chedain	chedain#GLOBAL	COUNTED_PLURAL	PORTION	COUNTED_DRY_DRUG_AMOUNT	zwei Dosen bis zur Mittelstufe getrockneter Droge	zwei Portionen bis zur Mittelstufe getrockneter Droge	COUNTED_MATERIAL_AMOUNT_WITHOUT_ADMINISTRATION	MASS	absolute Einheit und Stoffidentität offen	0	H0_NONE
G728-D003	cheedain	cheedain#GLOBAL	COUNTED_PLURAL	PORTION	COUNTED_DRY_DRUG_AMOUNT	zwei Dosen vollständig getrockneter Droge	zwei Portionen vollständig getrockneter Droge	COUNTED_MATERIAL_AMOUNT_WITHOUT_ADMINISTRATION	MASS	absolute Einheit und Stoffidentität offen	0	H0_NONE
G728-D004	cheodaiin	cheodaiin#GLOBAL	COUNTED_PLURAL	PORTION	COUNTED_DRY_PREPARATION_AMOUNT	drei Dosen Trockenansatz auf mittlerer Trockenstufe	drei Portionen Trockenansatz auf mittlerer Trockenstufe	COUNTED_MATERIAL_AMOUNT_WITHOUT_ADMINISTRATION	WERT	Mengenachse des Ganzworts bleibt ersetzbar	0	H0_NONE
G728-D005	cheodain	cheodain#GLOBAL	ROMAN_AXIS	PORTION	INDEXED_DRY_PREPARATION_AMOUNT	Trockenansatz, Dosis II	zwei Portionen Trockenansatz	VISIBLE_PREPARATION_HEAD_SELECTS_CARDINAL_AMOUNT	WERT	Mengenachse des Ganzworts bleibt ersetzbar	0	H0_NONE
G728-D006	daid	daid#GLOBAL	SINGULAR_OBJECT	PORTION	ORDINAL_WORK_PORTION	zweite Dosis abmessen und abschließen	die zweite Portion abmessen und abschließen	ORDINAL_WORK_ITEM_WITH_MEASURING_ACTION	WERT	Patient und Ordinalfunktion bleiben Ganzwortdefaults	0	H0_NONE
G728-D007	daiinls	daiinls#GLOBAL	COUNTED_PLURAL	PORTION	COUNTED_WOOD_DRUG_AMOUNT	drei Dosen einer Holzdrogencharge abmessen	drei Portionen einer Holzdrogencharge abmessen	COUNTED_MATERIAL_AMOUNT_WITHOUT_ADMINISTRATION	MASS	absolute Einheit und Holzstoffidentität offen	0	H0_NONE
G728-D008	daiinol	daiinol#GLOBAL	COUNTED_PLURAL	PORTION	COUNTED_DRUG_MATERIAL_AMOUNT	drei Dosen Drogenstoff abmessen	drei Portionen Drogenstoff abmessen	COUNTED_MATERIAL_AMOUNT_WITHOUT_ADMINISTRATION	MASS	absolute Einheit und Stoffidentität offen	0	H0_NONE
G728-D009	daim	daim#GLOBAL	SINGULAR_OBJECT	PORTION	ORDINAL_WORK_PORTION	eine zweite Dosis abmessen	eine zweite Portion abmessen	ORDINAL_WORK_ITEM_WITH_MEASURING_ACTION	WERT	Patient und Ordinalfunktion bleiben Ganzwortdefaults	0	H0_NONE
G728-D010	dcheeey	dcheeey#GLOBAL	SINGULAR_OBJECT	PORTION	PROCESSED_WORK_PORTION	eine Dosis bis zur letzten Stufe trocknen und abschließen	eine Portion bis zur letzten Stufe trocknen und abschließen	WORK_PORTION_WITHOUT_ADMINISTRATION	HOLD	Patient bleibt aus dem Ganzwort erschlossen	0	H0_NONE
G728-D011	dcheodaiin	dcheodaiin#GLOBAL	COUNTED_PLURAL	PORTION	MIXED_DRY_PREPARATION_PORTIONS	eine Dosis bis zur Mittelstufe trocknen und ansetzen; drei Dosen abmessen	eine Portion bis zur Mittelstufe trocknen und ansetzen; drei Portionen abmessen	MIXED_SINGULAR_AND_COUNTED_WORK_AMOUNTS	HOLD	beide Patienten und die interne Satzgrenze bleiben offen	0	H0_NONE
G728-D012	dcholdy	dcholdy#GLOBAL	SINGULAR_OBJECT	PORTION	DRY_PRODUCT_PORTION	eine Dosis fertig getrocknete Droge	eine Portion fertig getrockneter Droge	PRODUCT_AMOUNT_WITHOUT_ADMINISTRATION	TEIL	Produktstatus und Stoffidentität offen	0	H0_NONE
G728-D013	dchy	dchy#GLOBAL	SINGULAR_OBJECT	PORTION	DRY_DRUG_PORTION	Dosis Trockendroge, Grundform	eine Portion Trockendroge in Grundform	MATERIAL_AMOUNT_WITHOUT_ADMINISTRATION	MASS	absolute Einheit und Stoffidentität offen	0	H0_NONE
