compound_ordinal	compound_id	case_scope	source_kind	source_event_ids	bundle_id	physical_page	register	locus	surface_sequence	surface_templates	raw_core_sequence	primary_default_sequence	selected_models	grammar_primary_reading_de	semantic_mode	composition_hypothesis_de	strongest_rival_de	reason_de	guard
1	GDT585-C001	CANONICAL_MULTI_OR_SAME_OBJECT_GROUP	TWO_LABEL_SAME_OWNER_BUNDLE	P1003-E0080|P1003-E0079	G474-B001	f17r	HERBAL	f17r.13	oiil|oteeeon	<NAME>|OT+<NAME>	oiil|eeeon	linke Blütenform|rechte Blütenform	CATALOGUE|CATALOGUE	Pflanzenname »linke Blütenform [oiil]«. Pflanzenname »rechte Blütenform [eeeon]« — Folgevermerk.	TWO_FLOWER_FORMS_ONE_PICTURED_PLANT	Linke Blütenform oiil; daneben als nächste die rechte Blütenform eeeon derselben einzigen Pflanze.	Hauptname und weiterer Name oder Beiname derselben Pflanzenart	Eine Wurzel, ein Stängel und eine Pflanze; die Labels stehen symmetrisch bei den beiden Seitenblütenköpfen.	GRAMMAR_PRIMARY__COMPOSITION_HYPOTHESIS_SEPARATE__SHELL_FIXED
2	GDT585-C002	CANONICAL_MULTI_OR_SAME_OBJECT_GROUP	MULTI_NAME_LABEL	P1008-E0127	G474-B017	f72r	CELESTIAL	f72r1.2	oshodady	{NAME_1}sh{NAME_2}	o|odady	wiederkehrender Ring- oder Kalenderwert O|gelernter Ringfiguren- oder Sternwert ODADY	INSTRUCTION	Halte den Sternstelleneintrag »wiederkehrender Ring- oder Kalenderwert O [o]« und den Sternstelleneintrag »gelernter Ringfiguren- oder Sternwert ODADY [odady]«.	ONE_FIGURE_PRIMARY_AND_CARRIED_VALUE	Eine Ringfigur koppelt den Primärwert wiederkehrender Ring- oder Kalenderwert O mit dem getragenen oder attributiven Wert gelernter Ringfiguren- oder Sternwert ODADY.	zwei selbständige geordnete Stern- oder Kalendereinträge	Beide Kerne stehen im selben sichtbaren Figurenlabel; die technische Hülle zwischen ihnen bleibt in der Primärlesung erhalten.	GRAMMAR_PRIMARY__COMPOSITION_HYPOTHESIS_SEPARATE__SHELL_FIXED
3	GDT585-C003	CANONICAL_MULTI_OR_SAME_OBJECT_GROUP	MULTI_NAME_LABEL	P1008-E0133	G474-B021	f72r	CELESTIAL	f72r1.6	ytalshdy	{NAME_1}alsh{NAME_2}	yt|dy	wiederkehrender Ring- oder Kalenderwert YT|wiederkehrender Ring- oder Kalenderwert DY	INSTRUCTION	Halte den Sternstelleneintrag »wiederkehrender Ring- oder Kalenderwert YT [yt]« und den Sternstelleneintrag »wiederkehrender Ring- oder Kalenderwert DY [dy]« zur Zielposition.	ONE_FIGURE_PRIMARY_AND_CARRIED_VALUE	Eine Ringfigur koppelt den Primärwert wiederkehrender Ring- oder Kalenderwert YT mit dem getragenen oder attributiven Wert wiederkehrender Ring- oder Kalenderwert DY.	zwei selbständige geordnete Stern- oder Kalendereinträge	Beide Kerne stehen im selben sichtbaren Figurenlabel; die technische Hülle zwischen ihnen bleibt in der Primärlesung erhalten.	GRAMMAR_PRIMARY__COMPOSITION_HYPOTHESIS_SEPARATE__SHELL_FIXED
4	GDT585-C004	CANONICAL_MULTI_OR_SAME_OBJECT_GROUP	MULTI_NAME_LABEL	P1008-E0191	G474-B033	f72r	CELESTIAL	f72r2.2	oklairdy	ok{NAME_1}air{NAME_2}	l|dy	gelernter Ringfiguren- oder Sternwert L|wiederkehrender Ring- oder Kalenderwert DY	INSTRUCTION	Setze den Sternstelleneintrag »gelernter Ringfiguren- oder Sternwert L [l]« und den Sternstelleneintrag »wiederkehrender Ring- oder Kalenderwert DY [dy]« entlang der Ringbahn.	ONE_FIGURE_PRIMARY_AND_CARRIED_VALUE	Eine Ringfigur koppelt den Primärwert gelernter Ringfiguren- oder Sternwert L mit dem getragenen oder attributiven Wert wiederkehrender Ring- oder Kalenderwert DY.	zwei selbständige geordnete Stern- oder Kalendereinträge	Beide Kerne stehen im selben sichtbaren Figurenlabel; die technische Hülle zwischen ihnen bleibt in der Primärlesung erhalten.	GRAMMAR_PRIMARY__COMPOSITION_HYPOTHESIS_SEPARATE__SHELL_FIXED
5	GDT585-C005	CANONICAL_MULTI_OR_SAME_OBJECT_GROUP	MULTI_NAME_LABEL	P1008-E0243	G474-B043	f72r	CELESTIAL	f72r2.13	oteeary	ot{NAME_1}ar{NAME_2}	ee|y	gelernter Ringfiguren- oder Sternwert EE|wiederkehrender Ring- oder Kalenderwert Y	CATALOGUE	Sternstelle »gelernter Ringfiguren- oder Sternwert EE [ee]« / Sternstelle »wiederkehrender Ring- oder Kalenderwert Y [y]« — Folgevermerk, Ausgangszuordnung.	ONE_FIGURE_PRIMARY_AND_CARRIED_VALUE	Eine Ringfigur koppelt den Primärwert gelernter Ringfiguren- oder Sternwert EE mit dem getragenen oder attributiven Wert wiederkehrender Ring- oder Kalenderwert Y.	zwei selbständige geordnete Stern- oder Kalendereinträge	Beide Kerne stehen im selben sichtbaren Figurenlabel; die technische Hülle zwischen ihnen bleibt in der Primärlesung erhalten.	GRAMMAR_PRIMARY__COMPOSITION_HYPOTHESIS_SEPARATE__SHELL_FIXED
6	GDT585-C006	CANONICAL_MULTI_OR_SAME_OBJECT_GROUP	MULTI_NAME_LABEL	P1008-E0353	G474-B064	f72r	CELESTIAL	f72r3.5	osarsheeeo	{NAME_1}arsh{NAME_2}	os|eeeo	gelernter Ringfiguren- oder Sternwert OS|gelernter Ringfiguren- oder Sternwert EEEO	INSTRUCTION	Halte den Sternstelleneintrag »gelernter Ringfiguren- oder Sternwert OS [os]« und den Sternstelleneintrag »gelernter Ringfiguren- oder Sternwert EEEO [eeeo]« von der Ausgangsposition.	ONE_FIGURE_PRIMARY_AND_CARRIED_VALUE	Eine Ringfigur koppelt den Primärwert gelernter Ringfiguren- oder Sternwert OS mit dem getragenen oder attributiven Wert gelernter Ringfiguren- oder Sternwert EEEO.	zwei selbständige geordnete Stern- oder Kalendereinträge	Beide Kerne stehen im selben sichtbaren Figurenlabel; die technische Hülle zwischen ihnen bleibt in der Primärlesung erhalten.	GRAMMAR_PRIMARY__COMPOSITION_HYPOTHESIS_SEPARATE__SHELL_FIXED
7	GDT585-C007	CANONICAL_MULTI_OR_SAME_OBJECT_GROUP	MULTI_NAME_LABEL	P1008-E0424	G474-B083	f72r	CELESTIAL	f72r3.25	olfsheoral	ol{NAME_1}sh{NAME_2}al	f|eor	wiederkehrender Ring- oder Kalenderwert F|gelernter Ringfiguren- oder Sternwert EOR	INSTRUCTION	Weiter halte den Sternstelleneintrag »wiederkehrender Ring- oder Kalenderwert F [f]« und den Sternstelleneintrag »gelernter Ringfiguren- oder Sternwert EOR [eor]« zur Zielposition.	ONE_FIGURE_PRIMARY_AND_CARRIED_VALUE	Eine Ringfigur koppelt den Primärwert wiederkehrender Ring- oder Kalenderwert F mit dem getragenen oder attributiven Wert gelernter Ringfiguren- oder Sternwert EOR.	zwei selbständige geordnete Stern- oder Kalendereinträge	Beide Kerne stehen im selben sichtbaren Figurenlabel; die technische Hülle zwischen ihnen bleibt in der Primärlesung erhalten.	GRAMMAR_PRIMARY__COMPOSITION_HYPOTHESIS_SEPARATE__SHELL_FIXED
8	GDT585-C008	CANONICAL_MULTI_OR_SAME_OBJECT_GROUP	MULTI_NAME_LABEL	P1008-E0453	G474-B085	f72r	CELESTIAL	f72r3.28	yfary	{NAME_1}ar{NAME_2}	yf|y	gelernter Ringfiguren- oder Sternwert YF|wiederkehrender Ring- oder Kalenderwert Y	CATALOGUE	Sternstelle »gelernter Ringfiguren- oder Sternwert YF [yf]« / Sternstelle »wiederkehrender Ring- oder Kalenderwert Y [y]« — Ausgangszuordnung.	ONE_FIGURE_PRIMARY_AND_CARRIED_VALUE	Eine Ringfigur koppelt den Primärwert gelernter Ringfiguren- oder Sternwert YF mit dem getragenen oder attributiven Wert wiederkehrender Ring- oder Kalenderwert Y.	zwei selbständige geordnete Stern- oder Kalendereinträge	Beide Kerne stehen im selben sichtbaren Figurenlabel; die technische Hülle zwischen ihnen bleibt in der Primärlesung erhalten.	GRAMMAR_PRIMARY__COMPOSITION_HYPOTHESIS_SEPARATE__SHELL_FIXED
9	GDT585-C009	CANONICAL_MULTI_OR_SAME_OBJECT_GROUP	MULTI_NAME_LABEL	P1008-E0457	G474-B088	f72r	CELESTIAL	f72r3.31	octho	{NAME_1}cth{NAME_2}	o|o	wiederkehrender Ring- oder Kalenderwert O|wiederkehrender Ring- oder Kalenderwert O	INSTRUCTION	Nimm den Sternstelleneintrag »wiederkehrender Ring- oder Kalenderwert O [o]« und den Sternstelleneintrag »wiederkehrender Ring- oder Kalenderwert O [o]« auf und stelle den Sternstelleneintrag »wiederkehrender Ring- oder Kalenderwert O [o]« und den Sternstelleneintrag »wiederkehrender Ring- oder Kalenderwert O [o]« ein.	ONE_FIGURE_REPEATED_RING_VALUE	Eine Ringfigur trägt denselben Wert wiederkehrender Ring- oder Kalenderwert O zweimal in technisch getrennten Rollen.	zwei selbständige geordnete Stern- oder Kalendereinträge	Beide Kerne stehen im selben sichtbaren Figurenlabel; die technische Hülle zwischen ihnen bleibt in der Primärlesung erhalten.	GRAMMAR_PRIMARY__COMPOSITION_HYPOTHESIS_SEPARATE__SHELL_FIXED
10	GDT585-C010	CANONICAL_MULTI_OR_SAME_OBJECT_GROUP	MULTI_NAME_LABEL	P1003-E0081	G474-B091	f77r	BIOLOGICAL	f77r.1	darchdar	{NAME_1}ar{NAME_2}ar	d|chd	Endfigur|linker Speiseanschluss	CATALOGUE	Badstation »Endfigur [d]« / Badstation »linker Speiseanschluss [chd]« — Ausgangszuordnung, Ausgangszuordnung.	LEFT_HUMAN_TERMINAL_PACKAGE	Am linken Quellende steht die Bedien- oder Badendenfigur d beim Quell- oder Speiseanschluss chd.	Ablauf plus erwärmtes Becken	D und CHD teilen das linke menschliche Endlabel; kein Wärmemarker ist sichtbar.	GRAMMAR_PRIMARY__COMPOSITION_HYPOTHESIS_SEPARATE__SHELL_FIXED
