source_id	repository	manuscript	date	region	url	observed_practice	model_use	does_not_support	guard
GDT585-H01	Wellcome Collection	MS.5262	first quarter of the 15th century	Worcestershire, England	https://wellcomecollection.org/works/nuckbt25	129-item medical recipe collection with compound herbal remedies	supports recipe/catalogue coexistence and learned ingredient lists	no Voynich name or ingredient identity	HISTORICAL_ANALOGY_ONLY__NO_VOYNICH_IDENTITY_OR_PLAINTEXT_SUPPORT
GDT585-H02	Wellcome Collection	MS.683	mid 15th century	north-east Italy	https://wellcomecollection.org/works/w6ne7k4t	recipes explicitly combine strong vinegar, medicinal oil and wax in preparations	supports vinegar/oil/wax as one plausible workshop palette	no mapping to cheo, or, ora or ody	HISTORICAL_ANALOGY_ONLY__NO_VOYNICH_IDENTITY_OR_PLAINTEXT_SUPPORT
GDT585-H03	Wellcome Collection	MS.140	early 15th century	Italy	https://wellcomecollection.org/works/actgjagb	compilation treats medicinal waters, oils and salts beside technical operations	supports separate liquid, oil and mineral families in a technical codebook	no Voynich family identification	HISTORICAL_ANALOGY_ONLY__NO_VOYNICH_IDENTITY_OR_PLAINTEXT_SUPPORT
GDT585-H04	Wellcome Collection	MS.117	1462	Italy	https://wellcomecollection.org/works/abjb4cfh	recipe inventory names sage leaves, incense and mastic as concrete materia	supports explicit plant-part and resin/aromatic catalogue heads	no mapping to yt, e, oiin or another Voynich core	HISTORICAL_ANALOGY_ONLY__NO_VOYNICH_IDENTITY_OR_PLAINTEXT_SUPPORT
GDT585-H05	Wellcome Collection	MS.418	mid 15th century	France	https://wellcomecollection.org/works/f6nzyzh4	indexed recipes for medicinal waters made from plants	supports a learned plant name inside a reusable preparation frame	no Voynich plaintext or plant identity	HISTORICAL_ANALOGY_ONLY__NO_VOYNICH_IDENTITY_OR_PLAINTEXT_SUPPORT
GDT585-H06	British Library	Sloane MS 4016	about 1440	northern Italy	https://searcharchives.bl.uk/catalog/040-002116409	illustrated herbal with learned plant captions and synonym-like naming	supports learned whole names and alternate names beside one pictured plant	no identity for eeeon, oiil or a pharmaceutical core	HISTORICAL_ANALOGY_ONLY__NO_VOYNICH_IDENTITY_OR_PLAINTEXT_SUPPORT
GDT585-H07	Wellcome Collection	MS.574	early 15th century	northern Italy	https://wellcomecollection.org/works/yuykkdvs	illustrated herbal organized around pictured medicinal plants	supports plant-image labels as plant or plant-part nomenclature	no specific Voynich plant or root identification	HISTORICAL_ANALOGY_ONLY__NO_VOYNICH_IDENTITY_OR_PLAINTEXT_SUPPORT
GDT585-H08	British Library	Royal MS 17 A XVI	about 1420	England	https://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Royal_MS_17_A_XVI	calendar layout combines positions, pictorial entries and repeating short values	supports short reusable ring values beside longer learned figure values	no equation of a Voynich ring core with a calendar field	HISTORICAL_ANALOGY_ONLY__NO_VOYNICH_IDENTITY_OR_PLAINTEXT_SUPPORT
GDT585-H09	British Library	Add MS 46143	1408	western Europe	https://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Add_MS_46143	calendar entries reuse compact values inside a position-bearing page structure	supports separating a ring value from the position supplied by panel and locus	no recovered Voynich calendar, star name or date	HISTORICAL_ANALOGY_ONLY__NO_VOYNICH_IDENTITY_OR_PLAINTEXT_SUPPORT
GDT585-H10	Yale University Library	Beinecke MS 408 official scan	15th century manuscript; modern digital surrogate	Beinecke Library	https://collections.library.yale.edu/catalog/2002046?child_oid=1006233	f88v and f89r visibly juxtapose containers and many detached plant fragments	anchors the primary image-conditioned name roles used in this atlas	no species or substance identification by image alone	HISTORICAL_ANALOGY_ONLY__NO_VOYNICH_IDENTITY_OR_PLAINTEXT_SUPPORT
