assignment_ordinal	source_kind	slot_id	source_event_or_card_id	statement_or_record_id	physical_page	register	locus	owner_de	surface	surface_template	name_slot_in_label	raw_name_core	content_class	class_core_key	type_default_id	label_slot_count	occurrence_role	visual_object_context	semantic_family	name_role	segmentation_status	gdt585_primary_default_de	composition_atom_de	gdt582_legacy_house_alias_de	strongest_rival_de	working_basis	primary_governor_key	guard
1	GDT581_NAME_SPAN	LOCAL_NAME:P1003-E0079:NAME_1	P1003-E0079	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1003-E0079	f17r	HERBAL	f17r.13	Name oder Kennung fuer Bezeichnung bei der abgebildeten ganzen Bluetenpflanze	oteeeon	ot{NAME_1}	1	eeeon	PICTURED_PLANT	PICTURED_PLANT::eeeon	GDT582-N001	1	SINGLE_LEARNED_VALUE	ONE_PICTURED_PLANT_LABEL	ONE_PICTURED_PLANT_TWO_FLOWER_FORMS	OT_MARKED_RIGHT_FLOWER_FORM	OPAQUE_WHOLE_CORE	rechte Blütenform	rechte Blütenform B	ganze blühende Heilpflanze	weiterer Pflanzenname oder Beiname derselben Art	ONE_ROOT_ONE_STEM__LABEL_NEXT_TO_RIGHT_SIDE_FLOWER	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1003-E0079	EXACT_GDT581_SPAN__ONE_PRIMARY_DEFAULT__TECHNICAL_SHELL_FIXED
2	GDT581_NAME_SPAN	LOCAL_NAME:P1003-E0080:NAME_1	P1003-E0080	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1003-E0080	f17r	HERBAL	f17r.13	Name oder Kennung fuer Bezeichnung bei der abgebildeten ganzen Bluetenpflanze	oiil	{NAME_1}	1	oiil	PICTURED_PLANT	PICTURED_PLANT::oiil	GDT582-N002	1	SINGLE_LEARNED_VALUE	ONE_PICTURED_PLANT_LABEL	ONE_PICTURED_PLANT_TWO_FLOWER_FORMS	PLAIN_LEFT_FLOWER_FORM	OPAQUE_WHOLE_CORE	linke Blütenform	linke Blütenform A	ganze Heilpflanze B	Hauptname derselben Pflanze	ONE_ROOT_ONE_STEM__LABEL_NEXT_TO_LEFT_SIDE_FLOWER	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1003-E0080	EXACT_GDT581_SPAN__ONE_PRIMARY_DEFAULT__TECHNICAL_SHELL_FIXED
3	GDT581_NAME_SPAN	LOCAL_NAME:P1003-E0596:NAME_1	P1003-E0596	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1003-E0596	f71v	CELESTIAL	f71v.2	Name oder Kennung fuer erste lokale Figuren-/Sternringgruppe	arom	ar{NAME_1}	1	om	STAR_BEARING_RING_POSITION	STAR_BEARING_RING_POSITION::om	GDT582-N003	1	PRIMARY_RECORD_VALUE	STAR_BEARING_FIGURE_LABEL	LONG_LEARNED_RING_VALUE	LEARNED_PRIMARY_RING_VALUE	OPAQUE_LEARNED_OR_REUSABLE_VALUE	gelernter Ringfiguren- oder Sternwert OM	Ringwert OM	NONE	gelernter Figuren- oder Sternname OM	1_OCCURRENCES__PRIMARY_RECORD_VALUE__POSITION_FROM_PANEL_RING_LOCUS	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1003-E0596	EXACT_GDT581_SPAN__ONE_PRIMARY_DEFAULT__TECHNICAL_SHELL_FIXED
4	GDT581_NAME_SPAN	LOCAL_NAME:P1003-E0597:NAME_1	P1003-E0597	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1003-E0597	f71v	CELESTIAL	f71v.3	Name oder Kennung fuer erste lokale Figuren-/Sternringgruppe	chfaly	{NAME_1}aly	1	chf	STAR_BEARING_RING_POSITION	STAR_BEARING_RING_POSITION::chf	GDT582-N004	1	PRIMARY_RECORD_VALUE	STAR_BEARING_FIGURE_LABEL	LONG_LEARNED_RING_VALUE	LEARNED_PRIMARY_RING_VALUE	OPAQUE_LEARNED_OR_REUSABLE_VALUE	gelernter Ringfiguren- oder Sternwert CHF	Ringwert CHF	NONE	gelernter Figuren- oder Sternname CHF	1_OCCURRENCES__PRIMARY_RECORD_VALUE__POSITION_FROM_PANEL_RING_LOCUS	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1003-E0597	EXACT_GDT581_SPAN__ONE_PRIMARY_DEFAULT__TECHNICAL_SHELL_FIXED
5	GDT581_NAME_SPAN	LOCAL_NAME:P1003-E0599:NAME_1	P1003-E0599	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1003-E0599	f71v	CELESTIAL	f71v.5	Name oder Kennung fuer erste lokale Figuren-/Sternringgruppe	otchody	ot{NAME_1}	1	chody	STAR_BEARING_RING_POSITION	STAR_BEARING_RING_POSITION::chody	GDT582-N005	1	PRIMARY_RECORD_VALUE	STAR_BEARING_FIGURE_LABEL	LONG_LEARNED_RING_VALUE	LEARNED_PRIMARY_RING_VALUE	OPAQUE_LEARNED_OR_REUSABLE_VALUE	gelernter Ringfiguren- oder Sternwert CHODY	Ringwert CHODY	NONE	gelernter Figuren- oder Sternname CHODY	1_OCCURRENCES__PRIMARY_RECORD_VALUE__POSITION_FROM_PANEL_RING_LOCUS	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1003-E0599	EXACT_GDT581_SPAN__ONE_PRIMARY_DEFAULT__TECHNICAL_SHELL_FIXED
6	GDT581_NAME_SPAN	LOCAL_NAME:P1003-E0606:NAME_1	P1003-E0606	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1003-E0606	f71v	CELESTIAL	f71v.10	Name oder Kennung fuer erste lokale Figuren-/Sternringgruppe	opalar	{NAME_1}alar	1	op	STAR_BEARING_RING_POSITION	STAR_BEARING_RING_POSITION::op	GDT582-N006	1	PRIMARY_RECORD_VALUE	STAR_BEARING_FIGURE_LABEL	SHORT_REPEATED_RING_VALUE	REPEATED_PRIMARY_RING_VALUE	OPAQUE_LEARNED_OR_REUSABLE_VALUE	wiederkehrender Ring- oder Kalenderwert OP	Ringwert OP	NONE	gelernter Figuren- oder Sternname OP	3_OCCURRENCES__PRIMARY_RECORD_VALUE__POSITION_FROM_PANEL_RING_LOCUS	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1003-E0606	EXACT_GDT581_SPAN__ONE_PRIMARY_DEFAULT__TECHNICAL_SHELL_FIXED
7	GDT581_NAME_SPAN	LOCAL_NAME:P1003-E0609:NAME_1	P1003-E0609	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1003-E0609	f71v	CELESTIAL	f71v.11	Name oder Kennung fuer erste lokale Figuren-/Sternringgruppe	opalor	{NAME_1}alor	1	op	STAR_BEARING_RING_POSITION	STAR_BEARING_RING_POSITION::op	GDT582-N006	1	PRIMARY_RECORD_VALUE	STAR_BEARING_FIGURE_LABEL	SHORT_REPEATED_RING_VALUE	REPEATED_PRIMARY_RING_VALUE	OPAQUE_LEARNED_OR_REUSABLE_VALUE	wiederkehrender Ring- oder Kalenderwert OP	Ringwert OP	NONE	gelernter Figuren- oder Sternname OP	3_OCCURRENCES__PRIMARY_RECORD_VALUE__POSITION_FROM_PANEL_RING_LOCUS	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1003-E0609	EXACT_GDT581_SPAN__ONE_PRIMARY_DEFAULT__TECHNICAL_SHELL_FIXED
8	GDT581_NAME_SPAN	LOCAL_NAME:P1003-E0641:NAME_1	P1003-E0641	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1003-E0641	f71v	CELESTIAL	f71v.13	Name oder Kennung fuer zweite lokale Figuren-/Sternringgruppe	ofaom	of{NAME_1}	1	aom	STAR_BEARING_RING_POSITION	STAR_BEARING_RING_POSITION::aom	GDT582-N007	1	PRIMARY_RECORD_VALUE	STAR_BEARING_FIGURE_LABEL	LONG_LEARNED_RING_VALUE	LEARNED_PRIMARY_RING_VALUE	OPAQUE_LEARNED_OR_REUSABLE_VALUE	gelernter Ringfiguren- oder Sternwert AOM	Ringwert AOM	NONE	gelernter Figuren- oder Sternname AOM	1_OCCURRENCES__PRIMARY_RECORD_VALUE__POSITION_FROM_PANEL_RING_LOCUS	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1003-E0641	EXACT_GDT581_SPAN__ONE_PRIMARY_DEFAULT__TECHNICAL_SHELL_FIXED
9	GDT581_NAME_SPAN	LOCAL_NAME:P1003-E0642:NAME_1	P1003-E0642	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1003-E0642	f71v	CELESTIAL	f71v.14	Name oder Kennung fuer zweite lokale Figuren-/Sternringgruppe	otalody	otal{NAME_1}	1	ody	STAR_BEARING_RING_POSITION	STAR_BEARING_RING_POSITION::ody	GDT582-N008	1	PRIMARY_RECORD_VALUE	STAR_BEARING_FIGURE_LABEL	LONG_LEARNED_RING_VALUE	LEARNED_PRIMARY_RING_VALUE	OPAQUE_LEARNED_OR_REUSABLE_VALUE	gelernter Ringfiguren- oder Sternwert ODY	Ringwert ODY	NONE	gelernter Figuren- oder Sternname ODY	1_OCCURRENCES__PRIMARY_RECORD_VALUE__POSITION_FROM_PANEL_RING_LOCUS	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1003-E0642	EXACT_GDT581_SPAN__ONE_PRIMARY_DEFAULT__TECHNICAL_SHELL_FIXED
10	GDT581_NAME_SPAN	LOCAL_NAME:P1003-E0646:NAME_1	P1003-E0646	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1003-E0646	f71v	CELESTIAL	f71v.17	Name oder Kennung fuer zweite lokale Figuren-/Sternringgruppe	sholshdy	sholsh{NAME_1}	1	dy	STAR_BEARING_RING_POSITION	STAR_BEARING_RING_POSITION::dy	GDT582-N009	1	PRIMARY_RECORD_VALUE	STAR_BEARING_FIGURE_LABEL	SHORT_REPEATED_RING_VALUE	REPEATED_PRIMARY_AND_CARRIED_RING_VALUE	OPAQUE_LEARNED_OR_REUSABLE_VALUE	wiederkehrender Ring- oder Kalenderwert DY	Ringwert DY	NONE	gelernter Figuren- oder Sternname DY	4_OCCURRENCES__PRIMARY_AND_CARRIED_VALUE__POSITION_FROM_PANEL_RING_LOCUS	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1003-E0646	EXACT_GDT581_SPAN__ONE_PRIMARY_DEFAULT__TECHNICAL_SHELL_FIXED
