type_ordinal	gdt582_name_default_id	class_core_key	content_class	raw_name_core	occurrence_count	source_occurrence_count	first_slot_count	later_slot_count	label_count	physical_pages	surfaces	gdt582_provisional_default_de	gdt585_primary_default_de	semantic_family	name_role	segmentation_status	composition_atom_de	substance_head_de	plant_part_de	series_tags	legacy_house_alias_de	strongest_rival_de	working_basis	disposition	guard
1	GDT582-N001	PICTURED_PLANT::eeeon	PICTURED_PLANT	eeeon	1	1	1	0	1	f17r	oteeeon	ganze blühende Heilpflanze	rechte Blütenform	ONE_PICTURED_PLANT_TWO_FLOWER_FORMS	OT_MARKED_RIGHT_FLOWER_FORM	OPAQUE_WHOLE_CORE	rechte Blütenform B	dieselbe abgebildete Pflanze	Seitenblütenstand	ONE_PICTURED_PLANT_TWO_FLOWER_FORMS	ganze blühende Heilpflanze	weiterer Pflanzenname oder Beiname derselben Art	ONE_ROOT_ONE_STEM__LABEL_NEXT_TO_RIGHT_SIDE_FLOWER	ONE_PLANT_TWO_FLOWER_FORMS__NAME_PAIR_RETAINED_AS_RIVAL	CLASS_IS_PART_OF_KEY__NO_AUTOMATIC_SUBSTRING_PARSE__RIVAL_VISIBLE
2	GDT582-N002	PICTURED_PLANT::oiil	PICTURED_PLANT	oiil	1	1	1	0	1	f17r	oiil	ganze Heilpflanze B	linke Blütenform	ONE_PICTURED_PLANT_TWO_FLOWER_FORMS	PLAIN_LEFT_FLOWER_FORM	OPAQUE_WHOLE_CORE	linke Blütenform A	dieselbe abgebildete Pflanze	Seitenblütenstand	ONE_PICTURED_PLANT_TWO_FLOWER_FORMS	ganze Heilpflanze B	Hauptname derselben Pflanze	ONE_ROOT_ONE_STEM__LABEL_NEXT_TO_LEFT_SIDE_FLOWER	ONE_PLANT_TWO_FLOWER_FORMS__NAME_PAIR_RETAINED_AS_RIVAL	CLASS_IS_PART_OF_KEY__NO_AUTOMATIC_SUBSTRING_PARSE__RIVAL_VISIBLE
3	GDT582-N003	STAR_BEARING_RING_POSITION::om	STAR_BEARING_RING_POSITION	om	1	1	1	0	1	f71v	arom	Sternringstelle 01	gelernter Ringfiguren- oder Sternwert OM	LONG_LEARNED_RING_VALUE	LEARNED_PRIMARY_RING_VALUE	OPAQUE_LEARNED_OR_REUSABLE_VALUE	Ringwert OM	NONE	NONE	NONE	NONE	gelernter Figuren- oder Sternname OM	1_OCCURRENCES__PRIMARY_RECORD_VALUE__POSITION_FROM_PANEL_RING_LOCUS	SERIAL_POSITION_REPLACED_BY_RING_VALUE_ROLE	CLASS_IS_PART_OF_KEY__NO_AUTOMATIC_SUBSTRING_PARSE__RIVAL_VISIBLE
4	GDT582-N004	STAR_BEARING_RING_POSITION::chf	STAR_BEARING_RING_POSITION	chf	1	1	1	0	1	f71v	chfaly	Sternringstelle 02	gelernter Ringfiguren- oder Sternwert CHF	LONG_LEARNED_RING_VALUE	LEARNED_PRIMARY_RING_VALUE	OPAQUE_LEARNED_OR_REUSABLE_VALUE	Ringwert CHF	NONE	NONE	CH_SERIES	NONE	gelernter Figuren- oder Sternname CHF	1_OCCURRENCES__PRIMARY_RECORD_VALUE__POSITION_FROM_PANEL_RING_LOCUS	SERIAL_POSITION_REPLACED_BY_RING_VALUE_ROLE	CLASS_IS_PART_OF_KEY__NO_AUTOMATIC_SUBSTRING_PARSE__RIVAL_VISIBLE
5	GDT582-N005	STAR_BEARING_RING_POSITION::chody	STAR_BEARING_RING_POSITION	chody	1	1	1	0	1	f71v	otchody	Sternringstelle 03	gelernter Ringfiguren- oder Sternwert CHODY	LONG_LEARNED_RING_VALUE	LEARNED_PRIMARY_RING_VALUE	OPAQUE_LEARNED_OR_REUSABLE_VALUE	Ringwert CHODY	NONE	NONE	CH_SERIES|DY_SERIES	NONE	gelernter Figuren- oder Sternname CHODY	1_OCCURRENCES__PRIMARY_RECORD_VALUE__POSITION_FROM_PANEL_RING_LOCUS	SERIAL_POSITION_REPLACED_BY_RING_VALUE_ROLE	CLASS_IS_PART_OF_KEY__NO_AUTOMATIC_SUBSTRING_PARSE__RIVAL_VISIBLE
6	GDT582-N006	STAR_BEARING_RING_POSITION::op	STAR_BEARING_RING_POSITION	op	3	3	3	0	3	f71v|f72r	opalal|opalar|opalor	Sternringstelle 04	wiederkehrender Ring- oder Kalenderwert OP	SHORT_REPEATED_RING_VALUE	REPEATED_PRIMARY_RING_VALUE	OPAQUE_LEARNED_OR_REUSABLE_VALUE	Ringwert OP	NONE	NONE	OP_SERIES	NONE	gelernter Figuren- oder Sternname OP	3_OCCURRENCES__PRIMARY_RECORD_VALUE__POSITION_FROM_PANEL_RING_LOCUS	SERIAL_POSITION_REPLACED_BY_RING_VALUE_ROLE	CLASS_IS_PART_OF_KEY__NO_AUTOMATIC_SUBSTRING_PARSE__RIVAL_VISIBLE
7	GDT582-N007	STAR_BEARING_RING_POSITION::aom	STAR_BEARING_RING_POSITION	aom	1	1	1	0	1	f71v	ofaom	Sternringstelle 05	gelernter Ringfiguren- oder Sternwert AOM	LONG_LEARNED_RING_VALUE	LEARNED_PRIMARY_RING_VALUE	OPAQUE_LEARNED_OR_REUSABLE_VALUE	Ringwert AOM	NONE	NONE	NONE	NONE	gelernter Figuren- oder Sternname AOM	1_OCCURRENCES__PRIMARY_RECORD_VALUE__POSITION_FROM_PANEL_RING_LOCUS	SERIAL_POSITION_REPLACED_BY_RING_VALUE_ROLE	CLASS_IS_PART_OF_KEY__NO_AUTOMATIC_SUBSTRING_PARSE__RIVAL_VISIBLE
8	GDT582-N008	STAR_BEARING_RING_POSITION::ody	STAR_BEARING_RING_POSITION	ody	1	1	1	0	1	f71v	otalody	Sternringstelle 06	gelernter Ringfiguren- oder Sternwert ODY	LONG_LEARNED_RING_VALUE	LEARNED_PRIMARY_RING_VALUE	OPAQUE_LEARNED_OR_REUSABLE_VALUE	Ringwert ODY	NONE	NONE	DY_SERIES	NONE	gelernter Figuren- oder Sternname ODY	1_OCCURRENCES__PRIMARY_RECORD_VALUE__POSITION_FROM_PANEL_RING_LOCUS	SERIAL_POSITION_REPLACED_BY_RING_VALUE_ROLE	CLASS_IS_PART_OF_KEY__NO_AUTOMATIC_SUBSTRING_PARSE__RIVAL_VISIBLE
9	GDT582-N009	STAR_BEARING_RING_POSITION::dy	STAR_BEARING_RING_POSITION	dy	4	4	2	2	4	f71v|f72r	ofsholdy|oklairdy|sholshdy|ytalshdy	Sternringstelle 07	wiederkehrender Ring- oder Kalenderwert DY	SHORT_REPEATED_RING_VALUE	REPEATED_PRIMARY_AND_CARRIED_RING_VALUE	OPAQUE_LEARNED_OR_REUSABLE_VALUE	Ringwert DY	NONE	NONE	DY_SERIES	NONE	gelernter Figuren- oder Sternname DY	4_OCCURRENCES__PRIMARY_AND_CARRIED_VALUE__POSITION_FROM_PANEL_RING_LOCUS	SERIAL_POSITION_REPLACED_BY_RING_VALUE_ROLE	CLASS_IS_PART_OF_KEY__NO_AUTOMATIC_SUBSTRING_PARSE__RIVAL_VISIBLE
10	GDT582-N010	STAR_BEARING_RING_POSITION::o	STAR_BEARING_RING_POSITION	o	3	3	2	1	2	f72r	octho|oshodady	Sternringstelle 08	wiederkehrender Ring- oder Kalenderwert O	SHORT_REPEATED_RING_VALUE	REPEATED_PRIMARY_AND_CARRIED_RING_VALUE	OPAQUE_LEARNED_OR_REUSABLE_VALUE	Ringwert O	NONE	NONE	NONE	NONE	gelernter Figuren- oder Sternname O	3_OCCURRENCES__PRIMARY_AND_CARRIED_VALUE__POSITION_FROM_PANEL_RING_LOCUS	SERIAL_POSITION_REPLACED_BY_RING_VALUE_ROLE	CLASS_IS_PART_OF_KEY__NO_AUTOMATIC_SUBSTRING_PARSE__RIVAL_VISIBLE
