carrier_id	members	qualified_occurrences	pages	observed_families	expected_families	matching_occurrences	exact_surface_occurs_twice_globally	accepted_local_attachment	working_role	selection_scope
EXACT_DSHEODY	dsheody	2	f102r1|f86v3	KCH	KCH	2	1	1	RECURRENT_TECHNICAL_OR_CLAUSE_CARRIER	EXPLORATORY_POST_HOC_CARRIER_SEARCH
EXACT_KOOIIN	kooiin	2	f29v|f2v	TCH	TCH	2	1	1	GENERIC_HERBAL_ENTRY_OR_CLASS	EXPLORATORY_POST_HOC_CARRIER_SEARCH
EXACT_PORAIIN	poraiin	2	f107v|f113v	KCH	KCH	2	1	1	RECURRENT_TECHNICAL_OR_CLAUSE_CARRIER	EXPLORATORY_POST_HOC_CARRIER_SEARCH
EXACT_TCHDOR	tchdor	2	f115v|f95r1	TCH	TCH	2	1	1	RECURRENT_TECHNICAL_OR_CLAUSE_CARRIER	EXPLORATORY_POST_HOC_CARRIER_SEARCH
EXACT_TSHOD	tshod	2	f106v|f95r2	KCH	KCH	2	1	1	RECURRENT_TECHNICAL_OR_CLAUSE_CARRIER	EXPLORATORY_POST_HOC_CARRIER_SEARCH
EXACT_YSHOL	yshol	2	f42r|f90r1	TCH	TCH	2	1	1	RECURRENT_TECHNICAL_OR_CLAUSE_CARRIER	EXPLORATORY_POST_HOC_CARRIER_SEARCH
FAMILY_CHODY	kchody|tchody|kdchody	6	f20r|f51v|f5r|f6v|f95v1|f95v2	KSH|NONE|TCH	TCH	3	0	0	NORMALIZED_ENTRY_CORE	EXPLORATORY_POST_HOC_CARRIER_SEARCH
FAMILY_KOARY	koary|korary	2	f45v|f6v	KCH	KCH	2	0	0	NORMALIZED_ENTRY_CORE	EXPLORATORY_POST_HOC_CARRIER_SEARCH
FAMILY_KOOAIIN	kooiin|koaiin	3	f29v|f2v|f3v	NONE|TCH	TCH	2	0	0	RHIZOME_OR_ROOTSTOCK_CANDIDATE	EXPLORATORY_POST_HOC_CARRIER_SEARCH
FAMILY_PDAIR_ROOT	pdrairdy|podairol|podair|pdair|pdsairy	5	f18r|f23v|f31v|f39v|f43v	KCH|NONE|TCH	MIXED	0	0	0	ROOT_OR_UNDERGROUND_PART_CANDIDATE	EXPLORATORY_POST_HOC_CARRIER_SEARCH
FAMILY_SHODY	fshody|tshody|tshedy|kshedy	10	f107v|f113r|f115v|f17r|f37v|f77v|f80v|f94v|f95r2	KCH|NONE	KCH	3	0	0	NORMALIZED_ENTRY_CORE	EXPLORATORY_POST_HOC_CARRIER_SEARCH
