state_id	surfaces	context	occurrences	pages	no_strict_q_on_page	nearest_dry	nearest_moist	nearest_moist_rate	within_one_line_dry	within_one_line_moist	within_one_line_moist_rate	corpus_q_dry	corpus_q_moist	corpus_q_moist_rate	working_default_de	status	claim_limit
CHODY	chody	ALL_SAFE_NO_F1R	78	56	12	65	1	0.015152	33	1	0.029412	455	57	0.111328	trocken oder Trockenklasse	DRY_CLASS_DEFAULT_MEDIUM	chody is the strongest dry-class candidate. shody's moist reading is rejected by its own context. shedy retains only a weak register-local moist-class reading; fresh and moistened are separate hypotheses and are not merged here.
CHODY	chody	SECTION_C__LANG_B	1	1	0	1	0	0.000000	0	0	0.000000	455	57	0.111328	trocken oder Trockenklasse	DRY_CLASS_DEFAULT_MEDIUM	chody is the strongest dry-class candidate. shody's moist reading is rejected by its own context. shedy retains only a weak register-local moist-class reading; fresh and moistened are separate hypotheses and are not merged here.
CHODY	chody	SECTION_H__LANG_A	27	20	3	24	0	0.000000	13	0	0.000000	455	57	0.111328	trocken oder Trockenklasse	DRY_CLASS_DEFAULT_MEDIUM	chody is the strongest dry-class candidate. shody's moist reading is rejected by its own context. shedy retains only a weak register-local moist-class reading; fresh and moistened are separate hypotheses and are not merged here.
CHODY	chody	SECTION_H__LANG_B	15	13	3	12	0	0.000000	9	0	0.000000	455	57	0.111328	trocken oder Trockenklasse	DRY_CLASS_DEFAULT_MEDIUM	chody is the strongest dry-class candidate. shody's moist reading is rejected by its own context. shedy retains only a weak register-local moist-class reading; fresh and moistened are separate hypotheses and are not merged here.
CHODY	chody	SECTION_P__LANG_A	7	5	5	2	0	0.000000	0	0	0.000000	455	57	0.111328	trocken oder Trockenklasse	DRY_CLASS_DEFAULT_MEDIUM	chody is the strongest dry-class candidate. shody's moist reading is rejected by its own context. shedy retains only a weak register-local moist-class reading; fresh and moistened are separate hypotheses and are not merged here.
CHODY	chody	SECTION_S__LANG_A	1	1	1	0	0	0.000000	0	0	0.000000	455	57	0.111328	trocken oder Trockenklasse	DRY_CLASS_DEFAULT_MEDIUM	chody is the strongest dry-class candidate. shody's moist reading is rejected by its own context. shedy retains only a weak register-local moist-class reading; fresh and moistened are separate hypotheses and are not merged here.
CHODY	chody	SECTION_S__LANG_B	22	13	0	21	1	0.045455	10	1	0.090909	455	57	0.111328	trocken oder Trockenklasse	DRY_CLASS_DEFAULT_MEDIUM	chody is the strongest dry-class candidate. shody's moist reading is rejected by its own context. shedy retains only a weak register-local moist-class reading; fresh and moistened are separate hypotheses and are not merged here.
CHODY	chody	SECTION_T__LANG_B	5	3	0	5	0	0.000000	1	0	0.000000	455	57	0.111328	trocken oder Trockenklasse	DRY_CLASS_DEFAULT_MEDIUM	chody is the strongest dry-class candidate. shody's moist reading is rejected by its own context. shedy retains only a weak register-local moist-class reading; fresh and moistened are separate hypotheses and are not merged here.
SHODY	shody	ALL_SAFE_NO_F1R	46	32	8	37	1	0.026316	14	0	0.000000	455	57	0.111328	gelernte Form im Trocken-Kontext; Inhalt offen	MOIST_DEFAULT_REJECTED__WHOLE_FORM_OPEN	chody is the strongest dry-class candidate. shody's moist reading is rejected by its own context. shedy retains only a weak register-local moist-class reading; fresh and moistened are separate hypotheses and are not merged here.
SHODY	shody	SECTION_B__LANG_B	1	1	1	0	0	0.000000	0	0	0.000000	455	57	0.111328	gelernte Form im Trocken-Kontext; Inhalt offen	MOIST_DEFAULT_REJECTED__WHOLE_FORM_OPEN	chody is the strongest dry-class candidate. shody's moist reading is rejected by its own context. shedy retains only a weak register-local moist-class reading; fresh and moistened are separate hypotheses and are not merged here.
SHODY	shody	SECTION_H__LANG_A	18	13	4	14	0	0.000000	7	0	0.000000	455	57	0.111328	gelernte Form im Trocken-Kontext; Inhalt offen	MOIST_DEFAULT_REJECTED__WHOLE_FORM_OPEN	chody is the strongest dry-class candidate. shody's moist reading is rejected by its own context. shedy retains only a weak register-local moist-class reading; fresh and moistened are separate hypotheses and are not merged here.
SHODY	shody	SECTION_H__LANG_B	10	8	3	7	0	0.000000	2	0	0.000000	455	57	0.111328	gelernte Form im Trocken-Kontext; Inhalt offen	MOIST_DEFAULT_REJECTED__WHOLE_FORM_OPEN	chody is the strongest dry-class candidate. shody's moist reading is rejected by its own context. shedy retains only a weak register-local moist-class reading; fresh and moistened are separate hypotheses and are not merged here.
SHODY	shody	SECTION_P__LANG_A	1	1	0	1	0	0.000000	0	0	0.000000	455	57	0.111328	gelernte Form im Trocken-Kontext; Inhalt offen	MOIST_DEFAULT_REJECTED__WHOLE_FORM_OPEN	chody is the strongest dry-class candidate. shody's moist reading is rejected by its own context. shedy retains only a weak register-local moist-class reading; fresh and moistened are separate hypotheses and are not merged here.
SHODY	shody	SECTION_S__LANG_B	11	7	0	11	0	0.000000	4	0	0.000000	455	57	0.111328	gelernte Form im Trocken-Kontext; Inhalt offen	MOIST_DEFAULT_REJECTED__WHOLE_FORM_OPEN	chody is the strongest dry-class candidate. shody's moist reading is rejected by its own context. shedy retains only a weak register-local moist-class reading; fresh and moistened are separate hypotheses and are not merged here.
SHODY	shody	SECTION_T__LANG_B	5	2	0	4	1	0.200000	1	0	0.000000	455	57	0.111328	gelernte Form im Trocken-Kontext; Inhalt offen	MOIST_DEFAULT_REJECTED__WHOLE_FORM_OPEN	chody is the strongest dry-class candidate. shody's moist reading is rejected by its own context. shedy retains only a weak register-local moist-class reading; fresh and moistened are separate hypotheses and are not merged here.
SHEDY	shedy	ALL_SAFE_NO_F1R	390	65	64	247	79	0.242331	69	22	0.241758	455	57	0.111328	feucht oder Feuchtklasse	REGISTER_LOCAL_MOIST_CLASS_DEFAULT_WEAK	chody is the strongest dry-class candidate. shody's moist reading is rejected by its own context. shedy retains only a weak register-local moist-class reading; fresh and moistened are separate hypotheses and are not merged here.
SHEDY	shedy	SECTION_B__LANG_B	184	17	46	98	40	0.289855	18	11	0.379310	455	57	0.111328	feucht oder Feuchtklasse	REGISTER_LOCAL_MOIST_CLASS_DEFAULT_WEAK	chody is the strongest dry-class candidate. shody's moist reading is rejected by its own context. shedy retains only a weak register-local moist-class reading; fresh and moistened are separate hypotheses and are not merged here.
