folio	page_head	head_reading_stability	dominant_underground_feature	reproductive_feature	exact_shor_loci	working_role	role_confidence	counterevidence
f2v	kooiin	STABLE_ZL_IT_RF	Beaded horizontal underground stock	One flower-like terminal unit	NONE	THICK_OR_CREEPING_ROOT_DRUG_SUBCLASS	MEDIUM	Other rootstock-rich pages lack kooiin
f3v	koaiin	STABLE_ZL_IT_RF	Clearest long segmented horizontal rootstock	Terminal flower structure	NONE	THICK_OR_CREEPING_ROOT_DRUG_SUBCLASS	MEDIUM	Singleton and no nearby complete TCH code
f6v	koary	IT_SPLITS_KOAR_Y__RF_JOINS_KOARYSAR	Ordinary root fan	Many round spiny terminal bodies	f6v.1	FRUIT_SEED_OR_REPRODUCTIVE_DRUG	WEAK	Unstable word boundary and quality code is nine lines later
f15v	poror	READING_VARIANT_POROR_PAROR	Ordinary roots	Long conspicuous terminal reproductive structure	NONE	HERBAL_RECORD_OPENER	STRUCTURAL	Obvious reproductive structure lacks shor
f18r	pdrairdy	STABLE_ZL_IT_RF	Conspicuous branching fine roots	Very large flower	f18r.5|f18r.10	ROOT_PART_OR_RADIX_ENTRY	MEDIUM	Flower is at least as visually salient as the roots
f23v	podairol	STABLE_ZL_IT_RF	Exceptionally long thick branching red roots	Several terminal flowers	f23v.5|f23v.6	ROOT_PART_OR_RADIX_ENTRY	MEDIUM	Also has conspicuous flowers
f29v	kooiin	STABLE_ZL_IT_RF	Forked knotted underground stock	Several terminal buds or flowers	f29v.1	THICK_OR_CREEPING_ROOT_DRUG_SUBCLASS	MEDIUM	Above-ground plant differs completely from f2v
f31v	podair	STABLE_ZL_IT_RF	Extremely large fine root fan	Dense terminal seed or flower head	NONE	ROOT_PART_OR_RADIX_ENTRY	MEDIUM	The page is Currier B and outside the frequency panel
f39v	pdair	RF_SPLITS_P_AIR	One large divided root system	Two large flower clusters	f39v.6	ROOT_PART_OR_RADIX_ENTRY	MEDIUM	The p wrapper can split from the AIR core
f43v	pdsairy	STABLE_ZL_IT_RF	Two distinct units with spiral storage root and fine root fan	Several terminal reproductive structures	NONE	ROOT_PART_OR_RADIX_PAGE_CLASS	MEDIUM	The head cannot be assigned to one root morphology or species
f45v	korary	RF_READS_KOSARY	Huge branching rootstock	Many terminal oval bodies	f45v.1	FRUIT_SEED_OR_REPRODUCTIVE_DRUG	WEAK	Large rootstock and reading instability weaken a reproductive-only value
