scope	mode	rank_within_scope_mode	assignment_id	k	t	ch	sh	hot_dry	hot_moist	cold_dry	cold_moist	total_variation_smoothed	is_v1	is_v2
ALL_SAFE_NO_F1R	EXACT_Y_EY	1	KT_THERMAL__K_HOT__CH_DRY	HOT	COLD	DRY	MOIST	89	17	79	7	0.241557	0	1
ALL_SAFE_NO_F1R	EXACT_Y_EY	2	KT_MOISTURE__K_DRY__CH_HOT	DRY	MOIST	HOT	COLD	89	79	17	7	0.310523	0	0
ALL_SAFE_NO_F1R	EXACT_Y_EY	3	KT_THERMAL__K_COLD__CH_DRY	COLD	HOT	DRY	MOIST	79	7	89	17	0.344650	0	0
ALL_SAFE_NO_F1R	EXACT_Y_EY	4	KT_MOISTURE__K_MOIST__CH_HOT	MOIST	DRY	HOT	COLD	79	89	7	17	0.413615	0	0
ALL_SAFE_NO_F1R	EXACT_Y_EY	5	KT_MOISTURE__K_DRY__CH_COLD	DRY	MOIST	COLD	HOT	17	7	89	79	0.664237	0	0
ALL_SAFE_NO_F1R	EXACT_Y_EY	6	KT_MOISTURE__K_MOIST__CH_COLD	MOIST	DRY	COLD	HOT	7	17	79	89	0.664237	0	0
ALL_SAFE_NO_F1R	EXACT_Y_EY	7	KT_THERMAL__K_COLD__CH_MOIST	COLD	HOT	MOIST	DRY	7	79	17	89	0.733203	0	0
ALL_SAFE_NO_F1R	EXACT_Y_EY	8	KT_THERMAL__K_HOT__CH_MOIST	HOT	COLD	MOIST	DRY	17	89	7	79	0.733203	1	0
ALL_SAFE_NO_F1R	Q_PREFIX	1	KT_THERMAL__K_HOT__CH_DRY	HOT	COLD	DRY	MOIST	250	41	205	16	0.225010	0	1
ALL_SAFE_NO_F1R	Q_PREFIX	2	KT_MOISTURE__K_DRY__CH_HOT	DRY	MOIST	HOT	COLD	250	205	41	16	0.293976	0	0
ALL_SAFE_NO_F1R	Q_PREFIX	3	KT_THERMAL__K_COLD__CH_DRY	COLD	HOT	DRY	MOIST	205	16	250	41	0.361197	0	0
ALL_SAFE_NO_F1R	Q_PREFIX	4	KT_MOISTURE__K_MOIST__CH_HOT	MOIST	DRY	HOT	COLD	205	250	16	41	0.430162	0	0
ALL_SAFE_NO_F1R	Q_PREFIX	5	KT_MOISTURE__K_DRY__CH_COLD	DRY	MOIST	COLD	HOT	41	16	250	205	0.680263	0	0
ALL_SAFE_NO_F1R	Q_PREFIX	6	KT_MOISTURE__K_MOIST__CH_COLD	MOIST	DRY	COLD	HOT	16	41	205	250	0.680263	0	0
ALL_SAFE_NO_F1R	Q_PREFIX	7	KT_THERMAL__K_COLD__CH_MOIST	COLD	HOT	MOIST	DRY	16	205	41	250	0.749228	0	0
ALL_SAFE_NO_F1R	Q_PREFIX	8	KT_THERMAL__K_HOT__CH_MOIST	HOT	COLD	MOIST	DRY	41	250	16	205	0.749228	1	0
