reading_id	page	locus_span	surface_span	working_reading_de	quality_families	basis	unmapped_policy
F15_A	f15v	f15v.4-4	doiin choky shol qoky qotchod	<doiin> <choky> <shol> <qoky> [kalt und trocken]	TCH	conditional Herb Paris contact	ANGLE_BRACKETS_PRESERVE_UNTRANSLATED_SURFACES
F15_B	f15v	f15v.6-6	qotchey choty kaiin otchy r aiin	[kalt und trocken] <choty> <kaiin> <otchy> <r> <aiin>	TCH	conditional Herb Paris contact	ANGLE_BRACKETS_PRESERVE_UNTRANSLATED_SURFACES
F24_PAIR	f24r	f24r.12-12	qokchy qotchy tol tod ckhy	[heiß und trocken] [kalt und trocken] <tol> <tod> <ckhy>	KCH|TCH	thermal minimal pair	ANGLE_BRACKETS_PRESERVE_UNTRANSLATED_SURFACES
F25_PAIR	f25r	f25r.3-3	qotchy qotshy cheesees sheear s chain daiin chain dan	[kalt und trocken] [kalt und feucht] <cheesees> <sheear> <s> <chain> <daiin> <chain> <dan>	TCH|TSH	moisture minimal pair	ANGLE_BRACKETS_PRESERVE_UNTRANSLATED_SURFACES
F28_PAIR	f28v	f28v.5-5	otol chol daiin chkaiin shoiin qotchey qotshey daiiin	<otol> <chol> <daiin> <chkaiin> <shoiin> [kalt und trocken] [kalt und feucht] <daiiin>	TCH|TSH	moisture minimal pair	ANGLE_BRACKETS_PRESERVE_UNTRANSLATED_SURFACES
KOOIIN_F2	f2v	f2v.1-2	kooiin cheo pchor otaiin odain chor dair shty / kcho kchy sho shol qotcho loeees qoty chor daiin	[kalte-trockene dicke/kriechende Wurzeldroge] <cheo> <pchor> <otaiin> <odain> <chor> <dair> <shty> / <kcho> <kchy> <sho> <shol> [kalt und trocken] <loeees> <qoty> <chor> <daiin>	TCH	repeated page-head and rootstock candidate	ANGLE_BRACKETS_PRESERVE_UNTRANSLATED_SURFACES
KOOIIN_F29	f29v	f29v.1-2	kooiin shor chetchy ol ls shytchy cthy shy cho shy daiin / qotcheaiin s chol chol cthy chey cthold ytchor dary	[kalte-trockene dicke/kriechende Wurzeldroge] [Blüten-/Fruchtstand?] <chetchy> <ol> <ls> <shytchy> <cthy> <shy> <cho> <shy> <daiin> / [kalt und trocken] <s> <chol> <chol> <cthy> <chey> <cthold> <ytchor> <dary>	TCH	repeated page-head and rootstock candidate	ANGLE_BRACKETS_PRESERVE_UNTRANSLATED_SURFACES
KOOAIIN_F3	f3v	f3v.1-1	koaiin cphor qotoy sha ckhol ykoaiin s oly	[dicke/kriechende Wurzeldrogen-Unterklasse] <cphor> <qotoy> <sha> <ckhol> <ykoaiin> <s> <oly>	NONE	one-edit rootstock candidate	ANGLE_BRACKETS_PRESERVE_UNTRANSLATED_SURFACES
PDROOT_F18	f18r	f18r.1-2	pdrairdy darod yoar ykchol dar om chckhy octhor dal / otshol qokchol chykchy okchal daiin dy chol dain	[Wurzelteil/Radix-Eintrag] <darod> <yoar> <ykchol> <dar> <om> <chckhy> <octhor> <dal> / <otshol> [heiß und trocken] <chykchy> <okchal> <daiin> <dy> <chol> <dain>	KCH	underground-part candidate	ANGLE_BRACKETS_PRESERVE_UNTRANSLATED_SURFACES
PDROOT_F43	f43v	f43v.1-5	pdsairy dalteoshy doly sheet or arodl lkeo r araiin otedy opolde / shedy octhy otedy chedy dar chesy okeody oky okaldy kchdy okar / tody teedy qot chocthy chky oky chdy okedy ykaiin chey ody dary / dey ykeedy chees ain shy qocthedy chey qokar checkhy okam / qokchedy oralody otedol chcthdy chtey	[Wurzelteil/Radix-Eintrag] <dalteoshy> <doly> <sheet> <or> <arodl> <lkeo> <r> <araiin> <otedy> <opolde> / [feucht/Feuchtklasse?] <octhy> <otedy> <chedy> <dar> <chesy> <okeody> <oky> <okaldy> <kchdy> <okar> / <tody> <teedy> <qot> <chocthy> <chky> <oky> <chdy> <okedy> <ykaiin> <chey> <ody> <dary> / <dey> <ykeedy> <chees> <ain> <shy> <qocthedy> <chey> <qokar> <checkhy> <okam> / [heiß und trocken] <oralody> <otedol> <chcthdy> <chtey>	KCH	underground-part candidate	ANGLE_BRACKETS_PRESERVE_UNTRANSLATED_SURFACES
PDROOT_F23	f23v	f23v.1-2	podairol odaiiily sho al dy opchol otol ol chcphy qotchar s / qottor chy okchaldy qokchey dol otchol chal otchg	[Wurzelteil/Radix-Eintrag] <odaiiily> <sho> <al> <dy> <opchol> <otol> <ol> <chcphy> [kalt und trocken] <s> / <qottor> <chy> <okchaldy> [heiß und trocken] <dol> <otchol> <chal> <otchg>	TCH|KCH	underground-part candidate	ANGLE_BRACKETS_PRESERVE_UNTRANSLATED_SURFACES
PDROOT_F31	f31v	f31v.1-2	podair sheedy otedy oteedy qotolcheo s ar ar oteey dkchrar als / ytchos ockhey okeeo s cheody okeey keeody daiin cheody keedy	[Wurzelteil/Radix-Eintrag] <sheedy> <otedy> <oteedy> <qotolcheo> <s> <ar> <ar> <oteey> <dkchrar> <als> / <ytchos> <ockhey> <okeeo> <s> <cheody> <okeey> <keeody> <daiin> <cheody> <keedy>	NONE	underground-part candidate	ANGLE_BRACKETS_PRESERVE_UNTRANSLATED_SURFACES
STATE_CHODY_F56	f56r	f56r.16-16	qotchy chody ctho r chey kcharg	[kalt und trocken] [trocken/Trockenklasse] <ctho> <r> <chey> <kcharg>	TCH	same-line dry-class candidate	ANGLE_BRACKETS_PRESERVE_UNTRANSLATED_SURFACES
DSHEODY_F86	f86v3	f86v3.17-17	dsheody qokchey dal or odaiin sar	[wiederkehrender Träger] [heiß und trocken] <dal> <or> <odaiin> <sar>	KCH	exact repeated same-line carrier	ANGLE_BRACKETS_PRESERVE_UNTRANSLATED_SURFACES
DSHEODY_F102	f102r1	f102r1.4-4	dsheody okeeoy kod chkeeody daraiiin ctheoly qokcheololain	[wiederkehrender Träger] <okeeoy> <kod> <chkeeody> <daraiiin> <ctheoly> [heiß und trocken]	KCH	exact repeated same-line carrier	ANGLE_BRACKETS_PRESERVE_UNTRANSLATED_SURFACES
TCHDOR_F95	f95r1	f95r1.6-6	tchdor or chekchdy qokar chcthy qotchdy lshedy qoky qofain dy	[wiederkehrender Träger] <or> <chekchdy> <qokar> <chcthy> [kalt und trocken] <lshedy> <qoky> <qofain> <dy>	TCH	exact repeated same-line carrier	ANGLE_BRACKETS_PRESERVE_UNTRANSLATED_SURFACES
TCHDOR_F115	f115v	f115v.11-11	tchdor shorail chodaiin chkol chkchol qotched qotchey dpchedy qtam	[wiederkehrender Träger] <shorail> <chodaiin> <chkol> <chkchol> [kalt und trocken] [kalt und trocken] <dpchedy> <qtam>	TCH|TCH	exact repeated same-line carrier	ANGLE_BRACKETS_PRESERVE_UNTRANSLATED_SURFACES
PORAIIN_F107	f107v	f107v.37-38	poraiin o kal chedy qolkeey lpcheedy qokol rol keedy okaiin otary / dain okchey qokchey qokaiin olkeey qokol oteey oteey lkain	[wiederkehrender Träger] <o> <kal> <chedy> <qolkeey> <lpcheedy> <qokol> <rol> <keedy> <okaiin> <otary> / <dain> <okchey> [heiß und trocken] <qokaiin> <olkeey> <qokol> <oteey> <oteey> <lkain>	KCH	exact repeated local carrier	ANGLE_BRACKETS_PRESERVE_UNTRANSLATED_SURFACES
PORAIIN_F113	f113v	f113v.13-13	poraiin otar ar okol shedy qokchedy otchdy qotor qoteedar roral fchee llor	[wiederkehrender Träger] <otar> <ar> <okol> [feucht/Feuchtklasse?] [heiß und trocken] <otchdy> <qotor> <qoteedar> <roral> <fchee> <llor>	KCH	exact repeated same-line carrier	ANGLE_BRACKETS_PRESERVE_UNTRANSLATED_SURFACES
CHAMAEDRYS_F45V	f45v	f45v.1-3	korary chko kol chey fsholom shor ykchy dod opchaiin olald / okol chor daiin cthy okchol chom okolor dy okchol s / qokchy l or cheol qotol qotol chy ky cthod ykar yd	[Frucht-/Samen-/Reproduktivdroge?] <chko> <kol> <chey> <fsholom> [Blüten-/Fruchtstand?] <ykchy> <dod> <opchaiin> <olald> / <okol> <chor> <daiin> <cthy> <okchol> <chom> <okolor> <dy> <okchol> <s> / [heiß und trocken] <l> <or> <cheol> <qotol> <qotol> <chy> <ky> <cthod> <ykar> <yd>	KCH	conditional local Chamaedrys hot-dry anchor	ANGLE_BRACKETS_PRESERVE_UNTRANSLATED_SURFACES
