scope	mode	family	occurrences	pages	family_share	total_four_family_events
ALL_SAFE_NO_F1R	EXACT_Y_EY	KCH	89	61	0.463542	192
ALL_SAFE_NO_F1R	EXACT_Y_EY	KSH	17	16	0.088542	192
ALL_SAFE_NO_F1R	EXACT_Y_EY	TCH	79	57	0.411458	192
ALL_SAFE_NO_F1R	EXACT_Y_EY	TSH	7	7	0.036458	192
ALL_SAFE_NO_F1R	Q_PREFIX	KCH	250	110	0.488281	512
ALL_SAFE_NO_F1R	Q_PREFIX	KSH	41	28	0.080078	512
ALL_SAFE_NO_F1R	Q_PREFIX	TCH	205	97	0.400391	512
ALL_SAFE_NO_F1R	Q_PREFIX	TSH	16	13	0.031250	512
ALL_SAFE_NO_F1R	SUBSTRING	KCH	914	166	0.428705	2132
ALL_SAFE_NO_F1R	SUBSTRING	KSH	190	96	0.089118	2132
ALL_SAFE_NO_F1R	SUBSTRING	TCH	869	166	0.407598	2132
ALL_SAFE_NO_F1R	SUBSTRING	TSH	159	84	0.074578	2132
HERBAL_ALL	EXACT_Y_EY	KCH	48	39	0.410256	117
HERBAL_ALL	EXACT_Y_EY	KSH	6	6	0.051282	117
HERBAL_ALL	EXACT_Y_EY	TCH	58	44	0.495726	117
HERBAL_ALL	EXACT_Y_EY	TSH	5	5	0.042735	117
HERBAL_ALL	Q_PREFIX	KCH	117	70	0.458824	255
HERBAL_ALL	Q_PREFIX	KSH	11	9	0.043137	255
HERBAL_ALL	Q_PREFIX	TCH	120	71	0.470588	255
HERBAL_ALL	Q_PREFIX	TSH	7	6	0.027451	255
HERBAL_ALL	SUBSTRING	KCH	489	109	0.417235	1172
HERBAL_ALL	SUBSTRING	KSH	91	55	0.077645	1172
HERBAL_ALL	SUBSTRING	TCH	512	113	0.436860	1172
HERBAL_ALL	SUBSTRING	TSH	80	51	0.068259	1172
HERBAL_A	EXACT_Y_EY	KCH	42	33	0.396226	106
HERBAL_A	EXACT_Y_EY	KSH	4	4	0.037736	106
HERBAL_A	EXACT_Y_EY	TCH	55	41	0.518868	106
HERBAL_A	EXACT_Y_EY	TSH	5	5	0.047170	106
HERBAL_A	Q_PREFIX	KCH	93	54	0.430556	216
HERBAL_A	Q_PREFIX	KSH	7	7	0.032407	216
HERBAL_A	Q_PREFIX	TCH	110	62	0.509259	216
HERBAL_A	Q_PREFIX	TSH	6	5	0.027778	216
HERBAL_A	SUBSTRING	KCH	404	83	0.416495	970
HERBAL_A	SUBSTRING	KSH	70	44	0.072165	970
HERBAL_A	SUBSTRING	TCH	436	87	0.449485	970
HERBAL_A	SUBSTRING	TSH	60	38	0.061856	970
