layer	surface	composition_slot	default_meaning_de	status	evidence	caveat
QUALITY_CONTEXT	qo-	QUALITY_FIELD_WRAPPER	Temperament- oder Qualitätsfeld beginnt	STRUCTURAL_DEFAULT	Four corners and thirteen exact GDT622 minimal pairs.	q and o are not separately translated.
QUALITY_CONTEXT	k	THERMAL	heiß	WORKING_DEFAULT_V2	f45v Chamaedrys local hot-dry anchor plus the retained GDT622 thermal lead.	Only inside qo plus k or t plus ch or sh; frequency leaves t-hot as a serious rival.
QUALITY_CONTEXT	t	THERMAL	kalt	WORKING_DEFAULT_V2	Conditional f15v Herb Paris reads qotch as cold-dry.	Thermal sign is weaker than moisture sign.
QUALITY_CONTEXT	ch	MOISTURE	trocken	WORKING_DEFAULT_V2_FLIPPED	CH occupies 87.5 to 94 percent in the principal cuts against 88.9 percent dry historical rows.	The historical rows are a readable sample not a complete unbiased list.
QUALITY_CONTEXT	sh	MOISTURE	feucht	WORKING_DEFAULT_V2_FLIPPED	Binary complement of the ch-dry default.	Rare SH forms make named counterexamples important.
QUALITY_BUNDLE	qokch-	COMPOSITE_QUALITY	heiß und trocken	CONCRETE_WORKING_DEFAULT_V2	Formal 2x2 family plus orientation synthesis.	Strongest as a Herbal working reading; other registers may reuse the form abstractly.
QUALITY_BUNDLE	qoksh-	COMPOSITE_QUALITY	heiß und feucht	CONCRETE_WORKING_DEFAULT_V2	Formal 2x2 family plus orientation synthesis.	Strongest as a Herbal working reading; other registers may reuse the form abstractly.
QUALITY_BUNDLE	qotch-	COMPOSITE_QUALITY	kalt und trocken	CONCRETE_WORKING_DEFAULT_V2	Formal 2x2 family plus orientation synthesis.	Strongest as a Herbal working reading; other registers may reuse the form abstractly.
QUALITY_BUNDLE	qotsh-	COMPOSITE_QUALITY	kalt und feucht	CONCRETE_WORKING_DEFAULT_V2	Formal 2x2 family plus orientation synthesis.	Strongest as a Herbal working reading; other registers may reuse the form abstractly.
QUALITY_CONTEXT	-(y|ey)	QUALITY_ENDING	Qualitätscode endet oder bindet weiter	STRUCTURAL_DEFAULT	Both endings occur in all four corners.	No degree value is fixed.
HERBAL_HEAD	p|t|k|f- at page head	ENTRY_INITIAL_SHELL	Eintragsanfang oder Initialhülle	NEW_STRUCTURAL_DEFAULT	Strong enrichment at Herbal page heads.	Contextual shell does not replace quality-context k or t.
HERBAL_HEAD	kooiin	THICK_OR_CREEPING_ROOT_DRUG_SUBCLASS	kalt-trockene dicke oder kriechende Wurzeldroge; Wurzelstock-Unterklasse	CONCRETE_VISUAL_DEFAULT_MEDIUM	Two exact page heads both next-line TCH; f2v and f29v show different plants but compact underground stocks; koaiin f3v shows a segmented stock.	Wurzelstock is a modern visual gloss, not a claimed medieval rhizoma word; other rootstock-rich pages lack the form.
HERBAL_HEAD	pdrairdy|podairol|podair|pdair|pdsairy	ROOT_PART_OR_RADIX	Wurzelteil oder Wurzeldrogen-Eintrag (Radix)	CONCRETE_VISUAL_DEFAULT_MEDIUM	All five p...air Herbal page heads accompany conspicuous underground structures on manually inspected official images.	Not specific enough for Faserwurzel or one species; f43v has two units and mixed q-onsets prove that temperament is separate.
HERBAL_HEAD	air|dair inside p...air head	ROOT_PART_CORE_CANDIDATE	Wurzelteil oder Radix	COMPOSITIONAL_CORE_DEFAULT_MEDIUM	The five p...air heads share air or dair, while RF1b explicitly splits f39v pdair as p air.	Outside this page-head construction air remains unassigned.
HERBAL_HEAD	poror(y)	RECORD_OPENER	Herbal-Eintrag eröffnet	RECLASSIFIED_FROM_PLANT_NAME	f15v and f24r open visibly different plant pages.	Exact grammatical wording remains open.
