surface	final_recipe	compressed_cover_rank	selected_compressed_cover	segment_count	canonical_segment_count	learned_segment_count	alias_penalty_total	visible_trace	evidence_trace	exact_surface_reconstruction	exact_recipe_reconstruction	guard
chady	CH+A_ADDR+DY	1	YES	3	3	0	0.000000000	ch→CH | a→A_ADDR | dy→DY	ch:CANONICAL_AND_LEARNED:n1255:share0.953647 | a:CANONICAL_AND_LEARNED:n121:share0.923664 | dy:CANONICAL_STEM:n0:share0.000000	YES	YES	EXACT_MONOTONE_FULL_SURFACE_COVER__OLD26_ALIAS_DECK_ONLY
chap	CH+A_ADDR+P	1	YES	3	3	0	0.000000000	ch→CH | a→A_ADDR | p→P	ch:CANONICAL_AND_LEARNED:n1255:share0.953647 | a:CANONICAL_AND_LEARNED:n121:share0.923664 | p:CANONICAL_AND_LEARNED:n372:share0.961240	YES	YES	EXACT_MONOTONE_FULL_SURFACE_COVER__OLD26_ALIAS_DECK_ONLY
choraly	CH+OR+AL+Y	1	YES	2	0	2	0.005715841	chor→CH+OR | aly→AL+Y	chor:LEARNED_SHORT_RENDERER:n85:share0.944444 | aly:LEARNED_SHORT_RENDERER:n39:share1.000000	YES	YES	EXACT_MONOTONE_FULL_SURFACE_COVER__OLD26_ALIAS_DECK_ONLY
choraly	CH+OR+AL+Y	2	NO	3	2	1	0.000000000	ch→CH | or→OR | aly→AL+Y	ch:CANONICAL_AND_LEARNED:n1255:share0.953647 | or:CANONICAL_AND_LEARNED:n424:share0.959276 | aly:LEARNED_SHORT_RENDERER:n39:share1.000000	YES	YES	EXACT_MONOTONE_FULL_SURFACE_COVER__OLD26_ALIAS_DECK_ONLY
choraly	CH+OR+AL+Y	3	NO	3	2	1	0.005715841	chor→CH+OR | al→AL | y→Y	chor:LEARNED_SHORT_RENDERER:n85:share0.944444 | al:CANONICAL_AND_LEARNED:n519:share0.920213 | y:CANONICAL_AND_LEARNED:n2848:share0.984105	YES	YES	EXACT_MONOTONE_FULL_SURFACE_COVER__OLD26_ALIAS_DECK_ONLY
choraly	CH+OR+AL+Y	4	NO	4	4	0	0.000000000	ch→CH | or→OR | al→AL | y→Y	ch:CANONICAL_AND_LEARNED:n1255:share0.953647 | or:CANONICAL_AND_LEARNED:n424:share0.959276 | al:CANONICAL_AND_LEARNED:n519:share0.920213 | y:CANONICAL_AND_LEARNED:n2848:share0.984105	YES	YES	EXACT_MONOTONE_FULL_SURFACE_COVER__OLD26_ALIAS_DECK_ONLY
dairykodas	D_ADDR+AIR+Y+K+O+DA+S	1	YES	4	1	3	0.069748559	dair→D_ADDR+AIR | yk→Y+K | oda→O+DA | s→S	dair:LEARNED_SHORT_RENDERER:n21:share0.777778 | yk:LEARNED_SHORT_RENDERER:n138:share0.896104 | oda:LEARNED_SHORT_RENDERER:n10:share0.714286 | s:CANONICAL_AND_LEARNED:n791:share0.743421	YES	YES	EXACT_MONOTONE_FULL_SURFACE_COVER__OLD26_ALIAS_DECK_ONLY
dairykodas	D_ADDR+AIR+Y+K+O+DA+S	2	NO	5	3	2	0.036101335	dair→D_ADDR+AIR | yk→Y+K | o→O | da→DA | s→S	dair:LEARNED_SHORT_RENDERER:n21:share0.777778 | yk:LEARNED_SHORT_RENDERER:n138:share0.896104 | o:CANONICAL_AND_LEARNED:n1340:share0.949681 | da:CANONICAL_AND_LEARNED:n55:share0.808824 | s:CANONICAL_AND_LEARNED:n791:share0.743421	YES	YES	EXACT_MONOTONE_FULL_SURFACE_COVER__OLD26_ALIAS_DECK_ONLY
dairykodas	D_ADDR+AIR+Y+K+O+DA+S	3	NO	5	3	2	0.044617116	d→D_ADDR | air→AIR | yk→Y+K | oda→O+DA | s→S	d:CANONICAL_AND_LEARNED:n1129:share0.905373 | air:CANONICAL_AND_LEARNED:n74:share0.936709 | yk:LEARNED_SHORT_RENDERER:n138:share0.896104 | oda:LEARNED_SHORT_RENDERER:n10:share0.714286 | s:CANONICAL_AND_LEARNED:n791:share0.743421	YES	YES	EXACT_MONOTONE_FULL_SURFACE_COVER__OLD26_ALIAS_DECK_ONLY
dairykodas	D_ADDR+AIR+Y+K+O+DA+S	4	NO	5	3	2	0.058778667	dair→D_ADDR+AIR | y→Y | k→K | oda→O+DA | s→S	dair:LEARNED_SHORT_RENDERER:n21:share0.777778 | y:CANONICAL_AND_LEARNED:n2848:share0.984105 | k:CANONICAL_AND_LEARNED:n937:share0.961026 | oda:LEARNED_SHORT_RENDERER:n10:share0.714286 | s:CANONICAL_AND_LEARNED:n791:share0.743421	YES	YES	EXACT_MONOTONE_FULL_SURFACE_COVER__OLD26_ALIAS_DECK_ONLY
